date,cew_return,gross_stock,cost_stock,net_stock,cost_factor_level,cost_factor_at_base,turnover_oneway
2018-06-30,-0.005776332664037891,-0.0060961830007799376,0.0,-0.0060961830007799376,0.00026537806786215186,0.0004422967797702531,0.0
2018-07-31,-0.002919113983630358,-0.002275927299068585,0.0006104276491329909,-0.002886354948201576,0.00032770522066948065,0.0005461753677824678,0.3052138245664955
2018-08-31,0.00550658286310734,0.005654718395988741,0.0005521615713890807,0.0051025568245996605,0.0004102982474638885,0.0006838304124398141,0.27608078569454036
2018-09-30,0.0006044113286482809,0.0012287474905059376,0.0005728804939610575,0.0006558669965448801,0.00019349150360978168,0.00032248583934963614,0.2864402469805287
2018-10-31,0.0017737827631377503,0.0011166688327922517,0.00045169257795796915,0.0006649762548342826,0.00035806935845734137,0.000596782264095569,0.22584628897898457
2018-11-30,0.00330141541579342,0.004415173243728626,0.0005287583863658265,0.0038864148573628,0.0005377653726474252,0.0008962756210790421,0.26437919318291325
2018-12-31,0.001807784942079933,0.002194788202681187,0.0007110467336351903,0.0014837414690459967,0.0003363406180294508,0.0005605676967157514,0.3555233668175951
2019-01-31,-0.007179539262484494,-0.007728933079310803,0.0004507736547646816,-0.008179706734075485,0.00029055477608387235,0.00048425796013978726,0.2253868273823408
2019-02-28,0.002484033123466715,0.0031636577493646045,0.0006464304632679191,0.0025172272860966853,0.0006948844503981554,0.0011581407506635925,0.32321523163395954
2019-03-31,0.0022603828889344755,0.002068343257781427,0.0006965198565782387,0.0013718234012031884,0.0006014680469108878,0.0010024467448514797,0.34825992828911934
2019-04-30,0.005653014538229045,0.007074594460823981,0.000596427353114748,0.006478167107709234,0.0005483597030458445,0.0009139328384097409,0.298213676557374
2019-05-31,0.00411835849950012,0.004400969085818541,0.0005924039009427937,0.0038085651848757474,0.0005991916197834455,0.0009986526996390759,0.29620195047139686
2019-06-30,0.001731862999207121,0.0020014520064147064,0.000659109193410766,0.0013423428130039405,0.0003144217034453556,0.0005240361724089261,0.329554596705383
2019-07-31,0.004079042513357304,0.00413359676459223,0.0004956172075778168,0.003637979557014413,0.0005111287593514098,0.000851881265585683,0.2478086037889084
2019-08-31,0.003059552547134237,0.002639504806727895,0.000556952388178343,0.002082552418549552,0.0005807883323589136,0.0009679805539315226,0.27847619408917146
2019-09-30,0.0002556014681165891,0.0017550520728371669,0.0007077120165387249,0.001047340056298442,0.0003620213751937709,0.0006033689586562848,0.3538560082693625
2019-10-31,-0.006982760694462173,-0.005881544287173141,0.0005730473115279425,-0.0064545915987010835,0.0005422773914882341,0.0009037956524803901,0.2865236557639712
2019-11-30,0.0030506933038883205,0.0027070453288449243,0.0006650498450458872,0.002041995483799037,0.0006107922942079702,0.0010179871570132838,0.33252492252294363
2019-12-31,0.00017724607606473835,0.0006833336405364129,0.0008780619047583704,-0.0001947282642219575,0.00045896445940689265,0.0007649407656781544,0.4390309523791852
2020-01-31,0.0007117839253686616,0.0009427845770118688,0.0006586134774273729,0.000284171099584496,0.00045176226604049083,0.0007529371100674847,0.32930673871368643
2020-02-29,0.0006275931775958171,0.0007211262897451939,0.0007159868505558117,5.139439189382161e-06,0.0005887793243867599,0.0009812988739779332,0.35799342527790584
2020-03-31,0.02078305947501287,0.02060956667509074,0.000592672399077341,0.0200168942760134,0.000644266263813823,0.0010737771063563718,0.29633619953867046
2020-04-30,0.013218231220371754,0.01035789726832877,0.0007086445428841068,0.009649252725444663,0.000536893348871656,0.0008948222481194268,0.3543222714420534
2020-05-31,0.006507828557375134,0.005817588466474753,0.0006143348310761672,0.005203253635398586,0.0005698521336975002,0.0009497535561625003,0.3071674155380836
