style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Size,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Volatility,MP
factor_weight,,,,,0.002995748561,0.00326722304,0.003837679541,0.013174492033,0.01385659176,0.018996402763,0.022506425325,0.032785810774,0.027121439778,0.035295475537,0.050657492508,0.050847854844,0.004281686651,0.009460241604,0.009510708112,0.022101132364,0.027995774731,0.030825522027,0.03330619658,0.040211655499,0.071618274388,0.003207738302,0.00343106969,0.003758715727,0.004623591469,0.006161672109,0.007001176063,0.007232026251,0.014628983212,0.016991643362,0.017372455577,0.018877856574,0.019816888644,0.020138114841,0.020551648144,0.025117568859,0.027753262056,0.033335596571,0.005583880045,0.00291618381,0.015820341303,0.015883021175,0.016532179091,0.017480684575,0.020655222391,0.024556869824,0.024745693615,0.031164333456,0.045308772812,0.004698982032,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,EPSSurpC,AdjRev3MFY1C,Rev3MFY1C,InvPEGC,AdjInvPEGC,SUEC,CapExToAst,LTDA,BuyBackChg,RecTurn,UnexpectedInvChg,ETO,CapExToSales,GPMargin,ROAStddev20Q,SalesToInvCap,AdjChgEPStoSales,CFIC,WCAccruals,Chg1YOPM,CQPTTMCFtoSales,ConsQPosChginTTMCF,AstAdjChg1YEPS,EPSStab,AdjAstAdjChg1YFCF,Chg1YFCF,ChgATO,PAdjChg1YCF,PAdjChg1YEPS,PAdjChg1YSales,DivperShareGrowth,PAdjChg3YCF,DIVIDENDGROWTH,PAdjChg1YFCF,PAdjChg3YOCF,PAdjChg1YOCF,ShortIntTrdVol,LogAssets,CurLiaP,InvPEGYC,EP,OEP,SP,OCFEV,FCFP,FCFEV,60MAVGTTMEP,BookLev,AGG
8,2026-08-31,16,HK0016000132,01942101W,-0.000560115284083557,,,,,,,,,,,,,,,,0.001801451859620089,,,,,,,,,,,0.0023804899573551174,,,,0.0016874359191378049,-0.001025441827783743,-0.0010552039916508172,-0.0008987018265969884,,0.005478387847063832,0.002050883655567486,,0.0016803458522506713,,,,,0.002366404217962484,0.0019319918494476317,0.0019319918494476317,0.0022722858683844305,,,0.0004780411173232443
9,2026-08-31,1605,JP3294460005,27119601W,0.0016525715406432223,,-0.0007661346989188884,,,-0.0010693109968867907,,-0.0010280779250274028,0.000985030327181428,,,-0.002836328459827374,,-0.002666148752237732,,,0.001801451859620089,,-0.0007750432419295732,,,-0.0010150312508519282,,,,,,-0.0006115020073939752,,,,,,,,,,,,,,,,,,,0.0019319918494476317,,,-0.001999611564178299,-0.00015828681105782425
10,2026-08-31,1801,JP3443600006,10094901W,-0.000560115284083557,,0.0022594480951167216,,0.002072136335936061,-0.0010693109968867907,,,0.000985030327181428,,,,-0.0013886191417904852,,0.0012230040147879504,,,,,-0.0006032010751669077,,0.002962387502486369,,,0.002596898135296492,0.003447606145134998,,,,0.002050883655567486,0.0018864260039417912,,0.003006934682974885,,0.0035080904634706995,0.0021734908306285856,,0.002050883655567486,,,0.002234202865003686,,0.0024091705592509624,0.0027021777894301337,0.002366404217962484,,-0.0006610286162572888,-0.0011591951096685791,-0.0008600479845928167,,0.00046839450836609923
11,2026-08-31,1802,JP3190000004,10091901W,-0.000560115284083557,-0.0006115020073939752,-0.0007661346989188884,,,-0.0010693109968867907,,,,,,,,,,,,,,-0.0006032010751669077,,0.002962387502486369,,,,-0.000880886151620396,,,,0.002050883655567486,0.0018864260039417912,,-0.001025441827783743,,-0.0008987018265969884,0.0021734908306285856,,0.002050883655567486,,,0.002234202865003686,,0.0024091705592509624,0.0027021777894301337,0.002366404217962484,0.0019319918494476317,-0.0006610286162572888,,,,0.00030705437442208705
12,2026-08-31,1803,JP3358800005,10098201W,0.0016525715406432223,0.001809603225500723,0.0022594480951167216,,0.002072136335936061,-0.0010693109968867907,,,,,,,-0.0013886191417904852,,,,,,,-0.0006032010751669077,,0.002962387502486369,,,0.002596898135296492,0.003447606145134998,,-0.0006115020073939752,,0.002050883655567486,0.0018864260039417912,0.0016874359191378049,0.003006934682974885,,0.0035080904634706995,-0.0007392279350012195,,-0.002072136335936061,,,0.002234202865003686,,0.0024091705592509624,0.0027021777894301337,0.002366404217962484,-0.0006621230344961254,-0.0006610286162572888,-0.0011591951096685791,-0.0008600479845928167,,0.0002431578244540465
13,2026-08-31,1812,JP3210200006,01870901W,-0.000560115284083557,,,,0.002072136335936061,,,,0.000985030327181428,,,,0.0024839895207183836,,0.0012230040147879504,,,,,-0.0006032010751669077,,0.002962387502486369,,,,-0.000880886151620396,,-0.0006115020073939752,,0.002050883655567486,0.0018864260039417912,0.0016874359191378049,,,-0.0008987018265969884,0.0021734908306285856,,0.002050883655567486,,,0.002234202865003686,,0.0024091705592509624,0.0027021777894301337,0.002366404217962484,-0.0006621230344961254,-0.0006610286162572888,-0.0011591951096685791,,,0.00035792597340749766
14,2026-08-31,1878,JP3486800000,20154301W,,,,,,,,,,,,,,0.002666148752237732,,,0.001801451859620089,0.0023251297257887195,,,,,,,,,,-0.0006115020073939752,,,,0.0016874359191378049,0.003006934682974885,-0.0010552039916508172,0.0035080904634706995,,-0.005554476567161941,-0.002072136335936061,,-0.0016945860713375414,0.002234202865003686,0.002115991073204549,,,0.002366404217962484,-0.0006621230344961254,-0.0006610286162572888,-0.0011591951096685791,,,0.0001061143709440891
15,2026-08-31,19,HK0019000162,10056201W,0.0016525715406432223,,-0.0007661346989188884,,0.002072136335936061,0.00209383409861602,,,0.000985030327181428,,,,-0.0013886191417904852,-0.002666148752237732,,,,-0.002338726975647133,,-0.0006032010751669077,,-0.0010150312508519282,,,-0.0013198756199196693,-0.000880886151620396,,0.0023804899573551174,,-0.0006967287680063759,-0.0006419298761407058,0.0016874359191378049,-0.001025441827783743,,-0.0008987018265969884,0.0021734908306285856,,0.002050883655567486,,0.0016803458522506713,0.002234202865003686,,-0.0012267555608455822,-0.0013743034805349132,,-0.0006621230344961254,,-0.0011591951096685791,0.002531153878706707,-0.001999611564178299,0.00011400482986675989
16,2026-08-31,1925,JP3505000004,01783001W,-0.000560115284083557,,,,,,,,,,,,,0.002666148752237732,,,0.001801451859620089,0.0023251297257887195,,,,,,,,,,,,,,0.0016874359191378049,-0.001025441827783743,-0.0010552039916508172,-0.0008987018265969884,,-0.005554476567161941,-0.002072136335936061,,,0.002234202865003686,,,,0.002366404217962484,-0.0006621230344961254,-0.0006610286162572888,-0.0011591951096685791,,,-0.00010252793053213555
17,2026-08-31,1928,JP3420600003,10092601W,-0.000560115284083557,-0.0006115020073939752,-0.0007661346989188884,,-0.0007003893394670049,,,0.0030297144911792407,,,,,-0.0013886191417904852,,,-0.0012497572276114369,,,,-0.0006032010751669077,-0.0015322693978377768,-0.0010150312508519282,,,,0.003447606145134998,,,,,,,,-0.0010552039916508172,,0.0021734908306285856,,0.002050883655567486,,,0.002234202865003686,,,,,-0.0006621230344961254,-0.0006610286162572888,-0.0011591951096685791,,,1.7502021922053065e-06
