factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
FwdFCFPC,Forward Free Cash Flow to Price Ratio,Valuation,0.05265481647620196,1.817770467085494,1.8464172541826733,1.817770467085494,34.0,144.0
LogUnadjPrice,Log of Unadjusted Stock Price,Price Momentum,0.07976944333515723,1.8146554328546294,1.698451991232165,1.8146554328546294,13.0,145.0
FCFStab,Free Cash Flow Stability,Earnings Quality,0.049630155378501906,1.81230687111008,1.9878172992663892,1.81230687111008,29.0,146.0
AstGrwth,Asset Growth - 1 Year,Capital Efficiency,0.06005377052249106,1.8100269886333429,1.49816417428447,1.8100269886333429,17.0,147.0
EBITMargin,EBIT Margin,Earnings Quality,0.04059616238252839,1.8065206662717526,1.9162381384833844,1.8065206662717526,30.0,148.0
12QTTMCFTrend,12-Quarter Trendline in Trailing 12-Month Cash Flows,Historical Growth,0.0648886614195856,1.8023088000565999,1.8009644279426293,1.8023088000565999,37.0,149.0
ROEStab,Return on Equity Stability,Historical Growth,0.052039816249492166,1.8004041151690378,1.7969807075706838,1.8004041151690378,38.0,150.0
PRatio15To36W,15/36 Week Price Ratio,Price Momentum,0.10911307181628693,1.7927649291461871,1.5559301051534833,1.7927649291461871,14.0,151.0
ROA60MSlope,ROA 60 Month Slope,Earnings Quality,0.037954803467108666,1.7761017054385158,1.5866120068600689,1.7761017054385158,31.0,152.0
Amihud,Amihud Illiquidity Measure,Volatility,0.08288635585817161,1.7507490809421027,1.8455742308684835,1.7507490809421027,3.0,153.0
EPSEstDispFY1C,Analyst Dispersion for FY1 EPS,Analyst Expectations,0.06476422666283854,1.7482308761967789,1.7669249368861775,1.7482308761967789,15.0,154.0
ChgSalesMargin,Sales to Gross Profit Margin Growth,Earnings Quality,0.0372261079991425,1.7434270667448009,1.6602335435444955,1.7434270667448009,32.0,155.0
