date,book_gross_before,multiplier,long_exposure,short_exposure,gross_return,cost,tax,net_return,turnover_oneway
2018-06-30,0.8479491933768127,0.47172637597197115,0.2,-0.2,-0.002875730314219857,0.0,0.0,-0.002875730314219857,0.0
2018-07-31,0.9815868803593661,0.4075034090243312,0.2,-0.2,-0.0009274481330619864,0.00024875134798440216,9.879941317686818e-05,-0.001274998894223257,0.12437567399220109
2018-08-31,0.9806647290556832,0.4078865978846554,0.2,-0.2,0.0023064838485356235,0.00022521930483653747,7.314785313012123e-05,0.0020081166905689648,0.11260965241826874
2018-09-30,0.9379439003514876,0.42646473829629145,0.2,-0.2,0.0005240174769708396,0.00024431332993215263,7.65813091289262e-05,0.0002031228379097607,0.12215666496607631
2018-10-31,0.9565077317010975,0.41818794218068844,0.2,-0.2,0.000466977441282703,0.0001888923896745333,8.310517118509793e-05,0.00019497988042307181,0.09444619483726666
2018-11-30,0.8678084924237581,0.4609311887266905,0.2,-0.2,0.002035091051666114,0.00024372123157680712,6.52318845701774e-05,0.0017261379355191292,0.12186061578840354
2018-12-31,0.85980800102384,0.4652201416173018,0.2,-0.2,0.0010210596784713257,0.0003307932621182831,0.00015524143932783366,0.000535024977025209,0.16539663105914154
2019-01-31,0.8685487742983589,0.46053832765250596,0.2,-0.2,-0.003559469914883929,0.00020759854511513465,5.864480414252858e-05,-0.0038257132641415915,0.10379927255756732
2019-02-28,0.8347852871742618,0.4791651292202277,0.2,-0.2,0.001515914474282864,0.00030974693646366417,0.00010424624777467798,0.0011019212900445219,0.1548734682318321
2019-03-31,0.8571297186069804,0.466673819979181,0.2,-0.2,0.0009652416491370415,0.0003250475821607179,0.00011880998502396698,0.0005213840819523566,0.16252379108035894
2019-04-30,0.9061847468575741,0.4414110934741527,0.2,-0.2,0.0031228044768384965,0.0002632696501162755,9.290674777954948e-05,0.0027666280789426716,0.13163482505813773
2019-05-31,0.9732524881955896,0.41099304122160546,0.2,-0.2,0.0018087676689028326,0.00024347388088002159,6.731040444914524e-05,0.0014979833835736657,0.1217369404400108
2019-06-30,0.9207584180879431,0.4344244832761283,0.2,-0.2,0.0008694797536886794,0.0002863331707700178,9.481684506850546e-05,0.0004883297378501561,0.14316658538500893
2019-07-31,0.9113408109108867,0.4389137359054505,0.2,-0.2,0.0018142923986738586,0.00021753320015700667,7.330498814386768e-05,0.001523454210372984,0.10876660007850335
2019-08-31,0.8867907839790062,0.451064678644055,0.2,-0.2,0.0011522566356167365,0.0002448364634682867,0.0001001503812417473,0.0008072697909067027,0.12241823173414336
2019-09-30,0.9102351657266199,0.43944687599570953,0.2,-0.2,0.00038351544855547826,0.00030176806462873097,6.62895706828957e-05,1.5457813243851558e-05,0.15088403231436548
2019-10-31,0.9887222054025725,0.4045625736069458,0.2,-0.2,-0.0021624608277913816,0.00024610260775545897,6.893610722724052e-05,-0.002477499542774081,0.12305130387772947
2019-11-30,0.9443242295769418,0.4235833281321188,0.2,-0.2,0.0018330512591107268,0.00033942938562384875,0.0001292242365667352,0.001364397636920143,0.16971469281192436
2019-12-31,0.942268582675553,0.4245074147163094,0.2,-0.2,-0.00017698037538605083,0.00037635061927568126,0.0001095487856483329,-0.0006628797803100649,0.18817530963784063
2020-01-31,0.9584247470787184,0.4173514939166599,0.2,-0.2,2.3291917125672936e-05,0.0002815460152578508,8.244983974669239e-05,-0.00034070393787887025,0.1407730076289254
2020-02-29,0.8525453412307722,0.4691832570717498,0.2,-0.2,0.00022541696629941132,0.00032072307012023793,0.00010250229336363822,-0.00019780839718446484,0.16036153506011896
2020-03-31,0.8770445335258825,0.4560771827536801,0.2,-0.2,0.009390592211539525,0.0002973052630498852,8.742190470609817e-05,0.009005865043783541,0.14865263152494257
2020-04-30,0.9147214646030717,0.4372915859950585,0.2,-0.2,0.003518252206693931,0.0002706121679837859,9.268092550215075e-05,0.0031549591132079948,0.13530608399189295
2020-05-31,0.9228497195666046,0.43344001901831963,0.2,-0.2,0.0038540678926488564,0.00022929508272202792,8.884013197127763e-05,0.0035359326779555505,0.11464754136101396
2020-06-30,0.8777529565868617,0.4557090887570441,0.2,-0.2,-0.0004875492252363094,0.00033050074783327947,0.00010270353011423904,-0.000920753503183828,0.16525037391663974
2020-07-31,0.9141248945270826,0.4375769683057782,0.2,-0.2,0.007154065264793879,0.00021033893181982428,6.22653008799886e-05,0.006881461032094065,0.10516946590991214
2020-08-31,0.9840797513723792,0.4064711213112225,0.2,-0.2,-0.003274606014846948,0.00024341213594490099,7.282842820621718e-05,-0.0035908465789980665,0.12170606797245048
2020-09-30,0.950566781366103,0.4208015763239083,0.2,-0.2,0.002562537824896421,0.0003295176660988252,8.945933575978316e-05,0.0021435608230378125,0.1647588330494126
2020-10-31,0.969236218870912,0.41269609225496157,0.2,-0.2,-0.00046532047313820616,0.00017960196871836547,6.679253280788812e-05,-0.0007117149746644597,0.08980098435918274
2020-11-30,0.9877966032983703,0.4049416637639292,0.2,-0.2,-0.007907167207254932,0.0002688198649265706,0.00010166105283626008,-0.008277648125017762,0.1344099324632853
2020-12-31,1.0227620832026845,0.39109779935079053,0.2,-0.2,-0.00012526486364776229,0.0004994200194712316,0.00021633360252875029,-0.0008410184856477442,0.2497100097356158
2021-01-31,0.9875620955232942,0.40503782173620795,0.2,-0.2,8.502968339669088e-05,0.0002555548483005068,7.432316029083651e-05,-0.00024484832519465244,0.12777742415025337
2021-02-28,1.0183934446905272,0.3927755054644459,0.2,-0.2,-0.0008831356177434293,0.000291444676416692,5.2832159637786116e-05,-0.0012274124537979074,0.145722338208346
2021-03-31,1.0217621083294293,0.39148055769458506,0.2,-0.2,0.0027985908455906107,0.00036418234435896143,0.0001133318576852242,0.002321076643546425,0.1820911721794807
2021-04-30,1.0280578202339403,0.38908317424109257,0.2,-0.2,0.0024448792653615666,0.00033701161686587215,0.00011429401296886203,0.0019935736355268323,0.16850580843293606
2021-05-31,0.9437106443293428,0.4238587350938104,0.2,-0.2,0.0020069897056693917,0.0002800871488279131,6.837565626901707e-05,0.0016585269005724612,0.14004357441395654
2021-06-30,0.8953372935134412,0.4467590067988105,0.2,-0.2,0.001687092145563464,0.00041556173965617924,0.00012212735399120398,0.0011494030519160808,0.2077808698280896
2021-07-31,0.7473170536741705,0.5352480557394046,0.2,-0.2,0.004744705649111065,0.0003665796638742224,9.366286729349249e-05,0.00428446311794335,0.18328983193711118
2021-08-31,0.8436223417140111,0.47414581172341747,0.2,-0.2,0.0010693658024259131,0.00021804296587376893,6.827240998780919e-05,0.0007830504265643349,0.10902148293688446
2021-09-30,0.8429761904963535,0.4745092500945675,0.2,-0.2,-0.004900087135528093,0.00023366051593981622,7.204713976101107e-05,-0.005205794791228921,0.1168302579699081
2021-10-31,0.9084230286019739,0.4403234918159041,0.2,-0.2,0.00645913507166481,0.00024109238167670667,8.611388898784603e-05,0.0061319288010002575,0.12054619083835333
2021-11-30,0.7838923826826931,0.5102741254240679,0.19999999999999998,-0.19999999999999998,0.001976430024286622,0.00028612702367033843,9.886511113221492e-05,0.001591437889484069,0.1430635118351692
2021-12-31,0.8181212419063143,0.4889250877632209,0.2,-0.2,0.0031882456423229996,0.00035821931157243794,0.00012810445044659076,0.002701921880303971,0.17910965578621899
2022-01-31,0.8456115954665089,0.47303041034971516,0.2,-0.2,-0.006120472755843703,0.0002171028143879031,6.1003985171147445e-05,-0.006398579555402753,0.10855140719395155
2022-02-28,0.9032511650807064,0.4428447097151097,0.2,-0.2,-0.004417970925186387,0.00027908455711317685,7.4248022652848e-05,-0.004771303504952412,0.13954227855658843
2022-03-31,0.8961671684028042,0.446345295948412,0.2,-0.2,0.003852331204457672,0.00031554879639128194,9.43470071070647e-05,0.0034424354009593254,0.15777439819564096
2022-04-30,0.9456326141011184,0.42299725499656593,0.2,-0.2,0.007276184827831954,0.00026665677698800545,7.205644476388584e-05,0.006937471606080063,0.13332838849400272
2022-05-31,0.8887635201416707,0.4500634768810484,0.2,-0.2,0.0017029852225725118,0.00027326610536986413,9.466678126541235e-05,0.0013350523359372355,0.13663305268493206
2022-06-30,0.8777866322476144,0.455691605801493,0.2,-0.2,-0.00011379030363772649,0.0003639397510253649,0.0001032072948578174,-0.0005809373495209088,0.18196987551268246
2022-07-31,0.8639456215900295,0.4629921027481208,0.2,-0.2,0.006002404778512559,0.0001895291348919677,5.452219706731845e-05,0.005758353446553273,0.09476456744598385
2022-08-31,0.851533598494596,0.4697407133519447,0.2,-0.2,-0.00401200599956009,0.0002848054141196265,8.4741507820527e-05,-0.004381552921500244,0.14240270705981323
2022-09-30,0.8617325750456045,0.46418112948652457,0.2,-0.2,0.003835755478787397,0.0002862252645901258,8.350602441452298e-05,0.0034660241897827484,0.14311263229506288
2022-10-31,0.8266986912668775,0.48385222357981306,0.2,-0.2,0.0047911100241814185,0.0002602310470988708,8.516218423301816e-05,0.004445716792849529,0.13011552354943537
2022-11-30,0.823126019744646,0.4859523212789335,0.2,-0.2,-0.0031782160618226514,0.00024449205133005096,7.502009806574783e-05,-0.0034977282112184497,0.1222460256650255
2022-12-31,0.8011945696642582,0.49925450713878483,0.2,-0.2,-0.002914442928577863,0.0004004157768606185,0.0001267848854022122,-0.003441643590840694,0.20020788843030926
2023-01-31,0.8927251937461756,0.44806621657160284,0.2,-0.2,-0.005993142916272559,0.0002593257947069419,9.62174310509207e-05,-0.006348686142030421,0.12966289735347095
2023-02-28,1.1146426427775347,0.35885940897008534,0.2,-0.2,0.00015284473526868889,0.0003852729770088952,0.0001141294783973215,-0.00034655772013752784,0.1926364885044476
2023-03-31,1.0854560543742373,0.3685087004564169,0.2,-0.2,0.0008794463525486281,0.00034945170055975287,0.00012168496338788873,0.00040830968860098644,0.17472585027987644
2023-04-30,0.9121191205542747,0.4385392115855754,0.2,-0.2,-0.001076578665986813,0.0003884160531830516,0.00011540226110537788,-0.0015803969802752422,0.1942080265915258
2023-05-31,0.8168633126243506,0.4896780083254238,0.2,-0.2,-0.0006649547974177404,0.00034630209071826254,0.00010549266646386847,-0.0011167495545998714,0.17315104535913126
2023-06-30,0.808362405862229,0.4948275638490948,0.2,-0.2,0.0015251588607771225,0.0003967435699851491,0.0001185845242108422,0.0010098307665811314,0.19837178499257455
2023-07-31,0.7029795185100737,0.5690066203461773,0.2,-0.2,-0.0028174303190788607,0.00033136834248416106,9.909298300893424e-05,-0.003247891644571956,0.16568417124208054
2023-08-31,0.7837243487729058,0.5103835304163877,0.2,-0.2,0.0008697883011488892,0.0003681003558917344,9.450986576716644e-05,0.00040717807948998844,0.18405017794586717
