factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
UnexpectedInvChg,Unexpected Inventory Change,Earnings Quality,0.07316185805744024,3.6625849034875255,3.3341174748310545,3.6625849034875255,1.0,1.0
SalesToInvCap,Sales to Invested Capital,Earnings Quality,0.07291157395341008,3.527321597894358,4.831147459052118,3.527321597894358,2.0,2.0
TTMRecInvToSales,Trailing 12-Month Receivables and Inventories/Trailing 12-Month Sales,Historical Growth,0.10261995775241295,3.2807791950889524,2.5289838667972835,3.2807791950889524,1.0,3.0
AstAdjChg1YFCF,1Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.057356731249705195,3.1986074973631826,3.0130086068442306,3.1986074973631826,2.0,4.0
TotalAccruals,Balance Sheet Accruals,Earnings Quality,0.07670654579636627,3.161471789690391,3.0557868997605366,3.161471789690391,3.0,5.0
AdjIntCov,Adjusted Interest Coverage Ratio,Capital Efficiency,0.07978116211853692,3.1565042623949178,4.245646059409444,3.1565042623949178,1.0,6.0
CQDOHtoSales,Consecutive Quarters of Declines in TTM Overhead/Sales,Historical Growth,0.12933590745297918,3.124888926835183,4.128499932636245,3.124888926835183,3.0,7.0
ConsQPosChginTTMCF,Number of Consecutive Qtrs of Pos. Changes in TTM Cash Flows,Historical Growth,0.10496099030302952,3.0839345315914044,4.017380709001209,3.0839345315914044,4.0,8.0
ETO,Equity Turnover,Earnings Quality,0.05402998515084656,3.003387919561136,3.391148706321881,3.003387919561136,4.0,9.0
CashAdjEV,Cash to Adjusted Enterprise Value,Valuation,0.12163191205193513,2.954441095857057,3.670439810163955,2.954441095857057,1.0,10.0
AdjInvPEGC,Adjusted Inverse PEG,Analyst Expectations,0.10850954014761127,2.8923819819292467,3.178544812112323,2.8923819819292467,1.0,11.0
PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,Historical Growth,0.05587715022259876,2.883346691649322,2.7644778058710315,2.883346691649322,5.0,12.0
AdjRevMagC,Adjusted Revision Magnitude,Analyst Expectations,0.07646524520748366,2.877641761131107,3.5565204129132333,2.877641761131107,2.0,13.0
IntCovRatio,Interest Coverage Ratio,Capital Efficiency,0.07298984422894206,2.862388223837282,3.903725481238216,2.862388223837282,2.0,14.0
AstAdjChg1YOCF,1Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.06016981498193852,2.8219907546284575,2.882403187035717,2.8219907546284575,6.0,15.0
PAdjChg3YFCF,3Y Chg in Free Cash Flow to Price,Historical Growth,0.05332300147425206,2.803224554040925,2.778747476742185,2.803224554040925,7.0,16.0
CQPTTMCFtoSales,Num of Qtrs of Pos Chgs in TTM Cash Flows/TTM Sales,Historical Growth,0.09284013628659316,2.801597392124008,3.388110644337484,2.801597392124008,8.0,17.0
AdjAstAdjChg1YFCF,Adj 1Y Chg in Asset Adjusted FCF,Historical Growth,0.06759371414259263,2.7564609343362423,3.0251955806489694,2.7564609343362423,9.0,18.0
Chg3YFCF,3Y Chg in Free Cash Flow per Share,Historical Growth,0.07347659907333903,2.755485873337623,3.4237701112908185,2.755485873337623,10.0,19.0
ShortIntTrdVol,Short Interest Trading Volume,Price Momentum,0.07013988023607909,2.7466866718086846,3.8248165455676695,2.7466866718086846,1.0,20.0
InvPEGC,Inverse PEG,Analyst Expectations,0.06904410573951858,2.6685064082440912,3.2300053576494676,2.6685064082440912,3.0,21.0
PAdjChg3YOCF,3Y Chg in Operating Cash Flow to Price,Historical Growth,0.051385752756982095,2.6616595472018436,3.938068386619349,2.6616595472018436,11.0,22.0
BookLev,Book Leverage,Volatility,0.08066624423738289,2.6583589149208837,3.240065137710713,2.6583589149208837,1.0,23.0
AdjRev3MFY1C,Adjusted 3M Revision in FY1 EPS Estimate,Analyst Expectations,0.0728100818106443,2.6127255066753428,3.3034394618453082,2.6127255066753428,4.0,24.0
CFROIC,Cash Flow Return on Invested Capital,Capital Efficiency,0.08269800221055323,2.600648295240821,3.6158264412793484,2.600648295240821,3.0,25.0
OCFRatio,Operating Cash Flow Ratio,Capital Efficiency,0.07357636175420934,2.575308269272183,2.8455775928304803,2.575308269272183,4.0,26.0
EPSSurpC,Earnings Surprise,Analyst Expectations,0.04868360661795412,2.5505928081599234,3.3434305109457054,2.5505928081599234,5.0,27.0
WCapToAst,Working Capital to Total Assets,Earnings Quality,0.12017469737965758,2.5464327213637103,2.438852378756235,2.5464327213637103,5.0,28.0
PAdjChg1YOCF,1Y Chg in Operating Cash Flow to Price,Historical Growth,0.05572907633685098,2.5323331140746603,2.644016145842212,2.5323331140746603,12.0,29.0
6MChgTgtPrcGapEMA,Target Price Gap to 6M EMA,Analyst Expectations,0.06970538164305617,2.523411173708998,2.8434895705828764,2.523411173708998,6.0,30.0
CapAcqRatio,Capital Acquisition Ratio,Capital Efficiency,0.07250355822172527,2.515345533409656,3.23846302847298,2.515345533409656,5.0,31.0
PAdjChg3YSales,3Y Chg in Sales to Price,Historical Growth,0.047923919978855256,2.499210749963634,2.031272693840515,2.499210749963634,13.0,32.0
FCFSales,Free Cash Flow to Sales,Earnings Quality,0.0632141565290294,2.4870430588517634,3.365230820112893,2.4870430588517634,6.0,33.0
AssetTurn,Asset Turnover,Earnings Quality,0.05453067170858872,2.480764062984312,3.0993162337931977,2.480764062984312,7.0,34.0
CashEV,Cash to EV Ratio,Valuation,0.05788513683087437,2.477746885195757,2.4296658849786485,2.477746885195757,2.0,35.0
OCFIC,Operating Cash Flow to Invested Capital,Earnings Quality,0.10629471510125255,2.4638541875052087,2.9213442275004953,2.4638541875052087,8.0,36.0
ConsQPosChgTTMEPS,Number of Consecutive Qtrs of Positive Changes in TTM Quarterly Earnings,Historical Growth,0.1017735000652944,2.463568980081903,2.665994116883771,2.463568980081903,14.0,37.0
