date,12QTTMCFTrend,12QTrendTTMEPS,14DayRSI,20DStochastic,3YAvgAnnEPSGrw,3YAvgAnnSalesGrw,4WChgFwd12MEPS,50DVolSig,52WSlope,5DMoneyFlowVol,60MAVGTTMEP,60MAVGTTMROA,60MAVGTTMROE,6MAvgChg1MRecC,6MChgTgtPrcGap,6MChgTgtPrcGapEMA,6MTTMSalesMom,8WChgFwd12MEPS,90DCV,AccrualRatioBS,AccrualRatioCF,Adj50DVolSig,AdjAccruals,AdjAstAdjChg1YFCF,AdjAstAdjChg3YFCF,AdjChgEPS,AdjChgEPStoSales,AdjEPSNumRevFY1C,AdjEPSNumRevFY2C,AdjFCFP,AdjIntCov,AdjInvPEGC,AdjRev3MFY1C,AdjRevMagC,Alpha12M6MPChg,Alpha36M6MPChg,Alpha60M,Amihud,AssetTurn,AstAdjChg1YCF,AstAdjChg1YEPS,AstAdjChg1YFCF,AstAdjChg1YOCF,AstAdjChg3YCF,AstAdjChg3YEPS,AstAdjChg3YFCF,AstAdjChg3YOCF,BVEV,BookLev,BuyBackChg,BuyToSellRecLess3MEMA,BuyToSellRecLess3MSMA,CACL,CFAst,CFEV,CFEqt,CFIC,CFP,CFROIC,CQDOHtoSales,CQDRItoSales,CQPTTMCFtoSales,CapAcqRatio,CapExToAst,CapExToSales,CashAdjEV,CashAst,CashBurn,CashCycle,CashEV,CashP,CashRatio,CashToSales,Chg1YAmihud,Chg1YFCF,Chg1YOCF,Chg1YOPM,Chg3YAstTo,Chg3YCF,Chg3YEPS,Chg3YFCF,Chg3YOCF,Chg3YOPM,Chg4QSalesTrend,ChgATO,ChgDeprCapex,ConsQPosChgTTMEPS,ConsQPosChginTTMCF,CurLiaP,DA,DIVIDENDGROWTH,DepToCapex,DivP,DivToCF,DivperShareGrowth,EBITEstDisp,EBITMargin,EP,EPSNumRevFY1C,EPSSurpC,EPSToSalesChg1Y,ETO,EbitToAst,EbitdaToAst,EstDiffC,FCFEV,FCFEqt,FCFP,FCFSales,FY2OverFY1Growth,FinLev,FwdFCFPC,GPMargin,GrPftToAst,HL1M,IO_BreadthStabBY,IO_Concentration,IO_InvDuration,IO_Level,IO_Level_AM,IO_TO,IndiDivP,IntCovRatio,InvPEGC,InvPEGYC,InvToAsset,InvToAst,InvToAstChg1Y,InvTurn,LTDA,LTDE,LTGC,LogAssets,LogMktCap,LogTTMSales,NIStab,NetProfitMargin,OCFAst,OCFEqt,OCFIC,OCFRatio,OCFStab,OEA,OEP,OPM,PAYOUTRATIO,PAdjChg1YCF,PAdjChg1YEPS,PAdjChg1YFCF,PAdjChg1YOCF,PAdjChg1YSales,PAdjChg3YCF,PAdjChg3YEPS,PAdjChg3YFCF,PAdjChg3YOCF,PAdjChg3YSales,PM5D,PTIP,PTIToNOA,PrcTo260DL,QuickRatio,RDInt,REToAst,ROA,ROA60MSlope,ROASTAB,ROAStddev20Q,ROE,ROEStab,ROEStddev20Q,ROIC,RONA,RecTurn,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,SEV,SGAToSales,SGAToSalesChg1Y,SP,SUEC,SalesAcc,SalesToEPSChg,SalesToInvCap,ShareChg,SharpeRatio,ShortIntTrdVol,SolvencyRatio,SusGrwRate,TTMEPStoTTMSales,TTMOverheadtoSales,TTMRecInvToSales,TotalAccruals,UnexpectedInvChg,UnexpectedRecChg,VolAdjRtn12M,WCA,WCAccruals,WCTurn,WCapToAst,WCapToSales,YoYChgDA
2018-06-30,,,,,0.010445293822055002,0.01729391490692999,,,,,,,,,,,,,,0.028134524422649763,,,0.012708185991458747,,0.01108486189595969,,,,,,,,,,,,,,0.00635402314653727,,,0.01722392787908679,,,,,0.012290474784160274,,,,,,0.011679000986642422,,,,,,0.017523774628306215,,,0.0017197212192921448,,,,0.05317648797208309,0.021103346420614018,,,,,0.0118419693963695,,,,,,0.02307684500522736,,0.012621972530628479,,0.011731593703006577,,0.015717332959464446,0.02149825885160971,,,0.005556521858333649,,,0.012468502679705,,,,0.015478411469565915,,,,,0.025302141545472986,,,,,,,,0.045799698030161304,0.013520981924426766,,,,,0.015779811664817737,,,,,,,,,,,0.021587751499178624,,,,,,0.013574743450605461,,,0.05777985893083471,,,,0.005723495886397257,0.04482566129081758,0.008792120838463454,,,,,,,,,0.013611282028656406,,,,,0.018588551987451112,0.010754995826619039,0.018960142238864518,0.007303388219907256,,0.008282345602004072,,0.009243796448253192,0.015899810714207485,0.0015611821796670292,,,,,,,0.007980378231312365,,,,,,,,,,,0.015471447970774415,,0.07153547453608738,0.018870757624712724,0.023064022556202168,,0.07139594006464996,,,,,,,,,,0.00856182618945106,,0.06606669630155236,0.009432749688765563,,
2018-07-31,,,,,0.012056750679843856,0.013249839110015536,,,,,,,,,,,,,,0.009110490416046975,,,0.021737503854665396,,0.011201265737734726,,,,,,,,,,,,,,0.009081799162673192,,,0.013266696979243922,,0.01087247908012271,,,0.012898738895757872,,,,,,0.0036647818869290885,,,,0.001953434817083654,,0.025767720173837973,0.007689923196771088,,,,,,0.06187682343828544,0.02590585020712216,,,,,0.0035506611157983966,,,,,,0.0048650906278935625,,0.013013382837323294,,0.012332982806736148,,0.01392258460067737,,,,0.004832654992262848,,,0.012306399136261864,,,,0.01723119545496963,,,,,0.007342796004453,,,,,,,0.06256901960011654,0.06705563239081601,0.017876538642647828,,,,,0.021103232229297955,,,,,,,,,,,,,,0.024919007809212343,,,0.003077850317400995,,,0.010987377272740524,,,,0.00768937604478105,0.055605200621737044,0.0022553726101291944,,,,,,,,,0.013551097736101527,,,,,0.020466190850707753,0.01122230431382827,0.019687027790443058,0.008891646383837468,,0.0020536334804508076,,0.014184881348459981,0.004598622952132424,,,,,,,,,,,,,,,,,,,0.023920980227642344,0.025506616450224277,0.11723842733744494,0.004856320829231109,0.04103501344490857,,0.08451440582073996,,,,,,,,,,0.0025299562961323503,,,0.0028724219863259484,,
2018-08-31,,,,,0.011629897472882593,0.014379676585997229,,,,,,,,,,,,,,0.009323355238181908,,,0.023455143570528993,,0.011256473462213333,,,,,,,,,,,,,,0.008102713646406873,,,0.012973842441585975,,0.010960820470258977,,,0.012929692165998607,,,,,,0.0030156044057523313,,,,0.009119541822994662,,0.02886639752029343,0.009433633138285278,,,,,,0.012509326706136624,0.007175318974844645,,,,,0.0035970972770530338,,,,,,0.004901123434058242,,0.012936258921117506,,0.002601381250768795,,0.01691805293667403,,,,0.006651521766755485,,,0.015017618545310687,,,,0.019583701029555256,,,,,0.009426027958551774,,,,,,,0.07091339294521437,0.09107050552769627,0.01653998814586614,,,,,0.024495633858491885,,,,,,,0.02939992052950394,,,,,,,,,,,,,0.011867384716581261,,,,0.007718006197694354,0.05638315224067975,0.0022068832740194818,,,,,,,,,0.0030724786424974337,,,,,0.018370636677837997,0.012350898500203981,,0.010163064497096705,,0.010403416488880145,,0.002483176398999774,0.022605473817216715,,,,,,,,,,0.04663917170365158,,,,,,,,,0.03202385282387634,0.02621077418306386,0.10388701592996072,0.022899106770615844,0.04899726915933041,,0.01962302146653156,,0.02804479410257371,,,,,,,,0.0022810987361672084,,,0.002585661923542254,,
2018-09-30,,,,,0.0031893428354103086,0.0037116401834144234,,,,,,,,,,,,,,0.010541422426353099,,,0.004885362988862275,,0.0029485528731476823,,,,,,,,,,,,,,0.007074814845243797,,,0.003492665288585764,,0.01479288675035637,0.02014012287781497,,0.0035307724476855012,,,,,,0.0032656421367957948,,,,0.007344141695707972,,0.03246874030901733,0.011970678496268108,,,,,,0.020076744513163013,0.011330222854739322,,,,,,,,,,,0.006972224074412653,,0.0034366210893019685,,0.003777879105390611,,0.019297914824387145,,,,0.0017777866676657865,,,0.019080765787489185,0.05207733503501275,,,0.0245950206509858,,,,,0.05433064023056531,,,,,,,0.06965512125664487,0.02337575547256942,0.013011065476830832,,,,,0.02733948488952637,,,,,,,0.035363495798620984,,,,,,,,,,,,,,,,,0.007075544070828974,0.05968389363325485,0.002240565168231447,,,,,,,,,0.021695759422708977,,,,,0.005850748233233062,0.0034311344351146433,,0.013398729434756272,,0.009174382430502177,,0.0026355679481379814,0.004776243646700234,,,,,,,,,,0.05038303200757952,,,,,,,,,0.038272113093601116,0.028618740281025262,0.09797721480479422,0.02285292587370716,0.06377980939019463,,,,0.04151189752444588,,0.0064479634983963365,,,,,,0.0025071839654449203,,,0.0028316872553729817,,
2018-10-31,,,,,0.004206941419955012,0.005172408132910273,,,,,,,,,,,,,,0.009086991567204793,,,0.023254075780701978,,0.004117705817059834,,,,,,,,,,,,,,0.005896220854615393,,,,,0.004064613911592632,0.02877307281223703,,0.004974094634209721,,,,,,0.0029915389298396855,,,,0.005929505857429873,,0.022253485168527497,0.0034211610559068883,,,0.0223092862913365,,,,0.008636447512543832,,,,,,,,,,,0.010050905765444075,,0.004690776065365843,,0.005228563158294005,,0.029959143763826617,,,,0.0023869885818503106,,,0.005170070047610653,0.0420098561215136,,,0.0064088971628827335,,,,,0.03817883094775757,,,,,,,0.04769622485650846,0.067152730432637,0.010781618656033831,,,0.07060471104769799,,0.019097598073935528,,,,,,,0.026818792992265222,,,,,,,,,,,,,,,,,0.006134066202235661,0.04069597604902858,0.009964208016538724,,,,,,,,,0.005682679766314591,,,,,0.009082875121467163,0.0048742768786688845,,0.05685505957770566,,0.007657943680661376,,0.002490700662697007,0.004478229163903258,,,,,,,,,,0.0060551654858451145,,,,,,,,,0.030061622773597155,0.0420923340478766,0.09608770808487685,0.018645480084139594,0.04335024908478117,,,,0.06022303862268717,,0.009536359361466065,,,,,,0.002203804185388753,,,0.002504965730426253,,
2018-11-30,,,,,0.003948378394129497,0.00519382164317244,,,,,,,,,,,,,,0.0303455052377108,,,0.017684659067543344,,0.02098908657179974,,,,,,,,,,,,0.09693650944200197,,0.005246219248435964,,,,,,,,0.02307656231300316,,,,,,0.0025410938654748683,,,,0.0009951104919675503,,0.01819045849740941,0.0031509704561597757,,,0.02030319170694813,,,,0.007076531679940899,,,,,,,,,,,0.009107812348066,,0.02187543930849837,,0.024167774352055908,,0.02218251498915902,,,,0.0020134644671938907,,,0.0037965402175053637,0.03744313137406006,,,0.004855906612300832,,,0.08469895310916009,,0.005788726757742885,,0.01932228551412081,,,,,0.03887937980208271,0.03938844072361951,0.011026745710873084,,,0.03684225694742121,,0.016023868765787572,,,,,,,0.01957212955967301,,,,,,,,,,,,,,,,,0.005856388274410595,0.029347149785048293,0.008756814563269604,,0.01113348738558969,,,,,,,0.02222130643720851,,,,,0.00740056162248614,0.021576449370466298,,0.03303999840928241,,0.0013184051553368796,,,0.004434805848696574,,,,,,,,,,,,,,,,,,,0.025557238721658368,0.03897194209053807,0.07511153850404528,0.015042106687510392,0.028124852230393373,,,,0.008074357210056109,,0.0075122542080313034,,,,,,0.0018590672489540367,,,0.0019978070720001904,,
2018-12-31,,,,,0.01886539575487487,0.005431354561141774,,,,,,,,,,,,0.05730038814902592,,0.06004616158195139,,,0.04879239200318768,,0.038675677793962415,,,,,,,,,,,,0.06753639359505068,,0.0063097830685045035,,,,,,,,,,,,,,,,,,0.008648619324575234,,0.012245123267954785,0.003009264825366408,,,0.023850806093095988,,,,0.004683708413285187,,,,,,,,,,,0.04984209304720894,,0.016717408434481506,,,,0.0028129643934161203,,,0.010373740593679097,0.002573162585829736,,,0.002956640680149481,,,,0.023924855545331383,,,0.055524363585860555,,0.004305094150738796,,0.022807479020287146,,,,0.025785874462790626,0.03805887035062342,0.022600321230593676,0.01717123257710237,,,0.031969373459479804,,0.0026343800437843815,,,,,,,0.014468877399279581,,,,0.01442988665135747,,,0.032443181920375944,,,,,,,,,,0.0023894587563974942,0.021605452730275237,0.017590499066916714,,0.023118250163759967,,,,,,,,,,,,0.00329017241427984,0.019529134401798896,0.015600161363265225,0.024812979585614455,,0.0022593211048942425,,,,,,,,,,,,0.002598243799334809,,,,,,,,,,0.021887514926262105,0.022968750550244253,,0.0049601705670598625,0.019213159028177773,,,,0.007665191189887025,,0.006116818168099695,,,,,,,,0.03378364184991965,0.0038162117694658993,,
2019-01-31,,,,,0.015645670377924407,0.004209650843125312,,,,0.06653576601411616,,,,,,,,,,0.06297336017097761,,,0.05769193022904462,,0.024315298543390717,,,,,,,,,,,,,,0.006027440773452439,,,,,,,,,,,,,,,,,,0.009000598800857412,,0.011810454065104802,0.012274553542392303,,,0.02090405567318044,,,,0.02691776595738464,,,,,,,,,,,0.03749213140078211,,0.014194673475882923,,,,0.003080874567717588,,,0.009589903427270235,0.010631698594629292,,,0.014540232348646636,,,,0.0235467599492432,,,0.08020443034217122,,0.004708633940115859,,0.004916469756545029,,,,0.037127216850202066,0.04060973756509285,0.03984364648676601,0.016564710705946662,,,,,0.012336778931297665,,,,,,,0.015742840853825116,,,,0.021361757895455653,,,0.007083188084841059,,,0.011731179884489594,,,,,,,0.009672864714100851,0.022732828691054502,0.014846996046742738,,0.019616418344975788,,,,,,,,,,,,0.014899849536217523,0.017208103755615937,0.013666812858705161,0.024568309094370185,,0.010646273793485353,,,,0.013790577251751868,,,,,,,,0.012594017686929308,,,,,,,,,,0.004109142041326869,0.021691962052338223,,0.004717388372655602,0.021656676101267393,,,,0.007069279247312889,,0.005942582382464008,,,,,,,,0.03307793044739786,0.0038785775294163894,,
2019-02-28,,,,0.08205670926388231,0.015615020512006635,,,,,0.060654810244737366,,,,,,,,0.06607556538913006,,0.018126495538475246,,,0.014763884881812402,,0.033015669373191434,,,,,,,,,,,,,,0.011428803186844397,,,,,,,,,,,,,,,,,,0.016235933220892177,,0.004283417591550369,,,,0.009122885005346046,,,0.006289927697390274,0.019833330279100007,,,,,,,,,,,0.04434481639622258,,0.014942492047681086,,,,,,,0.011479264102387874,0.012189694598382112,,,0.014372369011180537,,,,0.023796064663865815,,,0.05350668283601157,,0.007297559966047083,,0.007876053729152498,,,,0.02871814317713093,0.01047366491074246,0.028388596574140484,0.0061780926292810895,,,,,0.004523863174249615,,,,,,,0.025518396610844044,,,,0.016536271687725326,,,0.06173662328161893,,,0.024483272633392287,,,,,,,0.003958270556036711,0.041280765380423225,0.005585119595311653,,,,0.02031202072943761,,,,,,,,,0.012317538168895727,0.0031908629138166877,0.018017247684263292,0.002947818010027746,0.029962425423649634,,0.020212160605997467,,,,,,,,,,,,0.0045540072895166,,,,,,,,,,0.007385879141101881,0.0037617799027461034,,0.00845066201479958,0.00670634061233988,,,,0.03394919724206826,,0.006194372146532206,,,,,,,,0.010793310624265137,0.006555847744355526,,
2019-03-31,,,,0.05548239521135802,0.016951328934569423,,0.016490257234055353,,,0.04542740892303607,,,,,,,,0.06064071867988558,,0.018505506910326628,,,0.011139867123106047,,0.0341264509443819,,,,,,,,,,,,,,0.001774053792083728,,,,,0.017571181810792567,0.017911801845055492,,,,,,,,,,,,0.012199385251818901,,0.016405812358907878,,,,0.034646762207477366,,,0.03246121275862231,0.01737799199341684,,,,,,,,,,,,,0.016149897970096836,,,,,,,0.0027714847232079825,0.0027786065464858716,,,0.01545621915805072,,,,0.02553452948745695,,,0.013070639327941794,,0.027958629748139535,,0.006277991061919701,,,,0.031018486148324097,0.04650669250950054,0.0289624464085083,0.02269756277967517,,,,,0.01623181896122665,,,,,,,0.02002765111683233,,,,0.0035294687938292563,,,0.04216514633785998,,,0.017868117231132036,,,,,,,0.014619046829391453,0.031198676566025083,0.004578868103408559,,,0.011253839578615164,,,,,,,,,,0.012794369954226668,0.01718698147072795,0.019452255852220705,0.003369682721125693,0.023542883249024673,,0.014835623086460012,,,,,,,,,,,,0.01656469039215859,,,,,,,,,,0.005574515202669222,0.004759723485385783,,0.0065225181703307475,,,,,0.036073656335007934,,0.0071697202635512105,,,,,,,,,0.022385424450588706,,
