ddt,ticker,isin,gvkeyiid,style,ls_weight,style_ls_weight,factor_weight
2026-08-31,,FI0009014575,33901501W,MP,-5.199804286600974e-06,-5.199804286600974e-06,0.3348433630808693
2026-08-31,,GB00BMVP7Y09,03647401,MP,-0.000214258365907866,-0.000214258365907866,0.5489882665145268
2026-08-31,1,KYG217651051,10108801W,MP,0.00018297965553298794,0.00018297965553298794,0.4869891744068948
2026-08-31,1038,BMG2178K1009,21292801W,MP,1.8307437012357823e-05,1.8307437012357823e-05,0.4577159573433247
2026-08-31,1113,KYG2177B1014,31975901W,MP,0.0003048694715975384,0.0003048694715975384,0.29861824064417364
2026-08-31,12,HK0012000102,01569701W,MP,-0.0001292322011642185,-0.0001292322011642185,0.1998246150078223
2026-08-31,1299,HK0000069689,29573501W,MP,-0.0002253848895121675,-0.0002253848895121675,0.5010599489402767
2026-08-31,1308,KYG8187G1055,29553601W,MP,0.00037480521871965505,0.00037480521871965505,0.4438500809956348
2026-08-31,16,HK0016000132,01942101W,MP,0.0002812006572489672,0.0002812006572489672,0.28273521946918384
2026-08-31,1605,JP3294460005,27119601W,MP,-9.310988885754366e-05,-9.310988885754366e-05,0.24723158937678924
2026-08-31,1801,JP3443600006,10094901W,MP,0.00027552618139182306,0.00027552618139182306,0.43969794294571835
2026-08-31,1802,JP3190000004,10091901W,MP,0.00018062022024828648,0.00018062022024828648,0.33165491177070816
2026-08-31,1803,JP3358800005,10098201W,MP,0.00014303401438473323,0.00014303401438473323,0.4569997707437707
2026-08-31,1812,JP3210200006,01870901W,MP,0.00021054469023970449,0.00021054469023970449,0.397781360365684
2026-08-31,1878,JP3486800000,20154301W,MP,6.242021820240535e-05,6.242021820240535e-05,0.3517285970168456
2026-08-31,19,HK0019000162,10056201W,MP,6.706166462750581e-05,6.706166462750581e-05,0.4833540009491443
2026-08-31,1925,JP3505000004,01783001W,MP,-6.0310547371844435e-05,-6.0310547371844435e-05,0.32869311434174414
2026-08-31,1928,JP3420600003,10092601W,MP,1.029530701297239e-06,1.029530701297239e-06,0.3792037314582894
2026-08-31,1928,KYG7800X1079,29342501W,MP,0.0002947456929942832,0.0002947456929942832,0.41604017240770286
2026-08-31,1997,KYG9593A1040,32596601W,MP,5.336565568719215e-05,5.336565568719215e-05,0.21036494354058013
2026-08-31,2,HK0002007356,10066501W,MP,0.0001511328259081838,0.0001511328259081838,0.46328881518571685
2026-08-31,2388,HK2388011192,03164801W,MP,5.6291033271227096e-05,5.6291033271227096e-05,0.3511290059509054
