factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
CQPTTMCFtoSales,Num of Qtrs of Pos Chgs in TTM Cash Flows/TTM Sales,Historical Growth,0.1862275270686118,5.227306553354798,7.9940932191862375,5.227306553354798,1.0,1.0
TotalAccruals,Balance Sheet Accruals,Earnings Quality,0.09030630717971455,4.446274406743712,4.483816937494952,4.446274406743712,1.0,2.0
CapExToAst,Capital Expenditure to Total Assets,Capital Efficiency,0.08590327018558508,3.9289379310593318,3.5595147415263404,3.9289379310593318,1.0,3.0
Rev3MFY1C,3M Revision in FY1 EPS Estimate,Analyst Expectations,0.09489866371126565,3.91972992947378,3.268248456050362,3.91972992947378,1.0,4.0
UnexpectedInvChg,Unexpected Inventory Change,Earnings Quality,0.09030687116331926,3.851904479505908,3.952410344218122,3.851904479505908,2.0,5.0
Chg1YFCF,1Y Chg in Free Cash Flow per Share,Historical Growth,0.06736055083419168,3.6873428402143102,3.4686373643509576,3.6873428402143102,2.0,6.0
RevMagFY1C,Street Revision Magnitude,Analyst Expectations,0.08590806245226457,3.59458870516062,3.162176518261937,3.59458870516062,2.0,7.0
AdjInvPEGC,Adjusted Inverse PEG,Analyst Expectations,0.09984119156425875,3.5505845171909707,4.228598698723162,3.5505845171909707,3.0,8.0
PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,Historical Growth,0.04972057861902579,3.4596763959833456,3.229132415494347,3.4596763959833456,3.0,9.0
PAdjChg1YEPS,1Y Chg in Earnings to Price,Historical Growth,0.0663522860584902,3.429998411507665,2.7892898066654714,3.429998411507665,4.0,10.0
PAdjChg1YCF,1Y Chg in Cash Flow to Price,Historical Growth,0.061449079046802524,3.416442609609014,2.8842145070370155,3.416442609609014,5.0,11.0
PAdjChg1YSales,1Y Chg in Sales to Price,Historical Growth,0.07057598777858032,3.3573472264430064,3.7535286285145726,3.3573472264430064,6.0,12.0
ConsQPosChginTTMCF,Number of Consecutive Qtrs of Pos. Changes in TTM Cash Flows,Historical Growth,0.13209054371369544,3.3570063128254164,4.5419637252448855,3.3570063128254164,7.0,13.0
EP,Earnings to Price,Valuation,0.10039882525874,3.3311550265195193,2.940079695110978,3.3311550265195193,1.0,14.0
WCapToSales,Working Capital to Sales,Earnings Quality,0.07368762922949856,3.3178536259149465,4.438827855714277,3.3178536259149465,3.0,15.0
ShortIntTrdVol,Short Interest Trading Volume,Price Momentum,0.08858771707349589,3.3062451078290946,4.039721939880384,3.3062451078290946,1.0,16.0
EPSSurpC,Earnings Surprise,Analyst Expectations,0.06919831241110597,3.2663863202374985,2.4132275267175607,3.2663863202374985,4.0,17.0
PTIP,Pretax Income Per Share to Price,Valuation,0.10648388994535019,3.2642516443509093,2.4529484169583076,3.2642516443509093,2.0,18.0
Chg1YOPM,1Y Chg in Operating Margin,Historical Growth,0.07766771736199107,3.1746266955065425,3.0620053193960737,3.1746266955065425,8.0,19.0
DivperShareGrowth,Dividend per Share Growth,Historical Growth,0.0740764460205896,3.1584565964058324,2.632762907493057,3.1584565964058324,9.0,20.0
CFEV,Net Cash Flow to Enterprise Value,Valuation,0.09708806004634774,3.1541282359823812,2.7272563826461917,3.1541282359823812,3.0,21.0
60MAVGTTMEP,Normalized EP,Valuation,0.09759049698750966,3.138637954249433,2.8076519843570167,3.138637954249433,4.0,22.0
OEP,Operating Earnings to Price Ratio,Valuation,0.10486134406442571,3.1273552954129005,2.7952552559271817,3.1273552954129005,5.0,23.0
InvPEGYC,Inverse P/E Ratio Adj for Growth and Yield,Valuation,0.08984199027777184,3.1077829265801475,2.6311263925582913,3.1077829265801475,6.0,24.0
AdjRevMagC,Adjusted Revision Magnitude,Analyst Expectations,0.08044606071967397,3.0980718929011934,3.427523678556993,3.0980718929011934,5.0,25.0
AstAdjChg1YEPS,1Y Chg in Asset Adjusted EPS,Historical Growth,0.07766540433318214,3.0864798238592464,3.840366990361112,3.0864798238592464,10.0,26.0
ETO,Equity Turnover,Earnings Quality,0.05623595413226723,3.0858726694110303,3.2242962112893245,3.0858726694110303,4.0,27.0
SUEC,Standardized Unexpected Earnings,Analyst Expectations,0.061817322873373826,3.0526410501330936,3.442586918778821,3.0526410501330936,6.0,28.0
AstAdjChg1YOCF,1Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.06531442907772589,3.022070463994907,3.4405925410312324,3.022070463994907,11.0,29.0
InvPEGC,Inverse PEG,Analyst Expectations,0.07472586655067315,3.0127957549276343,3.1687826427236874,3.0127957549276343,7.0,30.0
BookLev,Book Leverage,Volatility,0.07189395955284805,2.984871425031517,3.7888905603081646,2.984871425031517,1.0,31.0
PAdjChg1YOCF,1Y Chg in Operating Cash Flow to Price,Historical Growth,0.05377203303383493,2.9774719049571026,2.9084385076932198,2.9774719049571026,12.0,32.0
SalesToInvCap,Sales to Invested Capital,Earnings Quality,0.06593814299729162,2.972997228295085,3.6554408752510685,2.972997228295085,5.0,33.0
EPSToSalesChg1Y,Year over Year Change of EPS to Sales,Earnings Quality,0.06382294484084361,2.966814510352146,2.8024769499330504,2.966814510352146,6.0,34.0
CFP,Net Cash Flow to Price,Valuation,0.08479303558398743,2.8979579500509094,2.694692204011962,2.8979579500509094,7.0,35.0
AdjAstAdjChg1YFCF,Adj 1Y Chg in Asset Adjusted FCF,Historical Growth,0.0858647549670497,2.8976191202264707,2.748083956964102,2.8976191202264707,13.0,36.0
AstAdjChg1YFCF,1Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.05599207889884972,2.880922511969506,2.7707172630294346,2.880922511969506,14.0,37.0
AdjChgEPStoSales,Change EPS to Sales,Earnings Quality,0.05551224155432344,2.867170929667809,2.683744692273108,2.867170929667809,7.0,38.0
