factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
60MAVGTTMEP,Normalized EP,Valuation,0.04021604901199627,0.8138076639527783,0.8007926081368655,0.8138076639527783,38.0,224.0
Chg3YCF,3Y Chg in Cash Flow per Share,Historical Growth,0.022643860451184494,0.8068287311702078,0.9344030409246001,0.8068287311702078,52.0,225.0
RskAdjRS,Risk Adjusted Relative Strength,Price Momentum,0.026525888593538438,0.8054466950345694,0.9126584051218561,0.8054466950345694,28.0,226.0
8WChgFwd12MEPS,8-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,Valuation,0.02691363044045003,0.7871667178660392,0.922580484015253,0.7871667178660392,39.0,227.0
RDInt,Research & Development Intensity,Earnings Quality,0.043659411126176106,0.7869119900417941,0.8976516081152791,0.7869119900417941,52.0,228.0
Chg4QSalesTrend,Change in Slope of 4-Quarter Trendline through Quarterly Sales,Historical Growth,0.03062884517786779,0.7825665731096989,0.7355567675064557,0.7825665731096989,53.0,229.0
PRatio15To36W,15/36 Week Price Ratio,Price Momentum,0.03846719642145402,0.7734463925734708,0.770658656570817,0.7734463925734708,29.0,230.0
PM9M,9 Month Price Momentum,Price Momentum,0.03557831983876181,0.7424911030941252,0.8126875339483945,0.7424911030941252,30.0,231.0
BuyToSellRecLess3MEMA,Buy-to-Sell Recommendation Ratio Less 3M EMA,Analyst Expectations,0.012460073576791242,0.7333844778852213,0.8387248320762294,0.7333844778852213,21.0,232.0
IO_BreadthStabHD,Ownership Breadth Stability of Institution Ownership by Holders,Price Momentum,0.03331350886267126,0.7290469698393325,0.718839139578623,0.7290469698393325,31.0,233.0
MaxRetPayoff,Max Daily Return in the Past 6 Months,Price Momentum,0.029933316502647633,0.7160681342826516,0.7297833368617807,0.7160681342826516,32.0,234.0
IO_ChgofIO_HF,Change of Ownership Level - Hedge Fund,Price Momentum,0.018442025167171083,0.6856190187620994,1.0038065893837218,0.6856190187620994,33.0,235.0
DIVIDENDGROWTH,Dividend Growth,Historical Growth,0.0171798431198944,0.6843118759104483,0.6404237368767128,0.6843118759104483,54.0,236.0
ROEStddev20Q,ROE 20 Qtr Standard Deviation,Earnings Quality,0.02066632727032136,0.6632677481664898,0.8577747735198459,0.6632677481664898,53.0,237.0
Chg1YAstTo,1Y Chg in Sales Turnover,Historical Growth,0.024588845275288485,0.6394923342029519,0.601626248071076,0.6394923342029519,55.0,238.0
STO_6M,6 Month Average Share Turn Over,Price Momentum,0.026628161087579594,0.6375254070422547,0.7390117958041703,0.6375254070422547,34.0,239.0
IO_Foreign,Foreign Institution Ownership,Price Momentum,0.02076350326163534,0.6368747639354877,0.5114920331888552,0.6368747639354877,35.0,240.0
60MAVGTTMROE,Normalized ROE,Capital Efficiency,0.033449417789324976,0.6284547840560858,0.5378863346339303,0.6284547840560858,28.0,241.0
50DVolSig,50 Day Volume Signal,Price Momentum,0.01635204119828204,0.6257704011799973,0.6646244027219768,0.6257704011799973,36.0,242.0
VolAdjRtn12M,Volatility adjusted 12M return,Price Momentum,0.02476663640933907,0.6165234670753251,0.6491572760556471,0.6165234670753251,37.0,243.0
24MResRtnVar,24M Residual Return Variance,Price Momentum,0.03211418246250819,0.6149078206648166,0.5958105458268924,0.6149078206648166,38.0,244.0
130DMinRtn,130 Day Minimum Return,Volatility,0.029133031759509542,0.6146808980456151,0.6099398249945014,0.6146808980456151,9.0,245.0
AdjSTO_6M,Adjusted 6 Month Average Share Turn Over,Price Momentum,0.025412162568611674,0.6132979995369929,0.652193736726815,0.6132979995369929,39.0,246.0
6MAvgChg1MRecC,6M Avg Chg 1M Recommendation,Analyst Expectations,0.013511984402025279,0.6132329313707646,0.6291914251210702,0.6132329313707646,22.0,247.0
AnnVol1M,1M Realized Price Volatility,Volatility,0.026171339006630268,0.5873552260875818,0.6593976286184238,0.5873552260875818,10.0,248.0
PM12M1M,12M - 1M Price Momentum,Price Momentum,0.024688521525496387,0.562901732407717,0.6284921970917807,0.562901732407717,40.0,249.0
PA52WL20DLag,Percent Above 260-Day Low,Price Momentum,0.022598068374376945,0.5561642118120157,0.561050404286256,0.5561642118120157,41.0,250.0
