factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
UnexpectedInvChg,Unexpected Inventory Change,Earnings Quality,0.10125164951879984,4.34298064861998,3.542119978980682,4.34298064861998,1.0,1.0
CapExToAst,Capital Expenditure to Total Assets,Capital Efficiency,0.07752713785776244,3.988905084440124,3.5726591973804456,3.988905084440124,1.0,2.0
TotalAccruals,Balance Sheet Accruals,Earnings Quality,0.08393688096552876,3.9631792868654006,3.742112509354451,3.9631792868654006,2.0,3.0
SalesToInvCap,Sales to Invested Capital,Earnings Quality,0.08294217438030627,3.780915849499146,4.518322086315649,3.780915849499146,3.0,4.0
CQPTTMCFtoSales,Num of Qtrs of Pos Chgs in TTM Cash Flows/TTM Sales,Historical Growth,0.14593897935711264,3.7533573302957777,4.57015690615549,3.7533573302957777,1.0,5.0
CapExToSales,Capital Expenditure to Sales,Earnings Quality,0.08007084606673587,3.646615006012754,3.560096748325479,3.646615006012754,4.0,6.0
Rev3MFY1C,3M Revision in FY1 EPS Estimate,Analyst Expectations,0.08030321554536402,3.492981292412984,3.4014154369452307,3.492981292412984,1.0,7.0
EbitdaToAst,EBITDA to Assets,Capital Efficiency,0.08190286433531746,3.325859348175902,4.34517060382301,3.325859348175902,2.0,8.0
EPSSurpC,Earnings Surprise,Analyst Expectations,0.06919646081294384,3.2681701174580375,2.3584185755562674,3.2681701174580375,2.0,9.0
ETO,Equity Turnover,Earnings Quality,0.05819798423491318,3.2150457413798477,3.251533425787613,3.2150457413798477,5.0,10.0
AdjInvPEGC,Adjusted Inverse PEG,Analyst Expectations,0.095196424345531,3.1202732193517715,3.9302117536584635,3.1202732193517715,3.0,11.0
Chg3YFCF,3Y Chg in Free Cash Flow per Share,Historical Growth,0.06817071662462704,3.0703479489573637,4.048889857250529,3.0703479489573637,2.0,12.0
EBITMargin,EBIT Margin,Earnings Quality,0.07525823300433232,3.031353056980609,4.160398355262197,3.031353056980609,6.0,13.0
ShortIntTrdVol,Short Interest Trading Volume,Price Momentum,0.08883087941113832,3.030035602500304,3.5916472389398626,3.030035602500304,1.0,14.0
AdjRevMagC,Adjusted Revision Magnitude,Analyst Expectations,0.08127621921205264,3.0159110918517413,3.6274736779132937,3.0159110918517413,4.0,15.0
Chg1YFCF,1Y Chg in Free Cash Flow per Share,Historical Growth,0.05242757367594786,2.9777907805061474,2.6975871310206085,2.9777907805061474,3.0,16.0
CashAdjEV,Cash to Adjusted Enterprise Value,Valuation,0.12992264336503356,2.956853525125531,2.9195220268489943,2.956853525125531,1.0,17.0
ConsQPosChginTTMCF,Number of Consecutive Qtrs of Pos. Changes in TTM Cash Flows,Historical Growth,0.10874812066789019,2.945824477893252,3.675765806392789,2.945824477893252,4.0,18.0
ROA,Return on Assets,Capital Efficiency,0.08971272628454141,2.9221774385504555,3.542566615109138,2.9221774385504555,3.0,19.0
WCAccruals,Working Capital Accruals,Earnings Quality,0.05768615501700047,2.896399080120065,3.035813352041727,2.896399080120065,7.0,20.0
PAdjChg1YSales,1Y Chg in Sales to Price,Historical Growth,0.07588793359458457,2.8888781393888463,3.3276557087264305,2.8888781393888463,5.0,21.0
CurLiaP,Current Liability to Price,Valuation,0.12429071297763428,2.8684179431406482,2.67313524854338,2.8684179431406482,2.0,22.0
Chg1YOPM,1Y Chg in Operating Margin,Historical Growth,0.07247745460693844,2.8661072707220874,2.7571299623978653,2.8661072707220874,6.0,23.0
OCFRatio,Operating Cash Flow Ratio,Capital Efficiency,0.0834097900126114,2.850362312677086,3.9196930095137605,2.850362312677086,4.0,24.0
GPMargin,Gross Profit Margin,Earnings Quality,0.0840206518838702,2.8399651472523235,2.3850598399922256,2.8399651472523235,8.0,25.0
BookLev,Book Leverage,Volatility,0.0770365476227588,2.8396388494739417,3.4888093257524617,2.8396388494739417,1.0,26.0
InvPEGC,Inverse PEG,Analyst Expectations,0.06263644203992125,2.8194258424348835,3.476869412123498,2.8194258424348835,5.0,27.0
FCFEV,Free Cash Flow to Enterprise Value,Valuation,0.06016920346414345,2.811255020349936,2.9340573207779737,2.811255020349936,3.0,28.0
PAdjChg3YFCF,3Y Chg in Free Cash Flow to Price,Historical Growth,0.049985332861661735,2.8093827813842633,2.6066546268818467,2.8093827813842633,7.0,29.0
OCFIC,Operating Cash Flow to Invested Capital,Earnings Quality,0.08671226447553515,2.8073049862720585,3.3767262650998857,2.8073049862720585,9.0,30.0
PAdjChg1YEPS,1Y Chg in Earnings to Price,Historical Growth,0.06502710182327731,2.8058118264908036,2.503053735138485,2.8058118264908036,8.0,31.0
LogAssets,Log of Total Last Quarter Assets,Size,0.10026860069346233,2.7921244900827342,2.480151328242449,2.7921244900827342,1.0,32.0
OPM,Operating Margin,Earnings Quality,0.07666390058349792,2.782910324809381,3.1388850126667487,2.782910324809381,10.0,33.0
AdjRev3MFY1C,Adjusted 3M Revision in FY1 EPS Estimate,Analyst Expectations,0.08503127165215929,2.76358043083338,3.084588835181602,2.76358043083338,6.0,34.0
CFIC,Cash Flow to Invested Capital,Earnings Quality,0.07425228691207386,2.7611867065441418,4.081476779475387,2.7611867065441418,11.0,35.0
PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,Historical Growth,0.044504076161406836,2.75805958579589,2.9143996505225194,2.75805958579589,9.0,36.0
PAdjChg3YOCF,3Y Chg in Operating Cash Flow to Price,Historical Growth,0.05734584201904758,2.750844023784883,2.8673367421502953,2.750844023784883,10.0,37.0
