date,cew_return,gross_stock,cost_stock,tax_stock,net_stock,cost_factor_level,cost_factor_at_base,turnover_oneway
2018-06-30,-0.010028506813063933,-0.009433501220439788,0.0,0.0,-0.009433501220439788,0.00031488774396279704,0.0005248129066046617,0.0
2018-07-31,-0.003846900051557109,-0.0032580865925514037,0.000596867552121843,2.0291858275697935e-06,-0.0038569833305008164,0.0003922802735833651,0.0006538004559722752,0.2984337760609215
2018-08-31,0.002444159402847809,0.002924970156405972,0.00067586577750609,3.53941773176923e-06,0.002245564961168113,0.000479214222616513,0.0007986903710275217,0.337932888753045
2018-09-30,0.00010069781690914061,0.00047253203070787234,0.0006451594723126049,3.440509879271643e-06,-0.0001760679514840042,0.00034598424541590627,0.0005766404090265105,0.3225797361563024
2018-10-31,-0.0018349969647763528,-0.0019604403589686295,0.0005294907252029584,2.6390479930986183e-06,-0.0024925701321646867,0.000470103084137995,0.0007835051402299917,0.2647453626014792
2018-11-30,0.003539269749344375,0.004745961974749414,0.0006388108108887616,3.1759812794394755e-06,0.0041039751825812125,0.0006001118722090722,0.001000186453681787,0.3194054054443808
2018-12-31,0.0049403120076067725,0.005131929817854661,0.0007145068338231503,3.85509017003065e-06,0.00441356789386148,0.00038129599999514683,0.0006354933333252448,0.35725341691157514
2019-01-31,-0.000382640972530011,-0.00013655824629177533,0.0004560307189117578,2.1991637747996856e-06,-0.0005947881289783329,0.0003754869728573243,0.0006258116214288738,0.22801535945587892
2019-02-28,0.000343745334617525,0.0010817037164988742,0.0005394360849389458,2.4421551758012303e-06,0.0005398254763841272,0.00064282156891053,0.0010713692815175501,0.2697180424694729
2019-03-31,-0.0010782678273377716,-0.0011425075020308345,0.0006704907849409011,2.419051817769955e-06,-0.0018154173387895055,0.0005063431457815147,0.0008439052429691913,0.33524539247045054
2019-04-30,0.0032328007797004215,0.004186929772052755,0.0005596574053047396,2.087373102263252e-06,0.003625184993645752,0.0006141634922003137,0.0010236058203338563,0.2798287026523698
2019-05-31,0.0030938757244716886,0.0032888446698830314,0.000643986360356562,2.6966752502269834e-06,0.0026421616342762427,0.0005890823974192127,0.0009818039956986878,0.321993180178281
2019-06-30,0.004743234040177081,0.004969618986111166,0.0007387159237374208,3.547808656933218e-06,0.004227355253716812,0.0003819158253788605,0.0006365263756314342,0.3693579618687104
2019-07-31,0.003979579261630986,0.00433222744288431,0.0006060285995345096,3.510249428744454e-06,0.003722688593921056,0.0005455255004575669,0.0009092091674292782,0.3030142997672548
2019-08-31,0.0049078363187502845,0.004941525996731134,0.0006399566142862271,3.0683552593266487e-06,0.00429850102718558,0.0005752168192350239,0.0009586946987250399,0.3199783071431136
2019-09-30,2.4400610846899752e-05,0.001219893481548627,0.000616038981410295,3.1893182722617843e-06,0.0006006651818660703,0.00039187461586222586,0.0006531243597703765,0.3080194907051475
2019-10-31,-0.006756100317070206,-0.006273224904208667,0.0004938878316493018,2.6854219483266737e-06,-0.006769798157806295,0.00048289675856489386,0.0008048279309414898,0.24694391582465086
2019-11-30,-0.0021453001485260055,-0.001889989068683959,0.0007633655972770384,4.534706159426167e-06,-0.0026578893721204235,0.0005260021046756229,0.0008766701744593715,0.38168279863851917
2019-12-31,-0.0005747155501405897,-0.0003803822937686386,0.00096940674308989,6.079530237198064e-06,-0.0013558685670957266,0.0005057119513454151,0.0008428532522423586,0.48470337154494497
2020-01-31,-0.00017268931046302398,0.0004260363568165556,0.0007253385417348028,3.7680659071547975e-06,-0.000303070250825402,0.00046581238945013855,0.0007763539824168976,0.3626692708674014
2020-02-29,0.002468667339212048,0.0023501971245898996,0.0006899441575606353,2.3482128350057834e-06,0.0016579047541942587,0.0005691857949274594,0.0009486429915457657,0.34497207878031766
2020-03-31,0.011735574619808967,0.012349996847669804,0.000554508092335598,2.930867985359234e-06,0.011792557887348848,0.0006049842422918119,0.0010083070704863533,0.27725404616779903
2020-04-30,0.006179326296068064,0.0024806894963719365,0.0006306471101724509,2.4745714853487927e-06,0.001847567814714137,0.00045832310946014094,0.000763871849100235,0.31532355508622545
2020-05-31,0.0036899379222674203,0.003712837564718724,0.000522914526904608,3.1128316174236405e-06,0.0031868102061966925,0.0005348087918294478,0.000891347986382413,0.261457263452304
2020-06-30,0.0029629814565799192,0.003856144405672779,0.0007893913284815035,4.754397948033033e-06,0.003061998679243242,0.0004521554876111766,0.0007535924793519611,0.3946956642407517
2020-07-31,0.022039598580044378,0.018858316299061127,0.0004980958631195882,2.182326311214171e-06,0.018358038109630326,0.000505991976775374,0.00084331996129229,0.24904793155979413
2020-08-31,-0.014320724858023262,-0.010479184339653832,0.0006527217129273738,3.169542867593473e-06,-0.011135075595448799,0.0005039394095619042,0.000839899015936507,0.3263608564636869
2020-09-30,0.0038627933431731047,0.0034487527229674305,0.0006967682202035523,2.6241968392304716e-06,0.0027493603059246478,0.00030897202616505745,0.0005149533769417625,0.3483841101017761
2020-10-31,-0.0010424259847705473,-0.000538926849401173,0.000430039636792597,1.8345491692922168e-06,-0.0009708010353630623,0.00029683588086372003,0.0004947264681062001,0.2150198183962985
2020-11-30,-0.02026053810955911,-0.01966428438157511,0.0005822894923712337,2.784046068201309e-06,-0.020249357920014543,0.0005703070906628774,0.0009505118177714624,0.2911447461856168
2020-12-31,0.004091543995862523,0.003922331095504377,0.0011424786953118094,6.453099339073824e-06,0.0027733993008534938,0.000456396194606711,0.0007606603243445183,0.5712393476559047
2021-01-31,-0.0035729454246851795,-0.003945521683213761,0.0005172676806724146,2.5759282097703836e-06,-0.004465365292095946,0.0004425760480736981,0.0007376267467894969,0.2586338403362073
2021-02-28,-0.005512105376142451,-0.00270160570376713,0.0007744764790025969,2.9516688594107854e-06,-0.0034790338516291373,0.0005632610421196011,0.0009387684035326685,0.38723823950129843
2021-03-31,-0.0034523437717314254,-0.0024645377209961015,0.0009288514960043291,4.009184408686299e-06,-0.003397398401409117,0.0004156248129829547,0.0006927080216382578,0.4644257480021646
2021-04-30,0.004134860231247221,0.004246605297112403,0.0007623229727908075,3.2658108073172342e-06,0.0034810165135142784,0.00044528557457995243,0.0007421426242999208,0.38116148639540376
2021-05-31,0.0033908381881756467,0.0049789990231416574,0.0005822533568562065,2.650351699502647e-06,0.004394095314585948,0.0004595608889424777,0.0007659348149041295,0.29112667842810325
2021-06-30,0.003752266869479419,0.0030146071455263755,0.0008362092803951096,3.6217509862294295e-06,0.0021747761141450365,0.00040656397710352155,0.0006776066285058693,0.4181046401975548
2021-07-31,0.008148931787614734,0.008279751819672138,0.0005250971916955756,1.845013331304213e-06,0.007752809614645258,0.0004195031257397556,0.000699171876232926,0.2625485958477878
2021-08-31,0.0017603422797388044,0.002230372288146461,0.0004954935870355272,1.5787955974016101e-06,0.0017332999055135322,0.0004564808692582,0.0007608014487636666,0.24774679351776363
2021-09-30,-0.014833036832548548,-0.014410291673422592,0.0005109178749727426,2.563133784942965e-06,-0.01492377268218028,0.00021079379940008836,0.0003513229990001473,0.25545893748637133
2021-10-31,0.012054112002857286,0.011001104739942712,0.0007871629815962055,4.062518885555675e-06,0.010209879239460953,0.00034441402986876916,0.0005740233831146153,0.39358149079810273
2021-11-30,0.005200774615660106,0.005706149369362489,0.0006073017968389863,3.107867926274524e-06,0.005095739704597228,0.0005529044786805327,0.0009215074644675546,0.3036508984194931
