,CURRENT_mp,CURRENT_ew,CURRENT_mp_cum,NO_FILTER_mp,NO_FILTER_ew,NO_FILTER_mp_cum,PARTIAL_mp,PARTIAL_ew,PARTIAL_mp_cum
2020-12-31,0.04817005403342955,0.02565839804666861,1.0481700540334296,0.05947479860445231,0.054604469834050075,1.0594747986044524,0.03676530912999525,0.04790584026221583,1.0367653091299953
2021-01-31,0.03228416887909129,0.035133881997764696,1.082009353071851,0.024762020872435325,0.030709105917128467,1.085709535681315,0.017948869672779942,0.030291532378079872,1.055374074544829
2021-02-28,-0.04632659475889836,-0.02505411785659842,1.0318835442467538,-0.026802514868691767,-0.0301814304932489,1.056609789708136,-0.04161581943397455,-0.039286779236223944,1.0114538176232735
2021-03-31,-0.02851540831866683,-0.025728293321352506,1.0024589636452446,-0.025156107019417926,-0.018336491439825235,1.0300296007604735,-0.028325380068356155,-0.02609500636610471,0.9828040038175044
2021-04-30,0.046605807305408135,0.04377236812470774,1.049179372936474,0.04346146869011031,0.03909352364214265,1.0747962000038116,0.04726240745924644,0.04439984036907974,1.029253687098506
2021-05-31,0.0017633114379320644,0.00040779516739103606,1.0510294029252152,0.01400226995620511,0.006544436068147813,1.0898457865441682,-0.0010111329828491273,-0.0010196163997106683,1.0282129747477617
2021-06-30,0.02256044315920159,0.026230772149796865,1.0747410920285592,0.01923726073581194,0.019243614925322464,1.1108114341017445,0.021515672943565555,0.02270152867031306,1.050335668828765
2021-07-31,0.0033835428601301934,0.004464349480427391,1.0783775245769809,0.00643530195719446,0.006441638317758123,1.1179598410976936,0.006056527106644566,0.005413769997467909,1.056697055278102
2021-08-31,-0.02173408157428572,-0.011398412577354602,1.0549399794899486,0.005020307817204868,-0.01154174968283991,1.1235723436272775,-0.02211481019234448,-0.011494691121042486,1.0333284004698176
2021-09-30,-0.038869924366025946,-0.034747208168634316,1.0139345422764772,-0.038572236470942343,-0.03609342557538091,1.0802336454966752,-0.05834007415426436,-0.05410214797677972,0.973043944960701
