,CURRENT_mp,CURRENT_ew,CURRENT_mp_cum,EW_SKIP_MIX_mp,EW_SKIP_MIX_ew,EW_SKIP_MIX_mp_cum,EW_KEEP_MIX_mp,EW_KEEP_MIX_ew,EW_KEEP_MIX_mp_cum
2020-12-31,0.04817005403342955,0.02565839804666861,1.0481700540334296,0.06383658495918092,0.06469334483604423,1.0638365849591809,0.025658398046668605,0.025658398046668612,1.0256583980466687
2021-01-31,0.03228416887909129,0.035133881997764696,1.082009353071851,0.03868714275181232,0.03916102642852508,1.1049933827860972,0.03513388199776471,0.0351338819977647,1.0616937591736566
2021-02-28,-0.04632659475889836,-0.02505411785659842,1.0318835442467538,-0.038736095128424845,-0.03923638719331937,1.062190253994215,-0.025054117856598425,-0.02505411785659842,1.035093958603705
2021-03-31,-0.02851540831866683,-0.025728293321352506,1.0024589636452446,-0.021693766919242,-0.02286596940008296,1.0391473462001741,-0.025728293321352506,-0.025728293321352506,1.0084627576215888
2021-04-30,0.046605807305408135,0.04377236812470774,1.049179372936474,0.040956920991598166,0.04201508610580903,1.0817076219571236,0.04377236812470774,0.04377236812470774,1.052605560688259
2021-05-31,0.0017633114379320644,0.00040779516739103606,1.0510294029252152,-0.0003685254585199358,0.00025033866510878745,1.0813089851597573,0.0004077951673910357,0.00040779516739103606,1.0530348081490766
2021-06-30,0.02256044315920159,0.026230772149796865,1.0747410920285592,0.02904747737188294,0.029955867162551768,1.112718283438199,0.026230772149796865,0.026230772149796865,1.08065672426744
2021-07-31,0.0033835428601301934,0.004464349480427391,1.0783775245769809,0.020231910628855494,0.022226708564184797,1.1352307003038142,0.004464349480427389,0.004464349480427389,1.0854811535529436
2021-08-31,-0.02173408157428572,-0.011398412577354602,1.0549399794899486,-0.010767658953962369,-0.00911066901444079,1.1230069232888749,-0.011398412577354605,-0.011398412577354607,1.0731083915198043
2021-09-30,-0.038869924366025946,-0.034747208168634316,1.0139345422764772,-0.03672479680055693,-0.03983194862384722,1.0817647222254723,-0.034747208168634316,-0.034747208168634316,1.0358208708521572
2021-10-31,0.013399749413063834,0.015409196255616871,1.0275210110642314,0.008648026010170699,0.010228712161150809,1.0911198516801632,0.015409196255616871,0.015409196255616871,1.0517820379367822
2021-11-30,-0.002284719581295157,-0.004246699592522569,1.0251734136900608,-0.009270262294588948,-0.010083699919652269,1.0810048844602551,-0.004246699592522569,-0.004246699592522568,1.0473154355848535
2021-12-31,-0.06627765030616217,-0.06073460542626816,0.9572273286743364,-0.04451036144273381,-0.047891974362296016,1.0328889663315686,-0.05048220567876323,-0.060734605426268164,0.9944446423551154
2022-01-31,-0.02031266395484366,-0.02163889406239066,0.9377834916185819,-0.027401221941741372,-0.028584313423321656,1.0045865465239414,-0.017433612021318323,-0.02163889406239066,0.9771078802836177
2022-02-28,0.034196744442038546,0.024630922436256163,0.9698526340234251,0.021205453922024397,0.022863817163619102,1.0258892602469405,0.02142638559467266,0.02463092243625616,0.9980437704941677
2022-03-31,0.001490835713229562,0.01855354539832519,0.9712985249667969,0.004264856298179621,0.004098384534501922,1.0302645305197393,0.01855354539832519,0.01855354539832519,1.0165610208995468
2022-04-30,0.01835515273561277,0.00430040133186776,0.9891268577444379,-0.0014999603279981732,-0.0017673238574994836,1.028719174596616,0.0043004013318677595,0.00430040133186776,1.020932641267748
2022-05-31,-0.00028403765593997443,-0.0006365740519177319,0.9888459084703368,-0.003460979847965316,-0.004181357688629601,1.0251587982641215,-0.0006365740519177331,-0.0006365740519177309,1.020282742039561
2022-06-30,0.005150082850218806,0.0027914547129549746,0.993938546825059,0.004712101911900097,2.5703132853016343e-05,1.029989450997423,0.008573287899052054,0.0027914547129549733,1.0290299197255004
2022-07-31,-0.002232631028125545,0.0033089584272524117,0.9917194487853673,-0.007766670510591633,-0.005194224205289037,1.0219898623021408,0.001347119357925614,0.0033089584272524117,1.0304161458502472
2022-08-31,-0.018370782740583916,-0.01660776611718818,0.9735007862521198,-0.002017595959010697,-0.0017888761463781295,1.01992789968581,-0.01613136522251394,-0.01660776611718818,1.0137941266703616
2022-09-30,-0.0017324510232839467,0.002777359091800602,0.9718142438188097,-0.0013730199657725286,0.00013435498166222608,1.018527518315893,0.0027773590918006015,0.002777359091800602,1.0166097970052836
2022-10-31,-0.02291539467836731,-0.02409936460355924,0.9495447368676425,-0.014969433052369899,-0.014036191789953306,1.0032807388184668,-0.02409936460355924,-0.02409936460355924,0.992110146847703
2022-11-30,-0.007152342833884833,0.000820889725574562,0.9427532673734541,-0.009929542087271762,-0.012363156741713446,0.9933186204970197,0.0008208897255745631,0.000820889725574562,0.9929245598738886
2022-12-31,0.016749452596407092,0.007865472107005243,0.9585438685354337,-0.011130898669775397,-0.010758533263126889,0.9822620915854663,0.004439258064598349,0.007865472107005243,0.9973324082338466
2023-01-31,0.007997431282505033,0.007869058904379401,0.9662097572553124,0.007770881974900652,0.00689785900513219,0.989895134367596,0.0071740496853088835,0.007869058904379401,1.0044873204832852
2023-02-28,-0.018981321490611658,-0.020148609129721985,0.9478698192254835,-0.009745738631019315,-0.008954329568195555,0.9802478751159317,-0.022543915615604766,-0.020148609129721985,0.981842243093365
2023-03-31,-0.007675107769138978,-0.02442069321541509,0.9405948162118137,-0.011656786971632782,-0.012773378941860331,0.9688213344563096,-0.025467469515386826,-0.024420693215415085,0.9568372056984658
2023-04-30,0.003187884935536724,-0.009282737099685686,0.9435933242568593,-0.005700586366067507,-0.0028939405329290973,0.9632984847659526,-0.009322334850983122,-0.009282737099685688,0.9479172488690657
2023-05-31,0.011490783801369316,0.009913087844381191,0.9544359511423103,0.004899492956422566,0.005735166739087424,0.9680181589069959,0.007414015606385706,0.00991308784438119,0.9549451221457432
2023-06-30,-0.002185345934916277,0.004171443976007187,0.9523501784163435,0.0027801826747872243,0.003532620544539902,0.9707094262212687,0.001885808370935737,0.004171443976007189,0.9567459656508699
2023-07-31,0.0006943141323700219,0.010423643115743123,0.9530114086041831,-0.0015399429182130337,-0.0007890694104184487,0.9692145891147166,0.007613043452260479,0.010423643115743123,0.9640297142601449
2023-08-31,-0.006690472838797067,-0.004649430784686352,0.946635311659853,0.00815136204914783,0.011774925737215756,0.9771150081339066,-0.00539242511078189,-0.004649430784686352,0.9588312562214287
2023-09-30,-0.005944947662160093,-0.003673051466237469,0.9410076142768825,-0.00025479879068915,-0.0002714683411205789,0.9768660404114698,-0.003933706726641867,-0.003673051466237469,0.955059495259116
2023-10-31,-0.014440413302293469,-0.016498294758681222,0.9274190754061191,-0.013103605196639913,-0.014796811816533422,0.9640655734879131,-0.01506341860556772,-0.016498294758681226,0.9406730342888058
2023-11-30,0.001576941382848757,0.0017903804382493446,0.9288815609253704,0.0027046057849417758,0.004045279117580678,0.9666729908150318,0.0006561984886328329,0.0017903804382493446,0.9412903025122038
2023-12-31,-0.006581227159849068,-0.003968688710419866,0.9227683803683253,0.0014576665740785471,0.00010625626610836366,0.9680820777218074,-0.003968688710419866,-0.003968688710419867,0.9375546143153959
2024-01-31,0.04264152608760291,0.022507570841927393,0.9621166323326164,0.0259678515089476,0.02635977508491354,0.9932210893645609,0.022507570841927393,0.022507570841927393,0.9586566912152755
2024-02-29,-0.005608157683659483,0.008880491471592662,0.9567209305484236,0.014006158840743833,0.014561767597682344,1.0071323017061775,0.00888049147159266,0.00888049147159266,0.9671700337857981
2024-03-31,0.011407186295341215,0.006363828199525946,0.9676344244358417,0.009451639508484247,0.012073074788968123,1.0166513531592543,0.00827385871905438,0.0063638281995259454,0.9751722620026447
