ddt,ticker,isin,gvkeyiid,style,ls_weight,style_ls_weight,factor_weight
2026-08-31,601066 CH Equity,CNE1000031T5,32298603W,MP,6.863063677908806e-05,6.863063677908806e-05,0.21096983074132325
2026-08-31,601077 CH Equity,CNE100003NZ9,29631103W,MP,-0.0004706291532336574,-0.0004706291532336574,0.25302093795899044
2026-08-31,601088 CH Equity,CNE100000767,27315302W,MP,0.00048472931805333783,0.00048472931805333783,0.1709976442445594
2026-08-31,601099 CH Equity,CNE1000008V9,28774601W,MP,6.807200613742211e-05,6.807200613742211e-05,0.1164234505052031
2026-08-31,601100 CH Equity,CNE1000019R4,30319201W,MP,0.0004978471933568266,0.0004978471933568266,0.35383351480946357
2026-08-31,601108 CH Equity,CNE100002V44,32572501W,MP,0.00010068118538255591,0.00010068118538255591,0.1421179563451515
2026-08-31,601111 CH Equity,CNE000001NN0,27146702W,MP,-0.0001597850757722032,-0.0001597850757722032,0.3959943858493656
2026-08-31,601117 CH Equity,CNE100000KC0,29361201W,MP,0.0006766726159463464,0.0006766726159463464,0.43191259572903473
2026-08-31,601127 CH Equity,CNE1000028B9,32180201W,MP,0.0003660916815704058,0.0003660916815704058,0.4071446813976631
2026-08-31,601128 CH Equity,CNE100002RJ6,32256201W,MP,1.4127250390871411e-05,1.4127250390871411e-05,0.2888022359618325
2026-08-31,601138 CH Equity,CNE1000031P3,32738601W,MP,0.0006797717976406868,0.0006797717976406868,0.48919302955341976
2026-08-31,601162 CH Equity,CNE100003F43,32806701W,MP,6.222079591230709e-05,6.222079591230709e-05,0.12303345138676515
2026-08-31,601166 CH Equity,CNE000001QZ7,28248301W,MP,-9.477337950466665e-05,-9.477337950466665e-05,0.11159484908663278
2026-08-31,601168 CH Equity,CNE100000619,28541101W,MP,0.0006244721266299098,0.0006244721266299098,0.34281159277214407
2026-08-31,601169 CH Equity,CNE100000734,28610901W,MP,-0.00024837570390658537,-0.00024837570390658537,0.2817614871891688
2026-08-31,601179 CH Equity,CNE100000KW8,29372801W,MP,-0.00012077252853279209,-0.00012077252853279209,0.30672917115546716
2026-08-31,601186 CH Equity,CNE1000009T1,28841402W,MP,-0.00023467058754875704,-0.00023467058754875704,0.29315347492914834
2026-08-31,601198 CH Equity,CNE100002177,31928401W,MP,0.0002632922954043848,0.0002632922954043848,0.1902486817959413
2026-08-31,601211 CH Equity,CNE1000022F3,31995701W,MP,0.00012307003981157998,0.00012307003981157998,0.15463232661836962
2026-08-31,601212 CH Equity,CNE100002RP3,32355301W,MP,0.00011375959540852338,0.00011375959540852338,0.08520045056680915
2026-08-31,601216 CH Equity,CNE1000010F8,29686701W,MP,0.0,0.0,0.0
2026-08-31,601225 CH Equity,CNE100001T64,31705701W,MP,-7.440079444316766e-05,-7.440079444316766e-05,0.19209891717697863
2026-08-31,601229 CH Equity,CNE100002FM5,32288601W,MP,3.569634293660422e-05,3.569634293660422e-05,0.1844169863028789
2026-08-31,601231 CH Equity,CNE100001BZ8,31164401W,MP,-4.441450508516959e-06,-4.441450508516959e-06,0.3740393918160377
2026-08-31,601233 CH Equity,CNE1000012X7,29730101W,MP,-0.0002452365059373837,-0.0002452365059373837,0.20068760611297937
2026-08-31,601288 CH Equity,CNE100000RJ0,26978301W,MP,-0.00020094789727129403,-0.00020094789727129403,0.24161177569843675
2026-08-31,601318 CH Equity,CNE000001R84,16070902W,MP,0.00041967236581908634,0.00041967236581908634,0.20983231049009687
2026-08-31,601319 CH Equity,CNE100003F27,31421406W,MP,0.00029623129171312993,0.00029623129171312993,0.18620653390753883
2026-08-31,601328 CH Equity,CNE1000000S2,26746202W,MP,-0.0003257153577711054,-0.0003257153577711054,0.1658926672483354
2026-08-31,601336 CH Equity,CNE1000019Y0,31039501W,MP,0.000442359017428316,0.000442359017428316,0.3026487198300398
2026-08-31,601360 CH Equity,CNE100002RZ2,18671701W,MP,0.0001168823996010168,0.0001168823996010168,0.2758054964469143
2026-08-31,601377 CH Equity,CNE100000V95,29537901W,MP,-9.420338781504802e-06,-9.420338781504802e-06,0.21345507634874403
2026-08-31,601390 CH Equity,CNE100000866,28731101W,MP,-0.0001591309580823769,-0.0001591309580823769,0.3042496140666553
