,PM6M,52WSlope,SalesAcc,BuyToSellRecLess3MEMA,Rev3MFY2C,RevMagFY1C,AdjEPSNumRevFY1C,HL52W,EstDiffC,AdjRevMagC,EPSNumRevFY1C,6MTTMSalesMom,BuyToSellRecLess3MSMA,90DCV,PM12M1M,Rev3MFY1C,3MSalesMom,OEP,AnnVol1M,SUEC,RskAdjRS,Chg1YOCF,EP,FwdEPC,StdErr180D,PA52WL20DLag,Beta60M,AdjEPSNumRevFY2C,4To52WPrcOsc,50To200PrcRatio,EPSStab,LTDE,52WVPT20DLag,CapExToAst,AstAdjChg1YFCF,5DMoneyFlowVol,FCFSales,PRatio15To36W,TobinQ,6MAvgChg1MRecC,6MChgTgtPrc,6MChgTgtPrcGap,50DVolSig,OCFRatio,10DMACD,PM1M,24MResRtnVar,IntCovRatio,Alpha60M,Chg1YFCF
PRatio15To36W,-0.6026256146909792,0.831576594208876,-0.5746325445621255,0.05309018212412469,0.7721423410011384,0.8081935940539607,-0.2442626717483465,0.7169489047354152,-0.25214658425121056,0.8874008847078881,-0.24992488573687283,-0.8520987684261006,0.29750511260961543,0.12366282376959384,0.7302230877456498,0.17955372599926395,-0.7756420483867551,0.06655781538841751,0.6062222298975711,-0.5098806259459608,-0.6751926701470063,-0.32738556621281234,0.06646759028920687,-0.25915731291523436,0.5862010554512564,0.6974203609275753,-0.43705466934740256,0.6184999213462099,0.7508488653141447,0.9249288498363031,0.1974550033254806,0.47323022920761243,0.8213335878286567,0.6212859865622098,-0.13409708008942245,0.741728182402986,0.14595404079393592,1.0,0.22030248223667923,0.38290500409674777,0.5253687441520857,0.07940226244925062,0.8167701386155675,0.11918006322959118,0.30958663416661675,-0.0173070690084235,-0.8483854125263882,-0.4039953464707333,0.6411992517339493,0.1537570947136043
TobinQ,0.47587846255935995,0.24377154994891992,0.33131390870370003,-0.3734294937912596,0.14996866159471403,0.09403106952760255,0.24448698271521827,0.08451436127868706,0.3471949030079808,0.18269556773926154,0.17218424644209276,-0.0006810360627628715,-0.17657748794518113,0.16973739807490446,0.06880840363847684,0.328977959772117,0.11544911904990739,-0.26349969903728343,-0.38734295474053243,0.05334255214147025,0.5686015454542341,0.0008527310098890651,-0.26349969903728343,0.11462458523845474,-0.11725636964382598,-0.15318284727578657,0.2836292318591933,-0.052435789632322746,0.06938024610648744,-0.15805941698662684,-0.2457261079466913,0.5855829435801799,-0.06147493211771851,-0.21457562037165118,-0.6067610165162509,0.27203130759776045,-0.38978310668004196,-0.18926163278705835,1.0,-0.4461171496021925,0.35858452327317264,0.48965332656987454,-0.15924564874280744,-0.0390579357067028,0.278709383067869,0.207291221861778,0.2839167750723635,-0.22052834148758435,0.17150730956902466,-0.20950560465590698
6MAvgChg1MRecC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6MChgTgtPrc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6MChgTgtPrcGap,0.3289600242869616,0.6252588363798236,-0.03302030139941363,-0.19371647728189503,0.231341401566697,0.4534176855748405,0.4930882697529448,0.22118875271023328,0.5512615380816553,0.5712612867739716,0.48188244516693013,-0.4255022524672074,-0.061558379861595215,0.7582314059661256,0.41140053116734115,0.5813597429435083,-0.10104545058644128,-0.2704443044591992,0.025635287690343463,-0.33040825355137476,0.6114442040754473,-0.2352629307749353,-0.2704400726294557,0.025720069764015377,0.07731617963271027,0.3828462888088769,0.4176106552517235,0.14603595994127136,0.25363554459462356,0.033997216331241246,0.10286506940866363,0.5742006569823431,0.526438063939072,0.10844663492245955,-0.14503222992390152,-0.6062892883248019,-0.0150941016663986,0.06550158571390773,-0.010584648370883756,-0.048326371705785756,0.36061406506077875,1.0000000000000004,-0.8192591488448151,-0.04530579233980711,0.07916463171330389,0.1918331594585956,-0.3593041706398885,0.14151678596127049,-0.08775789567808313,0.43867401442380527
50DVolSig,-0.5286530413868357,0.095428571394808,0.3249322077687974,-0.11098862124982907,0.1963870263085384,0.30386246310920556,0.568187415427343,0.5903836187487236,0.585865535228118,0.3660874554699493,0.32138912648641277,0.04300308734491392,-0.2090775360766199,0.3589401192866057,0.21836161583080135,0.2250338740377247,0.21410088994993703,-0.24713710730217772,0.3607521169358588,0.1600667527314164,-0.42816542492753656,-0.08386668199826798,-0.24710589459581814,-0.5878574417581448,0.3584469351177228,0.36450034744755344,0.4839790360512052,0.4743397590485124,0.33231021204721417,0.35324816570627043,0.1271269280689799,0.4945875250964325,0.007790728247056698,-0.24901333999616063,0.34825183248377634,-0.24795308616025807,0.11605937015567637,0.21180309605078315,-0.3310821482513119,0.18265926995505985,0.35175265101731895,-0.21091861166595158,1.0,0.11162373170008902,0.5828881969251106,-0.22613055839997398,-0.15065502643253242,0.3125542787353382,-0.36813864729480644,0.08533283957633075
OCFRatio,-0.703271113365459,0.7931152327616731,0.7961706347481429,0.9522503889008466,0.39544142254602316,0.5745417820435744,0.45998280340725956,0.7961931448117293,0.5503137604842333,0.4947736353034923,0.16901859622753293,-0.011789029541707593,0.9682930825200525,0.8924049091394727,0.7598169695193525,0.8497267219016786,0.3488012115144025,-0.11465927107871954,0.5882085004922146,0.2942834577959937,0.32430863803894067,0.5565497917413195,-0.11414810162356456,-0.11447286436110715,0.7784996965503886,0.7462239453617862,0.24853332208908788,-0.3516781734625127,0.7789460746369815,0.7911618152532304,0.5931262205216482,0.13757445127867884,0.6675430077250929,0.31295638207389825,0.19624027192620594,0.05714888710615503,0.6883535736642422,0.8293332221711179,-0.6064579594290248,0.8710381874032247,0.8320630674464479,-0.33853711748861404,0.31347816446428056,1.0,0.13543061416941368,0.7061524487380392,-0.03955227452696046,0.717822373857027,-0.23849883608747316,0.25121596856001055
10DMACD,0.10900908858200882,-0.8232783923934558,0.23306963405992867,0.14547835092328915,-0.2636547561134123,-0.6461226651290013,0.10434899043181713,-0.6246225876265984,-0.03991210921625273,-0.6995784674133522,0.01670796147627145,0.6401860721947515,-0.03662483616912986,-0.40692262334592866,-0.7167216864561082,-0.630034677938545,0.4363634115475723,-0.010848487766626157,-0.3972352460346316,0.880970338925111,-0.5938416443245764,0.6094401803519827,-0.010893180147422436,0.054490541710063296,-0.4190824991638402,-0.5491369886189698,0.47948095672859464,0.03844966870253214,-0.588541757041135,-0.42631454810302266,-0.336556137799734,-0.5307681052749769,-0.5686989553624358,-0.062196112739185315,-0.22078945831219424,0.462846745708882,-0.28155354148647427,-0.511828515187818,0.3970361075574437,-0.25061942428481493,-0.7397563599915492,-0.41243649761359247,0.39960136471811225,0.047251725691789995,1.0,-0.7227120238259349,0.4465960367526056,0.09293843120079055,-0.5051676072557413,-0.545870149412823
PM1M,-0.043699830968915894,-0.9263394122461124,-0.7338381482126856,-0.654522606776835,-0.6713245393828987,-0.8503940233360254,-0.2725053773390681,-0.5887565940028398,-0.24314761733988802,-0.8147719736590844,-0.672823067877042,-0.5327697872140585,-0.7712384349834838,0.13063082114767854,-0.8287166593692541,-0.8021757469142519,-0.60528733225048,-0.2054322204465201,0.49725989907538687,-0.3129054137337797,-0.42925361459585243,-0.05209854066294839,-0.20554647609987076,-0.054282754482579056,-0.5063985700052421,-0.47068509452073826,0.3025549387976826,-0.2091874076339832,-0.7866566726662577,-0.5447483967385788,-0.5561678865951738,-0.026368463077978622,-0.6109287475946837,0.07511105037573589,-0.007378230511960005,-0.3749199860433675,-0.5487205175611574,-0.6379805711458002,-0.3947971506949951,-0.7366101954813375,-0.7858511830260111,-0.4378518688607488,0.3148064352185418,-0.3319864659276786,-0.48776336113342006,0.9999999999999999,-0.4425822074852058,-0.4243912307356138,0.37601388103648825,-0.5421966756249298
24MResRtnVar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntCovRatio,-0.3097817712382165,0.24880092024276956,0.39886197969302595,0.5296456039133015,-0.03221924686132006,0.21360054180476068,-0.3134602530734004,0.7682735770500665,-0.35133186923622345,0.10575797847291199,-0.2188806600969218,0.12631809535204494,0.4191791924969547,0.1317878681259341,0.5623578194706773,0.1362227940109125,0.24626541795855236,0.3819988357102278,0.29486689120562254,0.02204972206790947,-0.29136841545399395,0.02944879824813821,0.3823298642749064,0.432365579184248,0.43653335458555226,0.5432850150324702,-0.16237255459434202,-0.5528109638937772,0.6667525927273487,0.6496482674343619,0.056978382026460474,-0.7004816204480343,0.4308270355711886,-0.10561090551832471,-0.2622446127076124,0.2865121930897414,0.21101385889180824,0.5006830837032313,0.16536871732386232,0.41668812333064403,0.32512078210602213,-0.49626887673213116,0.4217802786657621,0.12438980110002738,0.11249681354858583,-0.11647538430576425,0.3274017233084943,0.9999999999999998,-0.504056591655372,-0.22053948376713375
Alpha60M,0.016355179053394033,-0.16625545415920429,-0.3524554875030748,-0.21766817742404998,0.19590374282874556,-0.06804332865379217,-0.30519980468263697,-0.2859960690077941,-0.2938907899112277,-0.04229400692637586,-0.07767623947747128,-0.15039739107064443,-0.08616208783916972,0.1568549252191606,-0.03693269573836444,-0.1528372526540285,-0.30890263323475725,0.43147850674155946,0.18638495639416924,0.20012564382679862,0.10776967480587946,0.3516111970748829,0.4315297289577346,0.17733919983413746,-0.14826258887892946,0.015570785092499834,-0.4997431337118636,0.25330947207665094,-0.1450514962119354,-0.15916059818675382,0.33706192422653813,-0.03572809803493905,-0.14510938699097672,0.5985902986524176,0.07246093215820398,0.33969981663296206,0.2935308995967616,-0.22170226413942182,0.011186165214912922,0.051517421126862833,-0.17487541125487707,-0.04286772017366522,0.20788943558252745,0.1512017356035299,-0.7531107628793943,0.3974958853802412,-0.37207726124788787,-0.3977033495079199,0.9999999999999999,0.09501782609619083
Chg1YFCF,-0.48421997727588734,-0.033221359013117985,-0.2895610694937777,0.7187510520079481,0.3617746553329349,-0.19187309977496067,0.0023538065562381185,-0.16050783001376928,0.08800405204840259,-0.3568368619028194,-0.22944136126034537,0.36756304969920145,0.866068735115809,-0.24404539906026573,-0.1150971601324844,0.12966909309165792,0.544421465238121,-0.390260310339128,-0.25966597873487623,-0.46810697607400403,-0.10327133871149334,0.6305693031924166,-0.390260310339128,-0.6595000847069271,0.37874482504014945,-0.0029016182272314697,-0.4747596985983881,0.2700495154513414,0.08502477716315968,0.5081678773521184,-0.23871086764438032,0.23036181397798014,0.06496036896319211,0.31214023851108813,0.5862107126714243,0.12549916075967998,0.40816332648388515,0.5239313884410556,-0.8046783766568253,0.5241299879667107,0.24428704086819839,-0.04738221280866452,-0.0015310595978878635,0.8511032914984544,-0.054850605011217454,0.40621923295369716,-0.4212742273045273,-0.6091087937040373,0.7486001703155697,1.0000000000000002
