date,3YAvgAnnEPSGrw,3YAvgAnnSalesGrw,4WChgFwd12MEPS,6MAvgChg1MRecC,6MChgTgtPrc,6MChgTgtPrcGap,6MChgTgtPrcGapEMA,AccrualRatioCF,AdjAccruals,AdjChgEPStoSales,AdjEPSNumRevFY1C,AdjEPSNumRevFY2C,AdjIntCov,AdjRevMagC,Alpha12M6MPChg,AstAdjChg1YEPS,AstAdjChg1YFCF,AstAdjChg1YOCF,AstAdjChg3YFCF,BuyToSellRecLess3MEMA,BuyToSellRecLess3MSMA,CapAcqRatio,CapExToAst,CapExToSales,CashAst,Chg1YAstTo,Chg1YEPS,Chg1YOCF,Chg1YOPM,Chg3YAstTo,Chg3YFCF,ChgDeprCapex,DA,DIVIDENDGROWTH,DivToCF,DivperShareGrowth,EPSNumRevFY1C,EPSToOCFChg,EPSToSalesChg1Y,ETO,FCFEV,FCFEqt,FCFP,FCFSales,FinLev,FwdFCFPC,GPMargin,IO_ChgofIO_AM,IO_ChgofNumHD,IntCovRatio,InvPEGYC,InvToAsset,InvToAst,InvToAstChg1Y,InvTurn,LTDA,LTDE,NCAP,OCFEV,PAYOUTRATIO,PAdjChg1YEPS,PAdjChg1YFCF,PAdjChg1YOCF,PAdjChg1YSales,PAdjChg3YEPS,PAdjChg3YFCF,PM1M,PrcTo260DL,ROAStddev20Q,ROEStddev20Q,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,RskAdjRS,SEV,STO,STO_6M,SUEC,SalesToInvCap,ShareChg,SharpeRatio,SolvencyRatio,UnexpectedInvChg,UnexpectedRecChg,WCAccruals,WCapToSales
2012-12-31,0.00016830407270941665,,,,,,0.0012022894629722014,,,0.0002935104559802094,,0.0004115059177087831,,-2.5947253425510836e-05,-0.0005664825907413199,,,,,-0.0001472464002355429,,,-0.0004085198415796161,0.0006473403658603548,,,,,,-0.00030438404229738385,-6.706954649075597e-05,0.000819383184726274,,,,0.00026159438509446524,,,1.6563476225784106e-05,0.0005346442662802237,0.0003275344345177524,,0.00029191247728079097,-0.0003472566937423531,0.0002317998509878231,4.6565689862951465e-05,,0.0005735607991179785,-0.0006544868751152304,,0.00023089615372905368,,-0.0007354940976979472,-8.499118013166933e-05,,,,0.0006774992476758374,,0.0005469477149111031,-0.00014684014138990098,-7.231362288596404e-06,0.00045071843482864105,,,,,,-0.0005017604730573016,,-5.468450170525369e-05,-0.0006933958862271612,-4.115617566146893e-05,0.0016337640927010415,,,-0.0015631613243302944,-0.00023176953812560093,0.00045384739220476157,,,,-0.0002772564082763283,,,
2013-01-31,-0.0006614154907505587,,,,,,-0.0016230710720184086,,,0.0004558734040487296,,0.0007976494149815542,,-1.9395762735498179e-07,0.00018585255953684732,,,,,6.352938482432033e-05,,,-0.0019838441489023768,-0.001372157340497102,,,,,,-0.00018888037598715918,8.499808553563073e-05,0.0004293935601660778,,,,-6.388110068049614e-06,,,-3.9076447223018475e-05,-0.0011120224151268546,-0.00047350780810174754,,-0.00039380640051161944,-0.0005215963001238455,0.00035370149253670716,-0.0011967657355827811,,0.0001076044060110519,0.0003823395582444606,,-0.0005331934671120365,,0.00034517497363231254,-1.5668810291344547e-05,,,,-0.0005042041427707627,,-2.6170662263808628e-05,-2.866679677511359e-05,-0.0008606790072697959,0.00017425034457350732,,,,,,0.00036477601051111995,,0.00019833033096752398,-0.0004115283016374603,0.00021084032714788694,-0.0005172596314722064,,,0.0005285804112253842,-0.0004875202141212153,-0.0010051579555584492,,,,0.00032529633323957876,,,
2013-02-28,0.00014508996778748757,,,,,,-6.167647840774488e-05,,,-0.00036044513641391026,,0.0002218295134123943,,1.1538722796368258e-05,-0.00015484356233309236,,,,,0.00016547835661065134,,,4.659517028428005e-05,0.0005231509797316443,,,,,,-0.0003428584277852503,-7.035432939899556e-05,-2.8111540721080737e-05,,,,-0.00012190149298650426,,,-0.00026405962564146195,-0.000257095611842394,-0.0001688823282609517,,-0.00038889125645724106,-5.750186517855664e-05,-0.000337544532141103,-0.0007434551196687467,,0.00044548550606250914,0.0001669496900465308,,-0.00024962947496928,,-0.0007435427198304779,0.00012913683176371735,,,,0.000233184396674276,,-2.367528389513796e-05,0.00010674700899454007,-0.0006553533686239704,-0.0001888342580348006,,,,,,5.908892529943243e-05,,0.0002161667206445664,0.0007462183813854774,0.00015890344289682168,0.00038479653375985226,,,4.174091094293079e-05,-0.00018961740867850187,-0.0003653694665792035,,,,1.860311049545219e-05,,,
2013-03-31,0.0001291162425533483,,,,,,,-0.0003353345169708805,,0.00034609582459811016,,0.0013839802047237988,,0.00023709314932782575,,,,-0.00034370354941922805,,2.8078455974877296e-05,,,-0.0003228581197471332,-0.00022981337746921812,,,0.0003706511941330777,,,3.3367526111912276e-05,-0.00022762050790565717,-0.0013984609751021603,,,,-0.0003073972645534368,,,-7.735673595392251e-06,,3.533122106611418e-05,-3.495507907350632e-05,-0.0005173783243215364,-0.00015405734693128392,6.078564132219995e-05,-0.000356942498475234,,0.000666733404094088,,,-0.00021031446504262544,,-0.0010559803815764518,-0.00043439558798126444,,0.0007571317425201005,0.0010940848420100677,-0.0005354749128417487,,-0.0011003377790755784,0.00019704207394728675,,-0.00047863409454925083,,-0.00010649750194202827,,,,0.00017081778741787618,,0.000408249729314178,0.0006501718274993574,0.0006681563855526336,-0.0009197941763843167,,,0.0005437162097258574,3.2461356167142396e-05,-0.00014920714314986772,,,,8.669414641358484e-05,,,
2013-04-30,-0.0001924104947681523,,,,,,,0.0007867920794188596,,-0.0003901843242169023,,0.0008352114599193657,,1.2075704370345677e-05,,,,0.001455247290325329,,0.00040386324592316103,,,-0.000131687553179132,1.619795737849653e-05,,,-0.00012662335825028016,,,-0.00010802261121396735,-2.4841616179090714e-05,-5.180582660391022e-06,,,,-0.0003988526957194377,,,-0.00017276325109895444,,-2.4229815333198923e-05,2.0510309742869156e-05,2.7453807921381773e-05,5.499046853151756e-05,-0.0001247075869714695,-0.00017311582259284407,,-9.334534406475047e-05,,,-0.00020591494074221955,,-0.0003295341256688329,1.9545159880834778e-05,,-0.00011569669205457772,6.894436773910587e-05,-0.0003613362090469974,,-1.1627276402982934e-05,-0.00011131915979918972,,0.0010521643970942177,,-0.0004778326374349265,,,,-5.592257120478684e-05,,0.000514094821615142,0.00012479436953851902,0.00028913951212583853,-0.00022164858388775492,,,-0.00038415406041399563,-1.2957652364040176e-06,-7.015996695253023e-05,,,,0.00014474930228940288,,,
2013-05-31,-3.963931684188623e-05,,,,,,,-0.00024323320420120405,,-0.0004477800778332718,,-0.0012163163300914553,,-0.00037364884624155076,,,,0.00016261365003227273,,-3.0181281405072687e-05,,,-2.0610278737470592e-05,0.0001257345891756314,,,-0.0003245640893720997,,,-0.00038540013361916563,-8.633864627390573e-05,-0.0014506492998481166,,,,-0.00043255196548154507,,,-0.0004656613946878401,,-0.00017830409414473447,-0.00045239574844757727,-0.00048790608893623075,-0.00038320674827435326,-0.00027241075199775866,-0.0008670771717129799,,0.0004932370049507524,,,-8.532132906200096e-05,,0.001322273186458605,0.00058575263646558,,0.001535497725108775,0.0010227902705397438,0.0007408433042681543,,-0.0003628804434127318,-0.00029264818308775693,,-0.0008044146766037862,,-0.0003118810870137403,,,,-0.000445044735771864,,-0.0004236337662086666,-3.676045081666039e-07,-0.00057590715523003,-0.0008000422098908001,,,0.0002764169839751994,-0.0002418170493636435,-0.00018406213376897908,,,,-0.00012467702339021334,,,
2013-06-30,0.0008253939695529532,,,,,,,,,0.0003926130826762869,0.00043683959409059585,0.000599874355562589,,0.0005854264763909862,,0.0005037175746815431,-0.00044610066541379297,0.0002024682431074386,0.0007318008495443136,0.0001943984860816332,,,,0.00011716277542790961,,0.000802240569721639,0.0005794272537488055,,,0.0007062981058040345,0.0001336885440864287,,,,,,0.0006374626400166866,-0.0004266328003238105,0.00012503660299666134,,0.0006034117727077304,0.00028908334765199344,0.00018457938593597692,0.00033144789489448313,-2.2695847288627008e-05,0.0005019084216439172,,0.0003584305308570413,,,-0.0007819080218978587,,0.0012767518249296274,0.00028774311860365156,,0.0011331443597536232,0.0006320472615605023,-0.0003937697512297293,,0.0001258912360407183,0.00019574907164900034,,0.00028703224969356644,,,0.0009545252908621483,,,,,0.00024416164064443183,0.0009695140101662644,0.00034607684593540176,,,,-7.352721391268545e-05,0.00025695408494143897,0.0001524785499301998,,,,0.00048102830691343574,,,
2013-07-31,-0.0005626690023373764,,,,,,,,,-0.0002018154315015181,-0.0006200976515914028,-0.00013346835145410497,,-0.00015864867138592903,,-0.00030641740787897844,3.562107939531126e-05,0.0005139887804650329,0.000615395996167665,-0.00018727816524791497,,,,9.457479387206194e-05,,0.0005850756485137848,-0.00021067663291072773,,,-0.00012565109572687736,-7.449336078776335e-05,,,,,,0.00025110957536045607,-7.93013592806668e-05,-0.00023044728775803615,,0.0003867186106592502,8.384877323971049e-05,0.00016063804545371978,7.777095117023979e-05,2.1393722619140066e-05,-2.9006335050782084e-05,,-0.0007255610447457287,,,-0.00032609051151245405,,5.878943464481805e-05,0.00010567187758474272,,0.0014803948773581563,0.0011717037318305728,0.0005848211333390038,,-0.0003906738011666412,-0.00014446469250223757,,0.00018058796939500067,,,0.00013193960615005582,,,,,-4.562990047228619e-05,-9.024412816620939e-05,-0.00020715417541211848,,,,-0.0009181777488432291,-6.628828105515025e-05,-0.00039870651646146043,,,,-0.00021761478204072632,,,
2013-08-31,4.0868930275360185e-06,,,,,,,,,-0.000165024677596334,-0.0001140217226417064,-0.0009963347972506739,,-0.00023328447586697497,,-0.00037622928014757073,-0.0007055438789486576,-0.0008436883820520084,-0.0006226387165041809,-0.0005173896036189884,,,,-0.00035742618682345497,,-0.0008891952518576841,-0.0005694338316379527,,,-0.0003021418164228961,0.00010486572532143213,,,,,,-0.0006523452171135226,-0.0001891591854934395,-0.00011047651959537115,,-0.000621072169509045,-4.696348017333522e-05,-0.0002869023609318489,-0.00012005921872527835,0.00025621212664030693,0.0002321031039906241,,-0.0005126525348751077,,,-0.0007832296231674274,,-0.00027318180307281295,-0.00030700258257723565,,-0.0006909010207324286,-0.0003680853103948256,-0.0006366557015962199,,-0.00015384067441233135,-7.561700694717838e-05,,-0.0003311444357965402,,,-0.0010149633891011526,,,,,2.4006129739837932e-05,-0.00023581611116844489,0.00027383266361942005,,,,-0.0004354664094194674,0.00033429283106556877,-0.00019840425141251915,,,,0.00015774914509342935,,,
2013-09-30,-0.0015880246015940428,,,,,,,,,-0.0009272000594823805,3.969524977363343e-05,7.520742527080922e-05,,0.0004029036979694447,,,,-6.65510991015773e-05,-0.00029541123510572366,-0.0006456313461553069,,-0.00028523947695140064,,-0.00023884621586123231,,-0.0008076707375922811,-0.0005460251066549919,,,-0.0008456584561771629,-0.0009491617716453095,,,,,,8.564953982804847e-05,0.0005501607175015738,-0.0003020920071257054,,-0.00039809651906014314,-0.0005408157032792641,-0.0004325535516042793,-0.0006130519075392612,-0.001145414713628838,,,-0.0008700458525340661,,,-0.0002958897076953047,,0.0002749876057873214,-0.000506182599439615,,-0.0005860491493358818,7.82829974713597e-06,-0.00019469099778796105,,,,,-0.0009368910374716645,,,-0.00022253560720247422,,,,,0.0003894517852384467,0.00024394496181504176,0.0006157835204977193,,,,,-0.0005095813889238321,,,,,-0.00023144444588552252,,,
