style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.059073320426603355,0.12144838610526651,0.025572535022347066,0.06512687691246523,0.00949236008476596,0.22462604683583082,0.03682605618179807,0.22093656600974726,0.04,0.19689785242117552,0.9999999999999998
factor,,,,,Rev3MFY1C,RevMagFY1C,TobinQ,SalesToEPSChg,6MTTMSalesMom,SalesAcc,52WSlope,PM6M,CashEV,90DCV,AGG
39,2026-03-31,000768 CH Equity,CNE000000RF9,27104601W,,,,,,,,,,,0.0
40,2026-03-31,000776 CH Equity,CNE0000008L2,27199901W,,,,,,,,,,,0.0
41,2026-03-31,000783 CH Equity,CNE000000SH3,25137601W,0.010638297872340425,,,,,,,,,,0.0006284395790064187
42,2026-03-31,000786 CH Equity,CNE000000QS4,25983101W,0.010638297872340425,0.011494252873563218,,,-0.01020408163265306,,-0.011904761904761904,,,,0.0014891317920593128
43,2026-03-31,000792 CH Equity,CNE000000SW2,26009701W,0.010638297872340425,0.011494252873563218,,,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,,0.0052497081684814715
44,2026-03-31,000807 CH Equity,CNE000000VG9,26026901W,,,,,-0.01020408163265306,,0.005813953488372093,,,,0.0001172441606096622
45,2026-03-31,000830 CH Equity,CNE000000WN3,27202401W,-0.010752688172043012,-0.011627906976744186,,0.01818181818181818,-0.01020408163265306,,,,,,-0.0009601233123615891
46,2026-03-31,000831 CH Equity,CNE000000WS2,26016801W,,0.011494252873563218,,0.01818181818181818,0.009900990099009901,-0.013333333333333334,0.005813953488372093,,,,-0.00010684172104225191
47,2026-03-31,000858 CH Equity,CNE000000VQ8,24368301W,,,,,-0.01020408163265306,-0.013333333333333334,-0.011904761904761904,,,,-0.0035302802057382587
48,2026-03-31,000876 CH Equity,CNE000000VB0,25955001W,,,0.02564102564102564,0.01818181818181818,0.009900990099009901,0.012987012987012988,,,,,0.004851036211679949
49,2026-03-31,000878 CH Equity,CNE000000W13,26027101W,-0.010752688172043012,-0.011627906976744186,,0.01818181818181818,-0.01020408163265306,-0.013333333333333334,,,,,-0.003955137270172667
50,2026-03-31,000893 CH Equity,CNE000000XS0,27206301W,,,,,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,,0.0032253101284949784
51,2026-03-31,000895 CH Equity,CNE000000XM3,26000401W,,,,,,,0.005813953488372093,,,-0.010101010101010102,-0.0017747622183723387
52,2026-03-31,000932 CH Equity,CNE000001006,25133201W,-0.010752688172043012,,,-0.018867924528301886,,,-0.011904761904761904,,,-0.010101010101010102,-0.004291278619092027
53,2026-03-31,000933 CH Equity,CNE000001097,26000301W,,,,0.01818181818181818,,,,,,,0.001184125034772095
54,2026-03-31,000938 CH Equity,CNE0000010T1,26022301W,0.010638297872340425,0.011494252873563218,,0.01818181818181818,0.009900990099009901,0.012987012987012988,-0.011904761904761904,,,-0.010101010101010102,0.0037924555985432338
55,2026-03-31,000960 CH Equity,CNE0000011D3,27024101W,,,,,0.009900990099009901,,0.005813953488372093,,,0.009900990099009901,0.0022575724283550275
56,2026-03-31,000963 CH Equity,CNE0000011S1,26000801W,,,,,,,,,,,0.0
57,2026-03-31,000975 CH Equity,CNE0000012L4,27115501W,,,,,-0.01020408163265306,-0.013333333333333334,,,,0.009900990099009901,-0.0011423910876641958
58,2026-03-31,000977 CH Equity,CNE0000012M2,27213901W,0.010638297872340425,0.011494252873563218,,0.01818181818181818,-0.01020408163265306,-0.013333333333333334,,,,-0.010101010101010102,-0.001872218896417469
59,2026-03-31,000981 CH Equity,CNE000001352,27215701W,,,-0.02631578947368421,,,,,-0.03333333333333333,-0.02857142857142857,0.009900990099009901,-0.007230887103800182
60,2026-03-31,000983 CH Equity,CNE0000013Y5,25137101W,,0.011494252873563218,0.02564102564102564,,,,-0.011904761904761904,,,-0.010101010101010102,-0.0003756081397150796
61,2026-03-31,000988 CH Equity,CNE000001303,25900801W,,,,,-0.01020408163265306,,0.005813953488372093,,,,0.0001172441606096622
62,2026-03-31,000999 CH Equity,CNE0000011K8,25135901W,-0.010752688172043012,-0.011627906976744186,,,,,-0.011904761904761904,,,,-0.002485792960677886
