factorAbbreviation,factorName,styleName,cagr,rank_style,rank_total,tstat,newey_west_tstat
PM5D,5 Day Price Reversal,Price Momentum,0.04800783674304876,18.0,51.0,2.226376234450947,2.2992230770820816
ROEStddev20Q,ROE 20 Qtr Standard Deviation,Earnings Quality,0.047105145279439764,5.0,52.0,2.4165860877993897,2.221931631397435
PA52WL20DLag,Percent Above 260-Day Low,Price Momentum,0.04691622423530917,19.0,53.0,1.7332231114121377,1.777689201422976
Chg3YFCF,3Y Chg in Free Cash Flow per Share,Historical Growth,0.04687318668825946,5.0,54.0,2.328877251603349,2.219632081312938
LTDE,Long Term Debt to Equity Ratio,Capital Efficiency,0.04665949997016172,4.0,55.0,2.0363415727821037,2.2986210915900243
OCFP,Operating Cash Flow to Price,Valuation,0.04606716803426525,6.0,56.0,2.156868868019765,2.555755782688285
AstAdjChg1YFCF,1Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.04583604622470849,6.0,57.0,2.7888170225031033,3.228612190691651
EBITDAEV,EBITDA to Enterprise Value,Valuation,0.04556246580020207,7.0,58.0,1.7906084274505845,1.8841337430906062
AdjAccruals,Adjusted Accruals,Earnings Quality,0.045467385695543205,6.0,59.0,3.030570290879675,3.4863689694279656
Chg3YOCF,3Y Chg in Operating Cash Flow per Share,Historical Growth,0.0451807735122407,7.0,60.0,2.9600820146805686,3.0642402328039022
SEV,Sales to EV Ratio,Valuation,0.04510433273580805,8.0,61.0,1.6476108010473451,1.9411744864686238
PSlopeSERR_26W,26W Price Stat,Price Momentum,0.04502116120970734,20.0,62.0,1.7601925355630077,1.7020592807474253
PAdjChg1YSales,1Y Chg in Sales to Price,Historical Growth,0.04437091425595874,8.0,63.0,2.786969808709196,2.673558549385216
Chg1YFCF,1Y Chg in Free Cash Flow per Share,Historical Growth,0.04436061780268896,9.0,64.0,2.7298397917012034,2.7752827353561003
HL1M,1M Price High - 1M Price Low,Price Momentum,0.044191471502916135,21.0,65.0,2.251787521203377,2.0861212467576222
AstAdjChg1YEPS,1Y Chg in Asset Adjusted EPS,Historical Growth,0.04401603211419647,10.0,66.0,2.2773171374390526,2.364554358319075
ROAStddev20Q,ROA 20 Qtr Standard Deviation,Earnings Quality,0.04392938716771999,7.0,67.0,2.2086306043325776,2.0761340047604135
SP,Sales to Price Ratio,Valuation,0.04341313983779993,9.0,68.0,1.574769060497195,1.8706976897891778
Chg3YOPM,3Y Chg in Operating Margin,Historical Growth,0.043006460703795435,11.0,69.0,1.981534124369564,2.11332381909563
IO_Concentration,Institution Ownership Concentration,Price Momentum,0.0421912186958584,22.0,70.0,1.8393138601117933,1.7939130535657224
CapAcqRatio,Capital Acquisition Ratio,Capital Efficiency,0.042011441396495375,5.0,71.0,2.4481075353831585,2.368828967817026
BP,Book to Price,Valuation,0.04188054381337758,10.0,72.0,1.4330395529015127,1.5808795337422492
39WRtnLag4W,39W Lagged Return,Price Momentum,0.04072696536591747,23.0,73.0,1.4658917801532156,1.520963950530592
IO_TO,Institution Ownership Turnover,Price Momentum,0.04067951817532767,24.0,74.0,1.3832733976763993,1.334018067725569
EBITMargin,EBIT Margin,Earnings Quality,0.04044487465036961,8.0,75.0,1.8760025972663337,1.8904721290941722
AstAdjChg1YOCF,1Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.04037453812509928,12.0,76.0,2.849921031757157,2.9483821734560274
TobinQ,Tobin's Q Ratio,Capital Efficiency,0.040318254997242065,6.0,77.0,1.257160183235451,1.4413467791371393
Chg1YCF,1Y Chg in Cash Flow per Share,Historical Growth,0.040148625605809674,13.0,78.0,2.0844851172655328,2.1239699018494087
PM9M,9 Month Price Momentum,Price Momentum,0.04009903394834757,25.0,79.0,1.241594513549751,1.2083990874226156
Chg1YAmihud,1Y Chg in Amihud,Volatility,0.04004043433194271,3.0,80.0,1.7058477706423427,1.7734806088611206
50To200PrcRatio,50 Day to 200 Day Stock Price,Price Momentum,0.03998660831556711,26.0,81.0,1.5661275489009219,1.5431169264706979
PAdjChg1YEPS,1Y Chg in Earnings to Price,Historical Growth,0.039906911061768024,14.0,82.0,2.4012024376687684,2.282050457470407
AssetTurn,Asset Turnover,Earnings Quality,0.03968651168388759,9.0,83.0,2.2915382876949217,2.3821135139651437
HL52W,52W High Low,Price Momentum,0.03963697464549787,27.0,84.0,1.2724464895449983,1.0769002283265636
Chg1YOPM,1Y Chg in Operating Margin,Historical Growth,0.03959449050698094,15.0,85.0,2.3776197073862444,2.374600539704644
