factorAbbreviation,factorName,styleName,cagr,rank_style,rank_total,tstat,newey_west_tstat
SusGrwRate,Sustainable Growth Rate,Historical Growth,0.009358735604853896,37.0,215.0,0.5635350302525735,0.5313553657847142
AstGrwth,Asset Growth - 1 Year,Capital Efficiency,0.008647380417587058,25.0,216.0,0.5498194290635636,0.5596658018892539
LogAssets,Log of Total Last Quarter Assets,Size,0.00863560365748528,4.0,217.0,0.5536794072757526,0.6132865469881015
InvTurn,Inventory Turnover,Earnings Quality,0.007239185473812526,44.0,218.0,0.5052033380832798,0.5650440576985625
60MAVGTTMROE,Normalized ROE,Capital Efficiency,0.007158719655879997,26.0,219.0,0.4831913219400196,0.4611563967086313
ChgSalesMargin,Sales to Gross Profit Margin Growth,Earnings Quality,0.007026102192842165,45.0,220.0,0.5317826963956669,0.5681914864656987
TTMOverheadtoSales,Trailing 12-Month Overhead/Trailing 12-Month Sales,Historical Growth,0.006812423407797308,38.0,221.0,0.46953804742203237,0.5248902518946864
PAYOUTRATIO,Payout Ratio,Capital Efficiency,0.005391782774597953,27.0,222.0,0.44180908090439586,0.3948330595927196
TotalAccruals,Balance Sheet Accruals,Earnings Quality,0.004272486309574441,46.0,223.0,0.3730567148926611,0.37866579084996843
CVVolPrc20D,20 Day Coefficient of Variation of Volume to Price,Price Momentum,-0.001214985656949219,47.0,224.0,0.2323737889929022,0.2603936268402246
5DVolSig,5 Day Volume Signal,Price Momentum,-0.0017329414477604832,48.0,225.0,0.20267428768214021,0.23556890718453424
CVVolPrc30D,30 Day Coefficient of Variation of Volume to Price,Price Momentum,-0.002262130808653451,49.0,226.0,0.22588716156849473,0.26970556404780677
