style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.021621521816389294,0.20431602944049673,0.049936965510287146,0.09875848294333273,0.24346249417352991,0.024010934147244627,0.20767050160349557,0.14737045318156372,0.0028526171836602172,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,TobinQ,FCFSales,SalesAcc,52WSlope,PM6M,FwdEPC,90DCV,AGG
0,2025-12-31,000001 CH Equity,CNE000000040,21338001W,,,,,,,,,-0.010638297872340425,-3.0346991315534225e-05
1,2025-12-31,000009 CH Equity,CNE000000222,24385001W,,,,-0.013888888888888888,0.006060606060606061,,,,,0.00010388467128318642
2,2025-12-31,000021 CH Equity,CNE000000FK4,25137401W,,,,,-0.012345679012345678,,,,,-0.0030057098046114804
3,2025-12-31,000039 CH Equity,CNE000000644,21063102W,,-0.011627906976744186,,,-0.012345679012345678,,,,-0.010638297872340425,-0.0054118245801188375
4,2025-12-31,000063 CH Equity,CNE000000TK5,24385801W,-0.011764705882352941,,,,0.006060606060606061,,,,,0.0012211594228196657
5,2025-12-31,000066 CH Equity,CNE000000RL7,24364201W,,,,,0.006060606060606061,,,,,0.0014755302677183632
6,2025-12-31,000100 CH Equity,CNE000001GL8,27053501W,-0.011764705882352941,-0.011627906976744186,,0.0136986301369863,0.006060606060606061,-0.012195121951219513,,,-0.010638297872340425,-0.00012491569204545498
7,2025-12-31,000157 CH Equity,CNE000001527,25989601W,,,,-0.013888888888888888,0.006060606060606061,,,,,0.00010388467128318642
8,2025-12-31,000166 CH Equity,CNE100002FD4,31912301W,,,,-0.013888888888888888,,,,,-0.010638297872340425,-0.001401992587750711
9,2025-12-31,000301 CH Equity,CNE0000012K6,32958001W,-0.011764705882352941,-0.011627906976744186,,,0.006060606060606061,,,,-0.010638297872340425,-0.0011849553526876912
10,2025-12-31,000333 CH Equity,CNE100001QQ5,31610001W,0.011764705882352941,0.011494252873563218,,,,,,,-0.010638297872340425,0.00257248396209462
11,2025-12-31,000338 CH Equity,CNE1000000D4,26065402W,,,,,0.006060606060606061,,,,,0.0014755302677183632
12,2025-12-31,000400 CH Equity,CNE0000007F6,27104801W,,,,,,-0.012195121951219513,,,,-0.0002928162700883491
13,2025-12-31,000408 CH Equity,CNE000000L08,27233901W,,,,,0.006060606060606061,0.006060606060606061,,,,0.001621051080731967
14,2025-12-31,000423 CH Equity,CNE0000006Y9,26013001W,,,,,-0.012345679012345678,-0.012195121951219513,,,,-0.0032985260746998296
