style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.021621521816389294,0.20431602944049673,0.049936965510287146,0.09875848294333273,0.24346249417352991,0.024010934147244627,0.20767050160349557,0.14737045318156372,0.0028526171836602172,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,TobinQ,FCFSales,SalesAcc,52WSlope,PM6M,FwdEPC,90DCV,AGG
44,2025-11-30,000831 CH Equity,CNE000000WS2,26016801W,,0.012048192771084338,,,-0.012345679012345678,0.006172839506172839,,,0.010416666666666666,-0.00036614049047581284
45,2025-11-30,000858 CH Equity,CNE000000VQ8,24368301W,-0.012048192771084338,,,0.013888888888888888,-0.012345679012345678,-0.012345679012345678,,,,-0.0021909957567928197
46,2025-11-30,000876 CH Equity,CNE000000VB0,25955001W,,,0.04,,0.006211180124223602,0.006172839506172839,,,,0.003657883668100245
47,2025-11-30,000878 CH Equity,CNE000000W13,26027101W,0.011904761904761904,0.012048192771084338,,,-0.012345679012345678,,,,,-0.0002866718264471032
48,2025-11-30,000895 CH Equity,CNE000000XM3,26000401W,,,,,,,,,-0.010752688172043012,-3.0673303050109864e-05
49,2025-11-30,000932 CH Equity,CNE000001006,25133201W,0.011904761904761904,,,,0.006211180124223602,,,,,0.0017695884740472631
50,2025-11-30,000933 CH Equity,CNE000001097,26000301W,-0.012048192771084338,,,,,,,,,-0.0002605002628480638
51,2025-11-30,000938 CH Equity,CNE0000010T1,26022301W,,,,,0.006211180124223602,,,,,0.0015121894048045336
52,2025-11-30,000960 CH Equity,CNE0000011D3,27024101W,,,,,,0.006172839506172839,,,,0.0001482156428842261
53,2025-11-30,000963 CH Equity,CNE0000011S1,26000801W,,,,,,0.006172839506172839,,,,0.0001482156428842261
54,2025-11-30,000975 CH Equity,CNE0000012L4,27115501W,0.011904761904761904,,,,-0.012345679012345678,0.006172839506172839,,,,-0.0026000950924845246
55,2025-11-30,000977 CH Equity,CNE0000012M2,27213901W,,,,,-0.012345679012345678,0.006172839506172839,,,,-0.0028574941617272543
56,2025-11-30,000983 CH Equity,CNE0000013Y5,25137101W,,,,,0.006211180124223602,-0.012345679012345678,,-0.038461538461538464,,-0.004452336234100985
57,2025-11-30,000988 CH Equity,CNE000001303,25900801W,,,,,,0.006172839506172839,,,0.010416666666666666,0.00017793040521402003
58,2025-11-30,000999 CH Equity,CNE0000011K8,25135901W,-0.012048192771084338,-0.012345679012345678,,,0.006211180124223602,-0.012345679012345678,,,,-0.0015671622603613247
59,2025-11-30,001965 CH Equity,CNE1000032B1,32631201W,,,,,,-0.012345679012345678,,,,-0.0002964312857684522
60,2025-11-30,002001 CH Equity,CNE000001J84,27070401W,,,,,-0.012345679012345678,,,,-0.010752688172043012,-0.0030363831076615903
