date,cew_return,ew_return,ew_all_return,ew_top50_return,cew_cumulative,ew_cumulative,ew_all_cumulative,ew_top50_cumulative
2012-12-31,-0.0020289008873740997,-0.004232443201326887,-0.0013822506213553756,-0.0023351988159411095,0.9979710991126259,0.9957675567986731,0.9986177493786447,0.9976648011840589
2013-01-31,-0.005734179136555606,-0.004947002550296908,-0.012865697517669271,-0.010594076980901224,0.9922485540572088,0.9908414921556872,0.9857698354793634,0.9870954634791794
2013-02-28,-0.0016985632514756408,-0.0019773928059901758,-0.003862794254109617,0.0018863450399177997,0.9905631571269574,0.9888822093172219,0.981962009422999,0.9889574661106387
2013-03-31,0.0024662598646087996,0.0041480741053217356,0.005335874487723611,0.005863791094115469,0.9930061432847398,0.992984166002904,0.9872016354569931,0.9947565060928774
2013-04-30,0.00012493230067871168,-0.001357708196619959,-0.004380433916081678,0.000849131295709262,0.9931302018268084,0.991635983261608,0.982877263931026,0.9956011849738112
2013-05-31,-0.011261004658536237,-0.010558288549827568,-0.016543808084588055,-0.009863111282288728,0.9819465579975037,0.98116600441394,0.9666167311058461,0.9857814596936361
2013-06-30,0.015553353091657784,0.01505164062087164,0.009258852857715346,0.017862599044868987,0.997219119531177,0.9959341625017951,0.9755664931889609,1.0033900786540093
2013-07-31,-0.001578581917439024,-0.003738240789455117,-0.0050358661223230735,-0.0003804227998441829,0.9956449274613607,0.992211120791919,0.9706536709358371,1.003008366190952
2013-08-31,-0.011170944059059008,-0.012155572156014828,-0.005169655125451283,-0.017920588518670996,0.9845226336740039,0.9801502269191325,0.9656357262108455,0.9850338659796595
2013-09-30,-0.01051325552170133,-0.01219154262954233,-0.011723040087099085,-0.01777830518650133,0.9741720956592907,0.9682006836442922,0.9543155398829407,0.9675216332912338
2013-10-31,0.014939509155371735,0.014072993452129387,0.01482175734829535,0.014008861585320428,0.9887257486013004,0.9818261655255655,0.9684601732487932,0.9810755099328138
2013-11-30,-0.006105977897926513,-0.006895407851323122,-0.0036553661009184387,-0.0026438098856258526,0.9826886110332299,0.975056073675166,0.96492009676141,0.978481732801108
2013-12-31,0.016591164229868546,0.015605646448101312,0.012154318814203384,0.012738761388132564,0.9989925591657037,0.9902724540280146,0.9766480432476803,0.9909463781179076
2014-01-31,0.0030780782198669256,0.0019516880574303613,-0.0009863077408305417,0.004980259635661507,1.002067536403881,0.9922051569501433,0.9756847677225581,0.9958815483659531
2014-02-28,-0.012094091002831604,-0.012751993407831438,-0.004498204490945822,-0.01469043848917861,0.9899484404276291,0.9795525633294988,0.971295938118641,0.9812516117371751
2014-03-31,0.0044982013936922995,0.0054382120018923626,0.012532514918623906,0.004120968976247343,0.9944014278820441,0.9848795778358816,0.9834687189535117,0.9852953191870367
