style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Price Momentum,Valuation,Valuation,Volatility,Volatility,MP
factor_weight,,,,,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,1.0
factor,,,,,6MChgTgtPrcGapEMA,EPSEstDispFY1C,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,AdjIntCov,IntCovRatio,ShareChg,AdjAccruals,AssetTurn,CapExToSales,DepToCapex,ETO,InvToAsset,InvToAstChg1Y,SalesToEPSChg,SalesToInvCap,UnexpectedRecChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,50DVolSig,STO,STO_6M,InvPEGYC,OCFEV,90DCV,Beta60M,AGG
63,2026-05-31,000999 CH Equity,CNE0000011K8,25135901W,,,,,,,,,,0.008771929824561403,,0.01020408163265306,0.0125,,,,,,0.010101010101010102,,,,,0.003278688524590164,,,0.006622516556291391,,0.002564102564102564,0.001531477534814157
64,2026-05-31,001309 CH Equity,CNE100005GP9,35376601W,,0.003968253968253968,,,,,,,0.013157894736842105,,0.006756756756756757,,,,,,,0.004366812227074236,,,0.018867924528301886,0.013513513513513514,,-0.00980392156862745,-0.022727272727272728,,-0.013333333333333334,0.01020408163265306,0.002564102564102564,0.0009259014875497259
65,2026-05-31,001965 CH Equity,CNE1000032B1,32631201W,-0.007633587786259542,0.003968253968253968,-0.012195121951219513,,-0.010752688172043012,,,,,,-0.0136986301369863,-0.02040816326530612,,-0.022727272727272728,,0.012987012987012988,,-0.013157894736842105,,,-0.018867924528301886,,,0.003278688524590164,-0.022727272727272728,,,-0.005291005291005291,-0.01,-0.004591728776298857
66,2026-05-31,002001 CH Equity,CNE000001J84,27070401W,,0.003968253968253968,,0.010752688172043012,,0.009900990099009901,-0.015625,-0.016666666666666666,-0.006944444444444444,,,,,,,,,,,,,,,0.003278688524590164,,-0.015873015873015872,,0.01020408163265306,-0.01,-0.0010659639749106664
67,2026-05-31,002007 CH Equity,CNE000001JN8,27076001W,,,-0.012195121951219513,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,,-0.017543859649122806,,0.01020408163265306,0.0125,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,-0.0013614690736123338
68,2026-05-31,002008 CH Equity,CNE000001JQ1,27069601W,-0.007633587786259542,0.003968253968253968,0.012345679012345678,0.010752688172043012,0.010638297872340425,0.009900990099009901,,,-0.006944444444444444,,,0.01020408163265306,,,,,,,0.010101010101010102,,0.018867924528301886,,,-0.00980392156862745,,-0.015873015873015872,,0.01020408163265306,0.002564102564102564,0.002046589719053021
69,2026-05-31,002027 CH Equity,CNE000001KK2,27088901W,,-0.011235955056179775,,,,,,,,,,,,,,,,,-0.02040816326530612,,,,,,,,0.006622516556291391,-0.005291005291005291,-0.01,-0.0012959059175208564
70,2026-05-31,002028 CH Equity,CNE000001KM8,27088301W,0.014285714285714285,0.003968253968253968,0.012345679012345678,,0.010638297872340425,0.009900990099009901,,,-0.006944444444444444,,0.006756756756756757,0.01020408163265306,,0.007633587786259542,,,,0.004366812227074236,0.010101010101010102,,,,,0.003278688524590164,0.017241379310344827,,,0.01020408163265306,0.002564102564102564,0.004035085516068102
71,2026-05-31,002049 CH Equity,CNE000001M14,27334601W,,0.003968253968253968,,,,,-0.015625,-0.016666666666666666,0.013157894736842105,,,,,,,,,-0.013157894736842105,,,-0.018867924528301886,-0.02702702702702703,,0.003278688524590164,,,,-0.005291005291005291,0.002564102564102564,-0.0027174478396465767
72,2026-05-31,002050 CH Equity,CNE000001M22,27311401W,,0.003968253968253968,,,,,,,-0.006944444444444444,,0.006756756756756757,,,,,0.012987012987012988,,,0.010101010101010102,,,,,,-0.022727272727272728,-0.015873015873015872,,,0.002564102564102564,-0.0007938421903857264
73,2026-05-31,002056 CH Equity,CNE000001N70,27823101W,,0.003968253968253968,-0.012195121951219513,-0.010752688172043012,-0.010752688172043012,,,,,,0.006756756756756757,,,,,,,0.004366812227074236,,,0.018867924528301886,0.013513513513513514,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,-0.01,0.0001699075250073298
74,2026-05-31,002064 CH Equity,CNE000001NK6,27844801W,,0.003968253968253968,,,,,,,,,,,,,,,,,,,,,,0.003278688524590164,,,,-0.005291005291005291,0.002564102564102564,0.0001784225966389872
75,2026-05-31,002074 CH Equity,CNE000001NY7,27918201W,0.014285714285714285,0.003968253968253968,,0.010752688172043012,,0.009900990099009901,,,-0.006944444444444444,0.008771929824561403,-0.0136986301369863,-0.02040816326530612,,0.007633587786259542,,-0.02631578947368421,,,0.010101010101010102,,,,,,0.017241379310344827,,,-0.005291005291005291,0.002564102564102564,0.0009867432006408243
76,2026-05-31,002078 CH Equity,CNE000001P52,27939301W,,0.003968253968253968,-0.012195121951219513,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,-0.006944444444444444,,,,,,,,,,,,,,,0.003278688524590164,,,,-0.005291005291005291,-0.01,-0.002312762652527048
77,2026-05-31,002080 CH Equity,CNE000001P78,27944101W,,0.003968253968253968,-0.012195121951219513,,,,,,,,,,,,,,,,,,,,,,,,,0.01020408163265306,0.002564102564102564,0.00017926245630151032
78,2026-05-31,002085 CH Equity,CNE000001PF1,27964001W,,-0.011235955056179775,,0.010752688172043012,0.010638297872340425,0.009900990099009901,0.015384615384615385,0.01639344262295082,,,0.006756756756756757,,0.0125,0.007633587786259542,,,-0.06666666666666667,0.004366812227074236,,,,,,0.003278688524590164,,,,-0.005291005291005291,0.002564102564102564,0.0011826246600407497
79,2026-05-31,002128 CH Equity,CNE100000098,28433601W,,,,,,,,,,,,,,,,,,,,0.09090909090909091,,0.013513513513513514,,,,,,-0.005291005291005291,0.002564102564102564,0.004014303436065426
80,2026-05-31,002129 CH Equity,CNE1000000B8,28433701W,,-0.011235955056179775,-0.012195121951219513,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,0.013157894736842105,,-0.0136986301369863,,,,,,,,,,-0.018867924528301886,-0.02702702702702703,,0.003278688524590164,,,,-0.005291005291005291,-0.01,-0.004273523902354821
81,2026-05-31,002131 CH Equity,CNE1000000F9,28434001W,,,,,,,,,-0.006944444444444444,-0.017543859649122806,,0.01020408163265306,,,0.058823529411764705,0.012987012987012988,-0.06666666666666667,,-0.02040816326530612,-0.1,,,,,,,-0.013333333333333334,0.01020408163265306,0.002564102564102564,-0.004808901018264143
82,2026-05-31,002138 CH Equity,CNE1000000M5,28503801W,,0.003968253968253968,,,,,0.015384615384615385,0.01639344262295082,0.013157894736842105,,,,,,,,,0.004366812227074236,,,,0.013513513513513514,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,0.002564102564102564,0.002856223480055787
83,2026-05-31,002142 CH Equity,CNE1000005P7,28587701W,-0.007633587786259542,,,,,,,,,,,,-0.02564102564102564,0.007633587786259542,,,,-0.013157894736842105,,,,,,0.003278688524590164,,0.015384615384615385,,,0.002564102564102564,-0.00024253562270623472
84,2026-05-31,002152 CH Equity,CNE100000650,28574301W,,-0.011235955056179775,,,,,,,,,,,,,,,,0.004366812227074236,,,0.018867924528301886,0.013513513513513514,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,0.002564102564102564,0.0012270564552334339
85,2026-05-31,002155 CH Equity,CNE1000006B5,28580201W,-0.007633587786259542,-0.011235955056179775,,,,,,,-0.006944444444444444,,,,,,,,,,,,,,,0.003278688524590164,,,,-0.005291005291005291,0.002564102564102564,-0.0009971920204071337
86,2026-05-31,002156 CH Equity,CNE1000006C3,28580401W,,0.003968253968253968,,,,,0.015384615384615385,0.01639344262295082,,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,-0.00980392156862745,,,0.006622516556291391,,0.002564102564102564,0.0016647605737455551
87,2026-05-31,002157 CH Equity,CNE1000006H2,28583101W,,,,,,,,,-0.006944444444444444,0.008771929824561403,,,0.0125,0.007633587786259542,,,,0.004366812227074236,,,,0.013513513513513514,,-0.00980392156862745,,,-0.013333333333333334,,,0.00017780136409700016
88,2026-05-31,002179 CH Equity,CNE1000007T5,28706701W,,0.003968253968253968,,-0.010752688172043012,-0.010752688172043012,,,,,,,,,,,,,0.004366812227074236,,,,0.013513513513513514,,0.003278688524590164,-0.022727272727272728,,,-0.005291005291005291,-0.01,-0.001420955677635636
89,2026-05-31,002180 CH Equity,CNE1000007W9,28706801W,,,,,,,,,,,,,,,,,,0.004366812227074236,,,-0.018867924528301886,-0.02702702702702703,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,0.002564102564102564,-0.0014192761059832412
90,2026-05-31,002185 CH Equity,CNE100000825,28719601W,,0.003968253968253968,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,0.015384615384615385,,-0.006944444444444444,,,,,,,,,0.004366812227074236,,,,,,,0.017241379310344827,,0.006622516556291391,,0.002564102564102564,0.0004024620301875669
91,2026-05-31,002195 CH Equity,CNE1000008K2,28750701W,,,,,,,,,,,-0.0136986301369863,,,,,,,-0.013157894736842105,,,-0.018867924528301886,-0.02702702702702703,,,,,-0.013333333333333334,0.01020408163265306,0.002564102564102564,-0.0025053644909167933
92,2026-05-31,002202 CH Equity,CNE1000008S5,28768401W,-0.007633587786259542,0.003968253968253968,,,,,,,-0.006944444444444444,,,,,0.007633587786259542,,0.012987012987012988,,0.004366812227074236,0.010101010101010102,,,,,-0.00980392156862745,-0.022727272727272728,,,0.01020408163265306,0.002564102564102564,-0.0003217147270738934
93,2026-05-31,002223 CH Equity,CNE1000009X3,28865501W,,,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,,,,0.01020408163265306,0.0125,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,-0.0004414860693817564
94,2026-05-31,002230 CH Equity,CNE100000B81,28871001W,,0.003968253968253968,,,,,0.015384615384615385,0.01639344262295082,0.013157894736842105,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,0.003278688524590164,0.017241379310344827,,0.006622516556291391,-0.005291005291005291,0.002564102564102564,0.003172295048017064
95,2026-05-31,002236 CH Equity,CNE100000BJ4,28883901W,,0.003968253968253968,-0.012195121951219513,,,,,,0.013157894736842105,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,0.003278688524590164,-0.022727272727272728,,0.006622516556291391,-0.005291005291005291,-0.01,-0.0006371491885363272
96,2026-05-31,002240 CH Equity,CNE100000BN6,28883501W,-0.007633587786259542,0.003968253968253968,-0.012195121951219513,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,-0.006944444444444444,,,,,,,,,,,,,,,0.003278688524590164,,,,0.01020408163265306,0.002564102564102564,-0.0015064890172913278
97,2026-05-31,002241 CH Equity,CNE100000BP1,28883601W,,0.003968253968253968,,,,,,,-0.006944444444444444,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,0.003278688524590164,0.017241379310344827,0.015384615384615385,0.006622516556291391,-0.005291005291005291,0.002564102564102564,0.0017316722895742028
98,2026-05-31,002252 CH Equity,CNE100000C31,28901601W,,,-0.012195121951219513,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,,-0.017543859649122806,,,,,,,,,-0.02040816326530612,,,,,0.003278688524590164,,,-0.013333333333333334,,0.002564102564102564,-0.0029655913754783516
99,2026-05-31,002261 CH Equity,CNE100000CF0,28918401W,,,,,,,-0.015625,,,0.008771929824561403,,,,,-0.058823529411764705,-0.02631578947368421,0.0625,,0.010101010101010102,,,,0.05,,,,,-0.005291005291005291,-0.01,0.0006591559574208028
100,2026-05-31,002271 CH Equity,CNE100000CS3,28960801W,,0.003968253968253968,,-0.010752688172043012,,-0.009900990099009901,0.015384615384615385,,0.013157894736842105,,,,,,,,,,,,,,,0.003278688524590164,,-0.015873015873015872,,,0.002564102564102564,7.211292517839623e-05
101,2026-05-31,002273 CH Equity,CNE100000CT1,28961001W,,0.003968253968253968,0.012345679012345678,,,,-0.015625,-0.016666666666666666,0.013157894736842105,,,,,,,,,,,,,,,-0.00980392156862745,,,0.006622516556291391,,0.002564102564102564,-0.00013567661456672167
102,2026-05-31,002281 CH Equity,CNE100000F87,29246501W,,0.003968253968253968,0.012345679012345678,,,,-0.015625,-0.016666666666666666,-0.006944444444444444,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,-0.00980392156862745,-0.022727272727272728,,,0.01020408163265306,0.002564102564102564,-0.0014068520531701867
103,2026-05-31,002294 CH Equity,CNE100000FW8,29267501W,,,,,,,,,,0.008771929824561403,,-0.02040816326530612,,,,,,,-0.02040816326530612,,,,,,,,,,-0.01,-0.0011958470490833824
104,2026-05-31,002304 CH Equity,CNE100000HB8,29301701W,0.014285714285714285,,0.012345679012345678,,-0.010752688172043012,-0.009900990099009901,,,,-0.017543859649122806,-0.0136986301369863,,0.0125,-0.022727272727272728,,-0.02631578947368421,,-0.013157894736842105,,,,-0.02702702702702703,,0.003278688524590164,,-0.015873015873015872,-0.013333333333333334,,,-0.0038779409602548044
105,2026-05-31,002311 CH Equity,CNE100000HP8,29316801W,,,,,,,0.015384615384615385,0.01639344262295082,0.013157894736842105,0.008771929824561403,0.006756756756756757,0.01020408163265306,0.0125,0.007633587786259542,,,,0.004366812227074236,,,,0.013513513513513514,,0.003278688524590164,,,0.006622516556291391,,,0.003953882175734269
106,2026-05-31,002340 CH Equity,CNE100000KT4,29372001W,-0.007633587786259542,0.003968253968253968,,,,,,,-0.006944444444444444,0.008771929824561403,,-0.02040816326530612,,0.007633587786259542,,,,,0.010101010101010102,,,,,-0.00980392156862745,-0.022727272727272728,,,,0.002564102564102564,-0.0014492591446398624
107,2026-05-31,002352 CH Equity,CNE100000L63,29381101W,-0.007633587786259542,0.003968253968253968,,,,,,,,0.008771929824561403,0.006756756756756757,0.01020408163265306,,0.007633587786259542,,,,0.004366812227074236,,,-0.018867924528301886,,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,-0.01,-0.0001588962235520614
108,2026-05-31,002353 CH Equity,CNE100000L55,29381201W,-0.007633587786259542,,,,,,,,,,,,,,,,,,,0.09090909090909091,,0.013513513513513514,,,,,,0.01020408163265306,0.002564102564102564,0.004324625725736193
109,2026-05-31,002371 CH Equity,CNE100000ML7,29404201W,,0.003968253968253968,-0.012195121951219513,,,,0.015384615384615385,0.01639344262295082,,,,,,,,,,0.004366812227074236,,,,0.013513513513513514,,0.003278688524590164,,-0.015873015873015872,,-0.005291005291005291,-0.01,0.0004715138887653145
110,2026-05-31,002379 CH Equity,CNE100000MW4,29419701W,,0.003968253968253968,,,,,,0.01639344262295082,-0.006944444444444444,,,,,,,,,,,,,,,0.003278688524590164,,,,,-0.01,0.00026431340948039974
111,2026-05-31,002384 CH Equity,CNE100000N79,29420401W,,0.003968253968253968,0.012345679012345678,0.010752688172043012,0.010638297872340425,0.009900990099009901,0.015384615384615385,0.01639344262295082,-0.006944444444444444,,0.006756756756756757,,,,,,,0.004366812227074236,,,-0.018867924528301886,-0.02702702702702703,,-0.00980392156862745,,-0.015873015873015872,,0.01020408163265306,0.002564102564102564,0.0008163452364543086
112,2026-05-31,002402 CH Equity,CNE100000P51,29447201W,,0.003968253968253968,,,,,0.015384615384615385,0.01639344262295082,0.013157894736842105,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,,-0.022727272727272728,,,,0.002564102564102564,0.0014126037819846902
113,2026-05-31,002409 CH Equity,CNE100000PG0,29458701W,,0.003968253968253968,,,,,0.015384615384615385,0.01639344262295082,,,,,,,,,,,,,,,,,,,,-0.005291005291005291,0.002564102564102564,0.0013033975457625681
114,2026-05-31,002414 CH Equity,CNE100000RK8,29459201W,,-0.011235955056179775,,0.010752688172043012,0.010638297872340425,0.009900990099009901,-0.015625,-0.016666666666666666,,,,,,,,,,,,,-0.018867924528301886,-0.02702702702702703,,0.003278688524590164,,,0.006622516556291391,,0.002564102564102564,-0.0018025769570511369
115,2026-05-31,002415 CH Equity,CNE100000PM8,29459401W,,0.003968253968253968,0.012345679012345678,,,,-0.015625,-0.016666666666666666,0.013157894736842105,,0.006756756756756757,,,,,,,0.004366812227074236,,,,0.013513513513513514,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,-0.01,0.00048745277595842965
116,2026-05-31,002422 CH Equity,CNE100000PW7,29476001W,,,,,,,,,,0.008771929824561403,,,0.0125,,,,,,-0.02040816326530612,,,,,,-0.022727272727272728,,,,0.002564102564102564,-0.0007743203237439823
117,2026-05-31,002429 CH Equity,CNE100000Q50,29482001W,0.014285714285714285,-0.011235955056179775,0.012345679012345678,,,,0.015384615384615385,0.01639344262295082,,0.008771929824561403,,,0.0125,,0.058823529411764705,,,,,,,,,-0.00980392156862745,,,,0.01020408163265306,0.002564102564102564,0.003981509122081848
118,2026-05-31,002444 CH Equity,CNE100000RC5,29502601W,-0.007633587786259542,0.003968253968253968,,-0.010752688172043012,,,,,,-0.017543859649122806,,,-0.02564102564102564,-0.022727272727272728,,,,-0.013157894736842105,,,-0.018867924528301886,,,0.003278688524590164,,,,,0.002564102564102564,-0.0030600344682070787
119,2026-05-31,002456 CH Equity,CNE100000S33,29502901W,,-0.011235955056179775,,-0.010752688172043012,,-0.009900990099009901,,,-0.006944444444444444,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,0.003278688524590164,,,,-0.005291005291005291,-0.01,-0.0017290048873619896
120,2026-05-31,002459 CH Equity,CNE100000SD1,33550301W,,0.003968253968253968,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,0.013157894736842105,,,,,,,,,0.004366812227074236,,,0.018867924528301886,0.013513513513513514,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,0.002564102564102564,0.0011068882087869611
121,2026-05-31,002460 CH Equity,CNE100000SF6,29513601W,-0.007633587786259542,0.003968253968253968,0.012345679012345678,0.010752688172043012,,0.009900990099009901,,,-0.006944444444444444,,,,,,,,,,,,,,,-0.00980392156862745,,,,,0.002564102564102564,0.0005980167566125036
122,2026-05-31,002463 CH Equity,CNE100000SP5,29513901W,,-0.011235955056179775,,0.010752688172043012,0.010638297872340425,0.009900990099009901,-0.015625,-0.016666666666666666,,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,,,,,,0.002564102564102564,-0.00010368203505689607
123,2026-05-31,002465 CH Equity,CNE100000T24,29523901W,,0.003968253968253968,,,-0.010752688172043012,,,-0.016666666666666666,0.013157894736842105,,-0.0136986301369863,,,,,,,-0.013157894736842105,,,-0.018867924528301886,-0.02702702702702703,,,,,-0.013333333333333334,0.01020408163265306,0.002564102564102564,-0.0029116752008220602
124,2026-05-31,002466 CH Equity,CNE100000T32,29524001W,-0.007633587786259542,0.003968253968253968,,0.010752688172043012,0.010638297872340425,0.009900990099009901,,,-0.006944444444444444,,,,,,,,,,,,,,,-0.00980392156862745,,,,,0.002564102564102564,0.0005306201423730437
125,2026-05-31,002472 CH Equity,CNE100000TF4,29531901W,,0.003968253968253968,,,,,0.015384615384615385,0.01639344262295082,,0.008771929824561403,,,-0.02564102564102564,-0.022727272727272728,,,,-0.013157894736842105,,,0.018867924528301886,,,,0.017241379310344827,,,,0.002564102564102564,0.0016187628872269962
126,2026-05-31,002475 CH Equity,CNE100000TP3,29532601W,,0.003968253968253968,,,,,,,-0.006944444444444444,,0.006756756756756757,,,,,,,0.004366812227074236,,,,0.013513513513513514,,,0.017241379310344827,0.015384615384615385,0.006622516556291391,,0.002564102564102564,0.0023445339228709465
127,2026-05-31,002487 CH Equity,CNE100000VV7,29539001W,,0.003968253968253968,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,-0.006944444444444444,-0.017543859649122806,,-0.02040816326530612,,-0.022727272727272728,,0.012987012987012988,,-0.013157894736842105,,,,,,,0.017241379310344827,,,,0.002564102564102564,-0.0020966658663217944
128,2026-05-31,002493 CH Equity,CNE100000W60,29566201W,-0.007633587786259542,0.003968253968253968,,,,0.009900990099009901,,,,,,,,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,0.00047678074854720875
129,2026-05-31,002517 CH Equity,CNE100000XB5,29586901W,,0.003968253968253968,,,,0.009900990099009901,-0.015625,,-0.006944444444444444,,,0.01020408163265306,,,,,,,0.010101010101010102,,,,0.05,,,,,,0.002564102564102564,0.0022390970864635974
130,2026-05-31,002555 CH Equity,CNE1000010N2,29684401W,,0.003968253968253968,,,,,,,,-0.017543859649122806,,0.01020408163265306,,,0.058823529411764705,,,,,-0.1,,,-0.1,,,,0.006622516556291391,,0.002564102564102564,-0.006088370132499976
131,2026-05-31,002558 CH Equity,CNE1000010R3,29685501W,,0.003968253968253968,,,,0.009900990099009901,0.015384615384615385,,-0.006944444444444444,,,0.01020408163265306,,,-0.058823529411764705,,,,0.010101010101010102,0.09090909090909091,,,0.05,,,,0.006622516556291391,0.01020408163265306,0.002564102564102564,0.006245295761618851
132,2026-05-31,002594 CH Equity,CNE100001526,25375902W,-0.007633587786259542,0.003968253968253968,,,-0.010752688172043012,-0.009900990099009901,-0.015625,,,0.008771929824561403,0.006756756756756757,,,0.007633587786259542,-0.058823529411764705,,0.0625,0.004366812227074236,,,0.018867924528301886,,,0.003278688524590164,,,,-0.005291005291005291,-0.01,-0.0005259817686049063
133,2026-05-31,002595 CH Equity,CNE1000014X3,29816201W,0.014285714285714285,0.003968253968253968,-0.012195121951219513,,0.010638297872340425,,,,,-0.017543859649122806,0.006756756756756757,,,,,0.012987012987012988,,,-0.02040816326530612,,-0.018867924528301886,,,0.003278688524590164,,-0.015873015873015872,,-0.005291005291005291,0.002564102564102564,-0.0011456805223808838
134,2026-05-31,002600 CH Equity,CNE1000015L5,29835401W,,0.003968253968253968,-0.012195121951219513,,,,0.015384615384615385,0.01639344262295082,-0.006944444444444444,,0.006756756756756757,,,,,,,0.004366812227074236,,,,,,0.003278688524590164,0.017241379310344827,,0.006622516556291391,-0.005291005291005291,0.002564102564102564,0.0018973954501131287
135,2026-05-31,002601 CH Equity,CNE1000015M3,29835301W,,0.003968253968253968,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,0.013157894736842105,,,,,,,,,,,,,,,0.003278688524590164,,,,-0.005291005291005291,0.002564102564102564,-0.0005419117090581594
136,2026-05-31,002602 CH Equity,CNE1000015R2,29838701W,,0.003968253968253968,,,,0.009900990099009901,0.015384615384615385,,-0.006944444444444444,,,0.01020408163265306,,,,0.012987012987012988,-0.06666666666666667,,0.010101010101010102,0.09090909090909091,,,-0.1,,,,0.006622516556291391,-0.005291005291005291,0.002564102564102564,-0.0001588071481255212
137,2026-05-31,002603 CH Equity,CNE1000015S0,29838801W,0.014285714285714285,,,0.010752688172043012,0.010638297872340425,0.009900990099009901,,,,,,0.01020408163265306,0.0125,,,,,,0.010101010101010102,,,,,,,,0.006622516556291391,,0.002564102564102564,0.002981876397522543
138,2026-05-31,002625 CH Equity,CNE1000018P0,30758701W,,,,,,,,,-0.006944444444444444,,-0.0136986301369863,-0.02040816326530612,,-0.022727272727272728,,-0.02631578947368421,,-0.013157894736842105,0.010101010101010102,,,,,0.003278688524590164,,,-0.013333333333333334,,0.002564102564102564,-0.002724971461369033
139,2026-05-31,002648 CH Equity,CNE100001B07,31141001W,,0.003968253968253968,0.012345679012345678,0.010752688172043012,,,,,,,,,,,,,,,,,,,,0.003278688524590164,,,,0.01020408163265306,-0.01,0.001205896851687346
140,2026-05-31,002653 CH Equity,CNE100001BC7,31142801W,,,,0.010752688172043012,,0.009900990099009901,,,,,,,,,,,,,0.010101010101010102,,,,,0.003278688524590164,,,,,-0.01,0.0008024871296273406
141,2026-05-31,002673 CH Equity,CNE100001D96,31254501W,0.014285714285714285,,,,,,,,,,0.006756756756756757,,0.0125,,,0.012987012987012988,,0.004366812227074236,-0.02040816326530612,,,,,,,,,-0.005291005291005291,0.002564102564102564,0.0008613294542771634
142,2026-05-31,002709 CH Equity,CNE100001RG4,31698501W,-0.007633587786259542,-0.011235955056179775,-0.012195121951219513,0.010752688172043012,0.010638297872340425,0.009900990099009901,0.015384615384615385,0.01639344262295082,-0.006944444444444444,,,,,,,,,,,,,,,-0.00980392156862745,,0.015384615384615385,,,0.002564102564102564,0.0013107519674938346
143,2026-05-31,002714 CH Equity,CNE100001RQ3,31703401W,0.014285714285714285,,-0.012195121951219513,,,-0.009900990099009901,0.015384615384615385,0.01639344262295082,-0.006944444444444444,0.008771929824561403,,,0.0125,0.007633587786259542,0.058823529411764705,,,0.004366812227074236,,,,0.013513513513513514,,0.003278688524590164,,,,,,0.0036372164090443357
144,2026-05-31,002736 CH Equity,CNE100001WS9,31897501W,0.014285714285714285,,,0.010752688172043012,,0.009900990099009901,,,,,0.006756756756756757,,0.0125,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,0.0020912419337065754
145,2026-05-31,002738 CH Equity,CNE100001WV3,31888101W,-0.007633587786259542,0.003968253968253968,0.012345679012345678,0.010752688172043012,0.010638297872340425,0.009900990099009901,0.015384615384615385,,,,,,,,,,,,,,,,,-0.00980392156862745,,,,,0.002564102564102564,0.0018993596363216722
146,2026-05-31,002739 CH Equity,CNE100001WW1,31906401W,,-0.011235955056179775,,,,,0.015384615384615385,,0.013157894736842105,0.008771929824561403,,,,,-0.058823529411764705,-0.02631578947368421,-0.06666666666666667,,0.010101010101010102,,,,0.05,,,,,-0.005291005291005291,0.002564102564102564,-0.0007741311411518866
147,2026-05-31,002797 CH Equity,CNE1000027G0,32163001W,-0.007633587786259542,,,,,,,,,0.008771929824561403,0.006756756756756757,,-0.02564102564102564,,,,,0.004366812227074236,,,,,,-0.00980392156862745,,,,,0.002564102564102564,-0.0007307463111111103
148,2026-05-31,002812 CH Equity,CNE100002BR3,32245801W,-0.007633587786259542,0.003968253968253968,0.012345679012345678,,,0.009900990099009901,,,-0.006944444444444444,,,,,,,,,,,,,,,-0.00980392156862745,,,,0.01020408163265306,0.002564102564102564,0.0005763612384401546
149,2026-05-31,002821 CH Equity,CNE100002BZ6,32287801W,-0.007633587786259542,,0.012345679012345678,0.010752688172043012,0.010638297872340425,0.009900990099009901,,,,,,-0.02040816326530612,,,,,,,,,,,,-0.00980392156862745,,,,,-0.01,0.00012927504528479836
150,2026-05-31,002837 CH Equity,CNE100002CC3,32320601W,-0.007633587786259542,0.003968253968253968,,0.010752688172043012,0.010638297872340425,0.009900990099009901,,,-0.006944444444444444,-0.017543859649122806,0.006756756756756757,,,0.007633587786259542,,0.012987012987012988,,0.004366812227074236,0.010101010101010102,,,,,-0.00980392156862745,0.017241379310344827,-0.015873015873015872,-0.013333333333333334,,0.002564102564102564,0.0006658520349023716
151,2026-05-31,002850 CH Equity,CNE100002JW6,32358701W,,0.003968253968253968,0.012345679012345678,0.010752688172043012,0.010638297872340425,0.009900990099009901,0.015384615384615385,0.01639344262295082,,-0.017543859649122806,,,0.0125,0.007633587786259542,,,,,,,,,,-0.00980392156862745,0.017241379310344827,,,,0.002564102564102564,0.003593118806217252
