style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Price Momentum,Valuation,Valuation,Volatility,Volatility,MP
factor_weight,,,,,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,1.0
factor,,,,,6MChgTgtPrcGapEMA,EPSEstDispFY1C,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,AdjIntCov,IntCovRatio,ShareChg,AdjAccruals,AssetTurn,CapExToSales,DepToCapex,ETO,InvToAsset,InvToAstChg1Y,SalesToEPSChg,SalesToInvCap,UnexpectedRecChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,50DVolSig,STO,STO_6M,InvPEGYC,OCFEV,90DCV,Beta60M,AGG
15,2026-05-31,000425 CH Equity,CNE000000FH0,25133101W,,0.003968253968253968,,,,,,,0.013157894736842105,0.008771929824561403,0.006756756756756757,0.01020408163265306,,0.007633587786259542,,-0.02631578947368421,,0.004366812227074236,0.010101010101010102,,,,,0.003278688524590164,-0.022727272727272728,0.015384615384615385,0.006622516556291391,-0.005291005291005291,0.002564102564102564,0.0012073464514838874
16,2026-05-31,000426 CH Equity,CNE000000D24,25990201W,,-0.011235955056179775,0.012345679012345678,,,0.009900990099009901,,,-0.006944444444444444,,,,,,,,,,,,,,,,,,,0.01020408163265306,0.002564102564102564,0.0006645178177332543
17,2026-05-31,000513 CH Equity,CNE0000002Y8,21070302W,-0.007633587786259542,,,,,,,,,0.008771929824561403,,0.01020408163265306,0.0125,,,,,,,,,,,0.003278688524590164,-0.022727272727272728,,0.006622516556291391,,0.002564102564102564,8.049732552414585e-05
18,2026-05-31,000519 CH Equity,CNE000000198,27213201W,,-0.011235955056179775,,,,,,,,0.008771929824561403,0.006756756756756757,,,,,,,,0.010101010101010102,,-0.018867924528301886,,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,0.002564102564102564,-0.0002643720663563297
19,2026-05-31,000538 CH Equity,CNE0000008X7,27143001W,0.014285714285714285,,,,,,,,,-0.017543859649122806,,0.01020408163265306,,,,,,,0.010101010101010102,,,,,0.003278688524590164,,,0.006622516556291391,,0.002564102564102564,0.0011249920718398164
20,2026-05-31,000547 CH Equity,CNE000000DM5,27227001W,,,,,,,-0.015625,-0.016666666666666666,0.013157894736842105,,-0.0136986301369863,,,,,,,,,,-0.018867924528301886,-0.02702702702702703,,-0.00980392156862745,,,,,0.002564102564102564,-0.003195171115091515
21,2026-05-31,000559 CH Equity,CNE000000FB3,26022401W,,-0.011235955056179775,,,,,-0.015625,-0.016666666666666666,,,,,0.0125,0.007633587786259542,,,,0.004366812227074236,,,,,,-0.00980392156862745,,,,0.01020408163265306,0.002564102564102564,-0.0009886747317615812
22,2026-05-31,000564 CH Equity,CNE0000003W0,26023701W,,,,,,,,,,,-0.0136986301369863,,,-0.022727272727272728,-0.058823529411764705,,,-0.013157894736842105,,,,,,0.003278688524590164,,,-0.013333333333333334,0.01020408163265306,0.002564102564102564,-0.00260307096501681
23,2026-05-31,000568 CH Equity,CNE000000GF2,24376701W,0.014285714285714285,,,,,,,,,-0.017543859649122806,-0.0136986301369863,,-0.02564102564102564,-0.022727272727272728,-0.058823529411764705,-0.02631578947368421,,-0.013157894736842105,,,,-0.02702702702702703,,0.003278688524590164,,-0.015873015873015872,,,,-0.0054477928785344526
24,2026-05-31,000596 CH Equity,CNE000000MD5,24373702W,,,,,-0.010752688172043012,,,,,-0.017543859649122806,-0.0136986301369863,,-0.02564102564102564,-0.022727272727272728,-0.058823529411764705,-0.02631578947368421,,-0.013157894736842105,,,,,,0.003278688524590164,,,-0.013333333333333334,,,-0.005269043939455202
25,2026-05-31,000617 CH Equity,CNE000000MS3,27233101W,,,,,,,,,,,,,,-0.022727272727272728,,,,0.004366812227074236,-0.02040816326530612,,,,,-0.00980392156862745,,,,,0.002564102564102564,-0.001254998300928865
26,2026-05-31,000625 CH Equity,CNE000000R36,24206101W,,-0.011235955056179775,-0.012195121951219513,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,,-0.017543859649122806,0.006756756756756757,,0.0125,0.007633587786259542,,,0.0625,0.004366812227074236,,,,,,0.003278688524590164,-0.022727272727272728,,-0.013333333333333334,-0.005291005291005291,0.002564102564102564,-0.001660966118335782
27,2026-05-31,000629 CH Equity,CNE0000007H2,25134401W,-0.007633587786259542,0.003968253968253968,,-0.010752688172043012,,-0.009900990099009901,,,,,,,,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,-0.0007293244081171162
28,2026-05-31,000630 CH Equity,CNE000000529,27103901W,-0.007633587786259542,-0.011235955056179775,0.012345679012345678,0.010752688172043012,0.010638297872340425,,0.015384615384615385,0.01639344262295082,-0.006944444444444444,,,,,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,0.0017977705383871484
29,2026-05-31,000651 CH Equity,CNE0000001D4,25998001W,-0.007633587786259542,0.003968253968253968,,-0.010752688172043012,,,-0.015625,-0.016666666666666666,,,-0.0136986301369863,,0.0125,,0.058823529411764705,,,,,,0.018867924528301886,,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,-0.01,0.00012885101684331887
30,2026-05-31,000657 CH Equity,CNE0000006M4,27223901W,-0.007633587786259542,0.003968253968253968,,,,,,,,,,,,,,,,,,,,,,-0.00980392156862745,,,,0.01020408163265306,0.002564102564102564,-2.7673858772049543e-05
31,2026-05-31,000661 CH Equity,CNE0000007J8,27213001W,-0.007633587786259542,,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,,0.008771929824561403,,-0.02040816326530612,-0.02564102564102564,,,,,,0.010101010101010102,,,,,,,,,,0.002564102564102564,-0.0021192425606569227
32,2026-05-31,000688 CH Equity,CNE0000003F5,25996701W,,,,,,,-0.015625,,0.013157894736842105,,,,,,,,,,,,,,,,,,,0.01020408163265306,0.002564102564102564,0.0004066214782809285
33,2026-05-31,000708 CH Equity,CNE0000008J6,25997201W,,-0.011235955056179775,,,,,0.015384615384615385,0.01639344262295082,-0.006944444444444444,,,,,,,,,,,,,,,0.003278688524590164,,,,-0.005291005291005291,0.002564102564102564,0.0005585306157820729
34,2026-05-31,000725 CH Equity,CNE0000016L5,24205802W,,-0.011235955056179775,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,0.015384615384615385,,0.013157894736842105,,,,,,,,,0.004366812227074236,,,,,,0.003278688524590164,-0.022727272727272728,0.015384615384615385,0.006622516556291391,-0.005291005291005291,0.002564102564102564,-0.000454046659432979
35,2026-05-31,000728 CH Equity,CNE000000QZ9,27200801W,,,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,,0.008771929824561403,,,,,,0.012987012987012988,,-0.013157894736842105,-0.02040816326530612,,,,,0.003278688524590164,,,,-0.005291005291005291,0.002564102564102564,-0.001513121804727523
36,2026-05-31,000729 CH Equity,CNE000000S84,25130601W,,,0.012345679012345678,,0.010638297872340425,0.009900990099009901,,,,0.008771929824561403,,-0.02040816326530612,,,,0.012987012987012988,,,,,,0.013513513513513514,,-0.00980392156862745,,,0.006622516556291391,,,0.0017397064477110685
37,2026-05-31,000733 CH Equity,CNE000000RY0,24375901W,,0.003968253968253968,,,,,-0.015625,-0.016666666666666666,,,-0.0136986301369863,,,,,,,-0.013157894736842105,,,-0.018867924528301886,-0.02702702702702703,,0.003278688524590164,,,0.006622516556291391,-0.005291005291005291,-0.01,-0.003813840503962623
38,2026-05-31,000738 CH Equity,CNE000000RM5,27196001W,-0.007633587786259542,-0.011235955056179775,,-0.010752688172043012,-0.010752688172043012,-0.009900990099009901,,,,-0.017543859649122806,-0.0136986301369863,-0.02040816326530612,,-0.022727272727272728,,,,-0.013157894736842105,-0.02040816326530612,,,,,,,,-0.013333333333333334,,0.002564102564102564,-0.005108276994684964
