style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Valuation,Valuation,Valuation,Volatility,Volatility,Volatility,MP
factor_weight,,,,,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.9999998658895493
factor,,,,,6MChgTgtPrcGapEMA,EBITEstDisp,EPSEstDispFY1C,EPSEstDispFY2C,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,AdjIntCov,DebtChg1Y,FinLev,IntCovRatio,ShareChg,CapExToSales,DepToCapex,EPSToOCFChg,InvToAsset,InvToAst,InvToAstChg1Y,SalesToEPSChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,TTMOverheadtoSales,50DVolSig,Alpha12M6MPChg,Alpha36M6MPChg,Alpha60M,Chg1YTurnover,IO_TO,PM1M,STO,STO_6M,DivToCF,InvPEGYC,OCFEV,90DCV,Beta60M,YoYChgDA,AGG
13,2026-04-30,000408 CH Equity,CNE000000L08,27233901W,,,0.0036363636363636364,,,,,,,-0.021739130434782608,,,,,,,,,,,,,,,,0.009615384615384616,-0.009708737864077669,,,,0.003194888178913738,,0.007936507936507936,,,,0.002506265664160401,,-0.00011995941200508049
14,2026-04-30,000423 CH Equity,CNE0000006Y9,26013001W,-0.007407407407407408,,,,,,,,,,,,0.01,0.012345679012345678,,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,,,,,0.00641025641025641,,0.002506265664160401,,0.00012632265207865325
15,2026-04-30,000425 CH Equity,CNE000000FH0,25133101W,0.014285714285714285,,0.0036363636363636364,,,,,,,,,0.013333333333333334,0.01,,-0.014705882352941176,,,,,,,,,,,,,,,,0.003194888178913738,-0.020833333333333332,,0.015151515151515152,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,0.0007263887680563181
16,2026-04-30,000426 CH Equity,CNE000000D24,25990201W,,0.022222222222222223,0.0036363636363636364,-0.0136986301369863,,,,,,,,0.013333333333333334,,,,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,-0.009615384615384616,,-0.023809523809523808,,,0.010416666666666666,0.002506265664160401,-0.014492753623188406,0.00024007767733087943
17,2026-04-30,000513 CH Equity,CNE0000002Y8,21070302W,-0.007407407407407408,,,,-0.011494252873563218,-0.010638297872340425,-0.01020408163265306,,0.023255813953488372,,,,0.01,0.012345679012345678,,,,,,,,,,,,-0.019230769230769232,,,,,0.003194888178913738,-0.020833333333333332,,,0.00641025641025641,,0.002506265664160401,,-0.0005814535833605158
18,2026-04-30,000519 CH Equity,CNE000000198,27213201W,,,-0.014285714285714285,-0.0136986301369863,,,,,,-0.021739130434782608,,,-0.02040816326530612,,0.014492753623188406,,,-0.02564102564102564,,,-0.01818181818181818,,,,,,,,,0.009009009009009009,-0.009615384615384616,,,,,-0.005376344086021506,0.002506265664160401,,-0.0027088991722525107
19,2026-04-30,000538 CH Equity,CNE0000008X7,27143001W,-0.007407407407407408,,,,0.01282051282051282,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.003194888178913738,,,,0.00641025641025641,,0.002506265664160401,0.014084507042253521,0.0010949741349601234
20,2026-04-30,000547 CH Equity,CNE000000DM5,27227001W,,,,,,,,,,,,0.013333333333333334,,,-0.014705882352941176,,,,,,-0.01818181818181818,-0.02857142857142857,,,,,-0.009708737864077669,,,,-0.009615384615384616,,,,,0.010416666666666666,0.002506265664160401,,-0.0014349204897066094
21,2026-04-30,000559 CH Equity,CNE000000FB3,26022401W,,,-0.014285714285714285,-0.0136986301369863,,,,0.02702702702702703,,,0.01639344262295082,,,0.012345679012345678,,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,-0.009615384615384616,0.017543859649122806,,,,0.010416666666666666,0.002506265664160401,,0.0017699367423324756
22,2026-04-30,000564 CH Equity,CNE0000003W0,26023701W,,,,,,,,,,,,,,0.012345679012345678,-0.014705882352941176,-0.058823529411764705,,,,,-0.01818181818181818,,,,,,,,,0.009009009009009009,0.003194888178913738,,,,-0.012987012987012988,,0.002506265664160401,,-0.0020432208067487057
23,2026-04-30,000568 CH Equity,CNE000000GF2,24376701W,,,,,,,,-0.027777777777777776,,,-0.016666666666666666,-0.007352941176470588,,,-0.014705882352941176,,,-0.02564102564102564,,,,,-0.2,,,-0.019230769230769232,,,,,0.003194888178913738,,0.007936507936507936,-0.015151515151515152,0.00641025641025641,,,0.014084507042253521,-0.007760536286315963
24,2026-04-30,000596 CH Equity,CNE000000MD5,24373702W,,,,,,,-0.01020408163265306,,,,,,-0.02040816326530612,-0.025,0.014492753623188406,-0.058823529411764705,,-0.02564102564102564,,,,,-0.2,,,-0.019230769230769232,0.009615384615384616,,,0.009009009009009009,0.003194888178913738,,0.007936507936507936,,,,,,-0.008291025883310713
25,2026-04-30,000617 CH Equity,CNE000000MS3,27233101W,,,,,,,,,,,,,-0.02040816326530612,,,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,-0.009615384615384616,,0.007936507936507936,,,,0.002506265664160401,,-0.001016718456716449
26,2026-04-30,000625 CH Equity,CNE000000R36,24206101W,,,0.0036363636363636364,0.0136986301369863,,,-0.01020408163265306,,,,,,,0.012345679012345678,0.014492753623188406,-0.058823529411764705,,,-0.06666666666666667,,,,,,,,,,,,0.003194888178913738,-0.020833333333333332,,,,-0.005376344086021506,0.002506265664160401,,-0.0029481410487939776
27,2026-04-30,000629 CH Equity,CNE0000007H2,25134401W,,-0.022727272727272728,0.0036363636363636364,0.0136986301369863,,-0.010638297872340425,0.010101010101010102,,,-0.021739130434782608,,0.013333333333333334,,,,,,,,,,,,,,,,,,,0.003194888178913738,,-0.023809523809523808,,,,0.002506265664160401,,-0.0008537823537396921
28,2026-04-30,000630 CH Equity,CNE000000529,27103901W,-0.007407407407407408,0.022222222222222223,0.0036363636363636364,,,,,,,,,0.013333333333333334,,,,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,,,0.007936507936507936,,,,0.002506265664160401,,0.0016013597591770434
29,2026-04-30,000651 CH Equity,CNE0000001D4,25998001W,-0.007407407407407408,,0.0036363636363636364,,,,,,,,,,,0.012345679012345678,-0.014705882352941176,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,,,0.00641025641025641,-0.005376344086021506,-0.00980392156862745,,-0.000809497271272655
30,2026-04-30,000657 CH Equity,CNE0000006M4,27223901W,-0.007407407407407408,,-0.014285714285714285,-0.0136986301369863,,,,,,,,-0.007352941176470588,,,,,,,,,,,,,,0.009615384615384616,,,,0.009009009009009009,,,-0.023809523809523808,,,0.010416666666666666,0.002506265664160401,0.014084507042253521,-0.0005505889740188909
31,2026-04-30,000661 CH Equity,CNE0000007J8,27213001W,0.014285714285714285,,,,,,,,,,,,,-0.025,,,,,,,,,,,,-0.019230769230769232,0.009615384615384616,,,,,,,,,,0.002506265664160401,,-0.0004690369019790815
32,2026-04-30,000708 CH Equity,CNE0000008J6,25997201W,,,-0.014285714285714285,,0.01282051282051282,0.010752688172043012,,0.02702702702702703,,,,-0.007352941176470588,,,,,,,,,,,,,,-0.019230769230769232,,,,,0.003194888178913738,,0.007936507936507936,,,-0.005376344086021506,0.002506265664160401,,0.0004734768054541543
33,2026-04-30,000725 CH Equity,CNE0000016L5,24205802W,,,0.0036363636363636364,,,,,,,,,-0.007352941176470588,,,,,,,,,,,,,,,,,,,0.003194888178913738,-0.020833333333333332,,0.015151515151515152,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,-7.008761045883583e-05
34,2026-04-30,000728 CH Equity,CNE000000QZ9,27200801W,,,,,,,,,,,,,,0.012345679012345678,,,-0.017857142857142856,0.01282051282051282,,,,,,,,-0.019230769230769232,,,,,,,0.007936507936507936,,,-0.005376344086021506,0.002506265664160401,,-0.00018040236371159548
35,2026-04-30,000729 CH Equity,CNE000000S84,25130601W,-0.007407407407407408,,,,0.01282051282051282,,0.010101010101010102,,,,,-0.007352941176470588,,,,,,0.01282051282051282,,,,,,,,,,,,-0.009345794392523364,,,-0.023809523809523808,,0.00641025641025641,,,0.014084507042253521,0.0002189771392807811
36,2026-04-30,000733 CH Equity,CNE000000RY0,24375901W,,,0.0036363636363636364,,,0.010752688172043012,,,,,,,,,,,,,,,-0.01818181818181818,-0.02857142857142857,,,,,0.009615384615384616,,,0.009009009009009009,0.003194888178913738,,,,0.00641025641025641,-0.005376344086021506,-0.00980392156862745,,-0.0005082873630419038
37,2026-04-30,000738 CH Equity,CNE000000RM5,27196001W,,,-0.014285714285714285,-0.0136986301369863,,,,,0.023255813953488372,-0.021739130434782608,,,-0.02040816326530612,,0.014492753623188406,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,,,,,,,0.002506265664160401,,-0.00029611604601296223
38,2026-04-30,000750 CH Equity,CNE0000008K4,27196601W,,,,,,,,,0.023255813953488372,,,,,0.012345679012345678,,,,,,,,,,,,,,,,,,,0.007936507936507936,,,-0.005376344086021506,0.002506265664160401,0.014084507042253521,0.0014408532152595105
39,2026-04-30,000768 CH Equity,CNE000000RF9,27104601W,,,-0.014285714285714285,-0.0136986301369863,,,,,,,,,0.01,,0.014492753623188406,,,-0.02564102564102564,,,,,,,,,0.009615384615384616,,,0.009009009009009009,0.003194888178913738,,,,-0.012987012987012988,,0.002506265664160401,,-0.00046826525193975507
40,2026-04-30,000776 CH Equity,CNE0000008L2,27199901W,0.014285714285714285,,,,,,,,0.023255813953488372,,,,,,,,,,,,,,,,,-0.019230769230769232,0.009615384615384616,,,0.009009009009009009,0.003194888178913738,,0.007936507936507936,0.015151515151515152,,0.010416666666666666,0.002506265664160401,,0.0020037101584023057
41,2026-04-30,000783 CH Equity,CNE000000SH3,25137601W,0.014285714285714285,,,-0.0136986301369863,,0.010752688172043012,0.010101010101010102,,0.023255813953488372,,,,,0.012345679012345678,,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,-0.009615384615384616,,0.007936507936507936,,,0.010416666666666666,0.002506265664160401,-0.014492753623188406,0.0019057358244411581
42,2026-04-30,000786 CH Equity,CNE000000QS4,25983101W,-0.007407407407407408,,0.0036363636363636364,0.0136986301369863,-0.011494252873563218,-0.010638297872340425,-0.01020408163265306,,0.023255813953488372,,,-0.007352941176470588,,,,,,0.01282051282051282,,,,,,,,,,,,,0.003194888178913738,0.017543859649122806,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,0.014084507042253521,0.0011757306961012
43,2026-04-30,000792 CH Equity,CNE000000SW2,26009701W,0.014285714285714285,,0.0036363636363636364,0.0136986301369863,0.01282051282051282,0.010752688172043012,0.010101010101010102,,,-0.021739130434782608,-0.016666666666666666,,,,,,,,,,,,,,,-0.019230769230769232,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,-0.023809523809523808,,,,0.002506265664160401,0.014084507042253521,-0.00040579053401043966
44,2026-04-30,000807 CH Equity,CNE000000VG9,26026901W,,-0.022727272727272728,0.0036363636363636364,0.0136986301369863,,0.010752688172043012,0.010101010101010102,-0.027777777777777776,,-0.021739130434782608,0.01639344262295082,,,,,,,,,,,,,,,0.009615384615384616,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,,,,-0.005376344086021506,0.002506265664160401,,-0.0007046415937802653
45,2026-04-30,000830 CH Equity,CNE000000WN3,27202401W,0.014285714285714285,-0.022727272727272728,0.0036363636363636364,,-0.011494252873563218,-0.010638297872340425,-0.01020408163265306,,,,,,,,,,,,,,,,,,,0.009615384615384616,,,,,,,-0.023809523809523808,,,-0.005376344086021506,-0.00980392156862745,,-0.0017504269240004684
46,2026-04-30,000831 CH Equity,CNE000000WS2,26016801W,,,,,,,,,,-0.021739130434782608,,,,,,,,,,,,,,,,,0.009615384615384616,,,,-0.009615384615384616,,-0.023809523809523808,,,-0.005376344086021506,0.002506265664160401,-0.014492753623188406,-0.0016555652066386354
47,2026-04-30,000858 CH Equity,CNE000000VQ8,24368301W,-0.007407407407407408,,,,0.01282051282051282,,,,,,,,0.01,-0.025,,,,0.01282051282051282,,,,,,,,0.009615384615384616,,,,,0.003194888178913738,,0.007936507936507936,-0.015151515151515152,0.00641025641025641,,,,0.0004010299520904688
48,2026-04-30,000876 CH Equity,CNE000000VB0,25955001W,,,,0.0136986301369863,-0.011494252873563218,,-0.01020408163265306,,,,,0.013333333333333334,0.01,0.012345679012345678,,,,,,,,-0.02857142857142857,0.2,,,0.009615384615384616,,,,,0.003194888178913738,,0.007936507936507936,,0.00641025641025641,,,,0.005954339110568242
