style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Valuation,Valuation,Valuation,Volatility,Volatility,Volatility,MP
factor_weight,,,,,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.9999998658895493
factor,,,,,6MChgTgtPrcGapEMA,EBITEstDisp,EPSEstDispFY1C,EPSEstDispFY2C,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,AdjIntCov,DebtChg1Y,FinLev,IntCovRatio,ShareChg,CapExToSales,DepToCapex,EPSToOCFChg,InvToAsset,InvToAst,InvToAstChg1Y,SalesToEPSChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,TTMOverheadtoSales,50DVolSig,Alpha12M6MPChg,Alpha36M6MPChg,Alpha60M,Chg1YTurnover,IO_TO,PM1M,STO,STO_6M,DivToCF,InvPEGYC,OCFEV,90DCV,Beta60M,YoYChgDA,AGG
59,2026-04-30,000981 CH Equity,CNE000001352,27215701W,,,,,,,,,,,,,,0.012345679012345678,0.014492753623188406,0.058823529411764705,,,,,-0.01818181818181818,,,,,,,,,,-0.009615384615384616,,,,-0.012987012987012988,0.010416666666666666,0.002506265664160401,,0.0015210702853219742
60,2026-04-30,000983 CH Equity,CNE0000013Y5,25137101W,,0.022222222222222223,,,,,-0.01020408163265306,,,0.020833333333333332,,,,,-0.014705882352941176,,-0.017857142857142856,,,-0.1,,,,,,,0.009615384615384616,,,,,,0.007936507936507936,,,-0.005376344086021506,0.002506265664160401,,-0.0022376243619414136
61,2026-04-30,000988 CH Equity,CNE000001303,25900801W,,,-0.014285714285714285,,-0.011494252873563218,,,,,,,0.013333333333333334,,,,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,-0.009615384615384616,,,,,0.010416666666666666,-0.00980392156862745,,-0.0010658894781028154
62,2026-04-30,000999 CH Equity,CNE0000011K8,25135901W,-0.007407407407407408,,,,0.01282051282051282,,-0.01020408163265306,,0.023255813953488372,,,,0.01,0.012345679012345678,,,,,,,,,,,,0.009615384615384616,,,,,,-0.020833333333333332,,,0.00641025641025641,,0.002506265664160401,0.014084507042253521,0.0013840418445172894
63,2026-04-30,001309 CH Equity,CNE100005GP9,35376601W,,,0.0036363636363636364,,,,,,,,,,,,,,,,,,0.01818181818181818,0.02857142857142857,,,,,,,,-0.009345794392523364,-0.009615384615384616,-0.020833333333333332,,,-0.012987012987012988,0.010416666666666666,0.002506265664160401,,0.00027713199947009654
64,2026-04-30,001965 CH Equity,CNE1000032B1,32631201W,-0.007407407407407408,,0.0036363636363636364,,,,,,,,,-0.007352941176470588,,,,,,0.01282051282051282,,,-0.01818181818181818,,,,,,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,-0.020833333333333332,,,,-0.005376344086021506,-0.00980392156862745,,-0.0017989085317604101
65,2026-04-30,002001 CH Equity,CNE000001J84,27070401W,-0.007407407407407408,,-0.014285714285714285,,,,,0.02702702702702703,,,0.01639344262295082,,,,,,,,,,,,,,,0.009615384615384616,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,,-0.015151515151515152,,,-0.00980392156862745,,-0.0002492722882960063
66,2026-04-30,002007 CH Equity,CNE000001JN8,27076001W,-0.007407407407407408,,,0.0136986301369863,,-0.010638297872340425,-0.01020408163265306,,,,,,0.01,0.012345679012345678,,,,,,,,,,,,-0.019230769230769232,,,,,0.003194888178913738,,,,,,0.002506265664160401,,-0.0001509234837270548
67,2026-04-30,002008 CH Equity,CNE000001JQ1,27069601W,0.014285714285714285,-0.022727272727272728,0.0036363636363636364,0.0136986301369863,0.01282051282051282,0.010752688172043012,0.010101010101010102,,,,,0.013333333333333334,0.01,,0.014492753623188406,,,0.01282051282051282,,,0.01818181818181818,,,,,,,,,,,,,-0.015151515151515152,-0.012987012987012988,0.010416666666666666,0.002506265664160401,,0.00253106462309745
68,2026-04-30,002027 CH Equity,CNE000001KK2,27088901W,,,0.0036363636363636364,-0.0136986301369863,,,,,0.023255813953488372,,,,0.01,,,,,,,,,,,,,,,,-0.14285714285714285,,,,,,0.00641025641025641,-0.005376344086021506,-0.00980392156862745,0.014084507042253521,-0.00300918637555282
69,2026-04-30,002028 CH Equity,CNE000001KM8,27088301W,-0.007407407407407408,,0.0036363636363636364,,0.01282051282051282,0.010752688172043012,0.010101010101010102,,,-0.021739130434782608,,-0.007352941176470588,0.01,,,,,,,,,,,,,,,,,,0.003194888178913738,,,,,0.010416666666666666,0.002506265664160401,,0.0007086555949884388
70,2026-04-30,002049 CH Equity,CNE000001M14,27334601W,,,0.0036363636363636364,,,,,,,,-0.016666666666666666,0.013333333333333334,,,0.014492753623188406,,,,,,-0.01818181818181818,-0.02857142857142857,,,,,,,,,0.003194888178913738,,,,,-0.005376344086021506,0.002506265664160401,,-0.000832438127044896
71,2026-04-30,002050 CH Equity,CNE000001M22,27311401W,0.014285714285714285,,0.0036363636363636364,,-0.011494252873563218,,,,,,,-0.007352941176470588,-0.02040816326530612,,,,,,,,-0.01818181818181818,,,,,,,,,,0.003194888178913738,-0.020833333333333332,,-0.015151515151515152,,,0.002506265664160401,,-0.0018368100751607118
72,2026-04-30,002056 CH Equity,CNE000001N70,27823101W,,,0.0036363636363636364,,,-0.010638297872340425,-0.01020408163265306,,,,,0.013333333333333334,,,,,,,,,0.01818181818181818,0.02857142857142857,,,,,,,,,,,,,0.00641025641025641,-0.005376344086021506,-0.00980392156862745,,0.0008976460631309417
73,2026-04-30,002064 CH Equity,CNE000001NK6,27844801W,0.014285714285714285,,0.0036363636363636364,,,,,,,,,,,,,,,,,,,,,,,0.009615384615384616,,,,,0.003194888178913738,,0.007936507936507936,,,,0.002506265664160401,,0.001083555757763951
74,2026-04-30,002074 CH Equity,CNE000001NY7,27918201W,,-0.022727272727272728,0.0036363636363636364,,-0.011494252873563218,,,,,0.020833333333333332,,-0.007352941176470588,-0.02040816326530612,,,,,-0.02564102564102564,,,,,,,,,-0.009708737864077669,,,,,0.017543859649122806,,,,-0.005376344086021506,0.002506265664160401,0.014084507042253521,-0.001160642168253729
75,2026-04-30,002078 CH Equity,CNE000001P52,27939301W,-0.007407407407407408,0.022222222222222223,-0.014285714285714285,,-0.011494252873563218,-0.010638297872340425,-0.01020408163265306,,,,,,,,,,,,,,,,,,,,,,,,0.003194888178913738,,,,,-0.005376344086021506,-0.00980392156862745,,-0.0011524448276869629
76,2026-04-30,002080 CH Equity,CNE000001P78,27944101W,0.014285714285714285,-0.022727272727272728,0.0036363636363636364,,-0.011494252873563218,,,,,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,0.003194888178913738,,,0.015151515151515152,,,0.002506265664160401,,0.0006680671380147978
77,2026-04-30,002085 CH Equity,CNE000001PF1,27964001W,,,-0.014285714285714285,-0.0136986301369863,,0.010752688172043012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005376344086021506,0.002506265664160401,,-0.000528992946754368
78,2026-04-30,002128 CH Equity,CNE100000098,28433601W,,0.022222222222222223,,,,,,,,,,,,,,,-0.017857142857142856,,,0.09090909090909091,,0.02857142857142857,,,,0.009615384615384616,,,,,,,-0.023809523809523808,,,-0.005376344086021506,0.002506265664160401,,0.002810035971292089
79,2026-04-30,002129 CH Equity,CNE1000000B8,28433701W,,,0.0036363636363636364,,-0.011494252873563218,-0.010638297872340425,-0.01020408163265306,,,,,0.013333333333333334,,,-0.014705882352941176,,,,,,-0.01818181818181818,-0.02857142857142857,,,,,,,,,,,,,,,-0.00980392156862745,,-0.002279736170149701
80,2026-04-30,002131 CH Equity,CNE1000000F9,28434001W,,,,,,,,,-0.024390243902439025,0.020833333333333332,,,0.01,,0.014492753623188406,,,,0.0625,-0.1,,,,,,0.009615384615384616,,,,,,,,,-0.012987012987012988,0.010416666666666666,0.002506265664160401,,-0.000184548738058466
81,2026-04-30,002138 CH Equity,CNE1000000M5,28503801W,,,-0.014285714285714285,,-0.011494252873563218,,0.010101010101010102,,,,0.01639344262295082,-0.007352941176470588,,,,,,,,,0.01818181818181818,0.02857142857142857,,,,,,,,0.009009009009009009,,,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,0.001385893975686159
82,2026-04-30,002142 CH Equity,CNE1000005P7,28587701W,,,,,,,,,0.023255813953488372,,,,,-0.025,,,,,,,,,,,,0.009615384615384616,,,,,0.003194888178913738,,0.007936507936507936,0.015151515151515152,,,0.002506265664160401,-0.014492753623188406,0.0005833583922071592
83,2026-04-30,002152 CH Equity,CNE100000650,28574301W,,,0.0036363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003194888178913738,,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,0.00027293232665146194
84,2026-04-30,002156 CH Equity,CNE1000006C3,28580401W,,,0.0036363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009615384615384616,,,,0.00641025641025641,,0.002506265664160401,,7.730265003805882e-05
85,2026-04-30,002157 CH Equity,CNE1000006H2,28583101W,,,,,,,,,,,,0.013333333333333334,,0.012345679012345678,0.014492753623188406,,,-0.02564102564102564,,,,-0.02857142857142857,,,,,,,,,-0.009615384615384616,,-0.023809523809523808,,,,,,-0.0012490944816542803
86,2026-04-30,002179 CH Equity,CNE1000007T5,28706701W,,,0.0036363636363636364,,,-0.010638297872340425,-0.01020408163265306,,,,-0.016666666666666666,-0.007352941176470588,,,,,,,,,,,,,,,,,,,0.003194888178913738,-0.020833333333333332,,,,-0.005376344086021506,-0.00980392156862745,,-0.0019485348576504364
87,2026-04-30,002180 CH Equity,CNE1000007W9,28706801W,,,,,,,,,,,,,,,0.014492753623188406,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,0.003194888178913738,,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,0.0010487423176392834
88,2026-04-30,002185 CH Equity,CNE100000825,28719601W,,,0.0036363636363636364,,,-0.010638297872340425,-0.01020408163265306,,,,,-0.007352941176470588,,,,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,,0.017543859649122806,,,0.00641025641025641,,0.002506265664160401,,0.0005401530407922647
89,2026-04-30,002195 CH Equity,CNE1000008K2,28750701W,,,,,,,,,,,,,,,,,,,,,-0.01818181818181818,-0.02857142857142857,,,,,,,,,-0.009615384615384616,,,,-0.012987012987012988,0.010416666666666666,0.002506265664160401,,-0.0014850711699105484
90,2026-04-30,002202 CH Equity,CNE1000008S5,28768401W,-0.007407407407407408,,0.0036363636363636364,,,0.010752688172043012,0.010101010101010102,,,,,0.013333333333333334,,,,,,0.01282051282051282,,,,,,,,,,,,,-0.009615384615384616,-0.020833333333333332,,,,0.010416666666666666,0.002506265664160401,,0.0006765976734181324
91,2026-04-30,002223 CH Equity,CNE1000009X3,28865501W,,,,,,,,,,,,,0.01,0.012345679012345678,,,,,,,,,,,,,,,,0.009009009009009009,0.003194888178913738,,,,0.00641025641025641,,0.002506265664160401,,0.0011438445380375578
92,2026-04-30,002230 CH Equity,CNE100000B81,28871001W,,,0.0036363636363636364,,,,,,,,0.01639344262295082,-0.007352941176470588,,,,,,,,,,,,,,,,,,,0.003194888178913738,,,,0.00641025641025641,,0.002506265664160401,,0.0006523229476791484
93,2026-04-30,002236 CH Equity,CNE100000BJ4,28883901W,,,0.0036363636363636364,,,0.010752688172043012,0.010101010101010102,,,,,0.013333333333333334,,,-0.014705882352941176,,,,,,-0.01818181818181818,-0.02857142857142857,,,,,,,,,0.003194888178913738,,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,-0.0004447543534098064
94,2026-04-30,002241 CH Equity,CNE100000BP1,28883601W,,,0.0036363636363636364,,,,,,,,,-0.007352941176470588,,,,,,,,,,,,,,,,,,,0.003194888178913738,0.017543859649122806,,0.015151515151515152,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,0.0009398383852167823
95,2026-04-30,002252 CH Equity,CNE100000C31,28901601W,,,,-0.0136986301369863,,-0.010638297872340425,-0.01020408163265306,,,,,,0.01,,,,,,,,,,,,,,,,,,0.003194888178913738,,,,-0.012987012987012988,,0.002506265664160401,,-0.0008375490662527083
96,2026-04-30,002261 CH Equity,CNE100000CF0,28918401W,,,,,,,,,0.023255813953488372,-0.021739130434782608,,,,,,0.058823529411764705,,0.01282051282051282,-0.06666666666666667,0.09090909090909091,,,,,,0.009615384615384616,-0.009708737864077669,0.07692307692307693,,,,,,,,,-0.00980392156862745,0.014084507042253521,0.004697721978970974
97,2026-04-30,002262 CH Equity,CNE100000CG8,28918501W,,,,-0.0136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003194888178913738,,,,,,-0.00980392156862745,,-0.0005344121264007922
98,2026-04-30,002271 CH Equity,CNE100000CS3,28960801W,-0.007407407407407408,,0.0036363636363636364,0.0136986301369863,,,-0.01020408163265306,,,0.020833333333333332,,-0.007352941176470588,,,,,,,,,,,,,,,,,,,0.003194888178913738,,0.007936507936507936,-0.015151515151515152,,,0.002506265664160401,-0.014492753623188406,-7.375551918675148e-05
99,2026-04-30,002273 CH Equity,CNE100000CT1,28961001W,,,0.0036363636363636364,,0.01282051282051282,,,,,,-0.016666666666666666,-0.007352941176470588,,,,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,,,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,0.00038425890179654624
100,2026-04-30,002281 CH Equity,CNE100000F87,29246501W,,,0.0036363636363636364,,,,,,,,-0.016666666666666666,-0.007352941176470588,,,0.014492753623188406,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,-0.009615384615384616,-0.020833333333333332,,,,,0.002506265664160401,,-0.0013917754745258071
101,2026-04-30,002294 CH Equity,CNE100000FW8,29267501W,,,,,,,,,,,,,-0.02040816326530612,,,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,,,,,,,-0.00980392156862745,,-0.0012964897495622732
102,2026-04-30,002304 CH Equity,CNE100000HB8,29301701W,0.014285714285714285,,,0.0136986301369863,,,-0.01020408163265306,,,,,,,,-0.014705882352941176,,,-0.02564102564102564,,,,,-0.2,,,0.009615384615384616,,,,,0.003194888178913738,,0.007936507936507936,-0.015151515151515152,-0.012987012987012988,,,,-0.006051535836100459
103,2026-04-30,002311 CH Equity,CNE100000HP8,29316801W,,,,,,,,0.02702702702702703,,,0.01639344262295082,-0.007352941176470588,0.01,0.012345679012345678,0.014492753623188406,,,,,,,0.02857142857142857,0.2,,,,,,,,0.003194888178913738,,-0.023809523809523808,0.015151515151515152,,,,0.014084507042253521,0.00816049301726689
104,2026-04-30,002340 CH Equity,CNE100000KT4,29372001W,-0.007407407407407408,,0.0036363636363636364,0.0136986301369863,,,-0.01020408163265306,,-0.024390243902439025,0.020833333333333332,,-0.007352941176470588,-0.02040816326530612,,,,,0.01282051282051282,,,,,,,,,,,,0.009009009009009009,-0.009615384615384616,-0.020833333333333332,,,,,0.002506265664160401,-0.014492753623188406,-0.001373689140926986
105,2026-04-30,002352 CH Equity,CNE100000L63,29381101W,-0.007407407407407408,,0.0036363636363636364,,,-0.010638297872340425,,,,,,-0.007352941176470588,0.01,,,,,,,,-0.01818181818181818,,,,,,,,,-0.009345794392523364,0.003194888178913738,,,-0.015151515151515152,0.00641025641025641,-0.005376344086021506,-0.00980392156862745,0.014084507042253521,-0.0012087373265519015
106,2026-04-30,002353 CH Equity,CNE100000L55,29381201W,-0.007407407407407408,0.022222222222222223,,,-0.011494252873563218,,,,,,,,,,,,-0.017857142857142856,,,0.09090909090909091,,0.02857142857142857,,,,0.009615384615384616,0.009615384615384616,,,0.009009009009009009,,,,,,0.010416666666666666,0.002506265664160401,,0.0038449113037053936
107,2026-04-30,002371 CH Equity,CNE100000ML7,29404201W,,,0.0036363636363636364,,,,,,,,0.01639344262295082,-0.007352941176470588,,,-0.014705882352941176,,,,,,,,,,,,,,,-0.009345794392523364,0.003194888178913738,0.017543859649122806,,-0.015151515151515152,-0.012987012987012988,-0.005376344086021506,-0.00980392156862745,,-0.0008935487651068411
108,2026-04-30,002379 CH Equity,CNE100000MW4,29419701W,,0.022222222222222223,0.0036363636363636364,-0.0136986301369863,,0.010752688172043012,0.010101010101010102,,,,,,,,,,,,,,,,,,,,,,,,,,-0.023809523809523808,,,,-0.00980392156862745,-0.014492753623188406,-0.0003971721837531312
109,2026-04-30,002384 CH Equity,CNE100000N79,29420401W,,,0.0036363636363636364,,,,0.010101010101010102,,,,0.01639344262295082,-0.007352941176470588,,,,,,,,,-0.01818181818181818,-0.02857142857142857,,,,,-0.009708737864077669,,,-0.009345794392523364,-0.009615384615384616,,,-0.015151515151515152,,,-0.00980392156862745,,-0.0020421240724856
110,2026-04-30,002402 CH Equity,CNE100000P51,29447201W,,,0.0036363636363636364,,,,,,,,0.01639344262295082,0.013333333333333334,,,,,,,,,,,,,,,,,,,,-0.020833333333333332,,,0.00641025641025641,,0.002506265664160401,,0.0005643769857251187
111,2026-04-30,002409 CH Equity,CNE100000PG0,29458701W,,0.022222222222222223,0.0036363636363636364,-0.0136986301369863,,-0.010638297872340425,,0.02702702702702703,,,0.01639344262295082,,,,,,,,,,,,,,,0.009615384615384616,,,,,0.003194888178913738,,0.007936507936507936,,,,0.002506265664160401,-0.014492753623188406,0.0014132213965515651
112,2026-04-30,002414 CH Equity,CNE100000RK8,29459201W,,,0.0036363636363636364,,,0.010752688172043012,0.010101010101010102,,,,-0.016666666666666666,,,,,,,,,,-0.01818181818181818,-0.02857142857142857,,,,,,,,0.009009009009009009,0.003194888178913738,,,,0.00641025641025641,,0.002506265664160401,,-0.0004686692068348981
113,2026-04-30,002415 CH Equity,CNE100000PM8,29459401W,,,0.0036363636363636364,,0.01282051282051282,,,,,,-0.016666666666666666,0.013333333333333334,,,,,,,,,,,,,,,,,,-0.009345794392523364,0.003194888178913738,-0.020833333333333332,,-0.015151515151515152,0.00641025641025641,-0.005376344086021506,-0.00980392156862745,,-0.000994268835587286
114,2026-04-30,002422 CH Equity,CNE100000PW7,29476001W,-0.007407407407407408,,,0.0136986301369863,,,,,0.023255813953488372,,,,,,,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,,,,,0.00641025641025641,,-0.00980392156862745,0.014084507042253521,0.0005574564070905418
115,2026-04-30,002429 CH Equity,CNE100000Q50,29482001W,-0.007407407407407408,,-0.014285714285714285,-0.0136986301369863,,-0.010638297872340425,-0.01020408163265306,0.02702702702702703,,,0.01639344262295082,,,0.012345679012345678,,,,,0.0625,,,,,,,,,,,,-0.009615384615384616,,,,,0.010416666666666666,0.002506265664160401,,0.0017194620073669995
116,2026-04-30,002430 CH Equity,CNE100000Q68,29482401W,,,0.0036363636363636364,,,,,,,,,0.013333333333333334,,,,,,,,,,,,,,,,,,,0.003194888178913738,,0.007936507936507936,,,-0.005376344086021506,0.002506265664160401,,0.000663973981039863
117,2026-04-30,002444 CH Equity,CNE100000RC5,29502601W,0.014285714285714285,,0.0036363636363636364,,,0.010752688172043012,,,,,,,,,,,,,,,0.01818181818181818,,,,,,,,,,,,,,0.00641025641025641,,0.002506265664160401,,0.001467713128173671
118,2026-04-30,002456 CH Equity,CNE100000S33,29502901W,,,0.0036363636363636364,,-0.011494252873563218,0.010752688172043012,-0.01020408163265306,,,,,-0.007352941176470588,,,-0.014705882352941176,,,,,,,,,,,,,,,,0.003194888178913738,,,,,-0.005376344086021506,-0.00980392156862745,,-0.0010882494251847968
119,2026-04-30,002459 CH Equity,CNE100000SD1,33550301W,,,0.0036363636363636364,,0.01282051282051282,0.010752688172043012,-0.01020408163265306,,,,,0.013333333333333334,,,-0.014705882352941176,,,,,,0.01818181818181818,0.02857142857142857,,,,,,,,,,,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,0.0017349039441286037
120,2026-04-30,002460 CH Equity,CNE100000SF6,29513601W,-0.007407407407407408,-0.022727272727272728,0.0036363636363636364,0.0136986301369863,,,0.010101010101010102,,,-0.021739130434782608,,-0.007352941176470588,,,,,,,,,,,,,,-0.019230769230769232,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,-0.023809523809523808,,,-0.005376344086021506,0.002506265664160401,-0.014492753623188406,-0.0028435132248288758
121,2026-04-30,002463 CH Equity,CNE100000SP5,29513901W,,,-0.014285714285714285,,0.01282051282051282,0.010752688172043012,0.010101010101010102,,,,-0.016666666666666666,,,,,,,,,,,,,,,,,,,,-0.009615384615384616,,,,0.00641025641025641,,0.002506265664160401,,5.323598233989671e-05
122,2026-04-30,002465 CH Equity,CNE100000T24,29523901W,,,0.0036363636363636364,,,-0.010638297872340425,-0.01020408163265306,,,,,0.013333333333333334,,,0.014492753623188406,,,,,,-0.01818181818181818,-0.02857142857142857,,,,,,,,0.009009009009009009,-0.009615384615384616,,,,-0.012987012987012988,0.010416666666666666,0.002506265664160401,,-0.0009685164997938085
123,2026-04-30,002466 CH Equity,CNE100000T32,29524001W,,,0.0036363636363636364,0.0136986301369863,0.01282051282051282,0.010752688172043012,0.010101010101010102,-0.027777777777777776,,,,-0.007352941176470588,,,,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,0.007936507936507936,,,-0.005376344086021506,0.002506265664160401,-0.014492753623188406,-0.00024756528978736006
124,2026-04-30,002472 CH Equity,CNE100000TF4,29531901W,0.014285714285714285,,-0.014285714285714285,-0.0136986301369863,0.01282051282051282,,,0.02702702702702703,,,0.01639344262295082,,,-0.025,,,,,,,,,,,,,,,,,,,,,,,0.002506265664160401,,0.0005275951397088309
125,2026-04-30,002475 CH Equity,CNE100000TP3,29532601W,,,0.0036363636363636364,,,,,,,,,-0.007352941176470588,,,,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,0.017543859649122806,,0.015151515151515152,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,0.00043840339308022643
126,2026-04-30,002493 CH Equity,CNE100000W60,29566201W,-0.007407407407407408,0.022222222222222223,0.0036363636363636364,0.0136986301369863,,-0.010638297872340425,-0.01020408163265306,,,0.020833333333333332,,,,,,,,,,,,,,,,-0.019230769230769232,0.009615384615384616,,,,0.003194888178913738,,0.007936507936507936,,,,0.002506265664160401,-0.014492753623188406,0.0005702706066132061
127,2026-04-30,002517 CH Equity,CNE100000XB5,29586901W,,,0.0036363636363636364,-0.0136986301369863,,,,-0.027777777777777776,,,,-0.007352941176470588,0.01,,,,,,,,,,,,,,0.009615384615384616,0.07692307692307693,,,,,,,,,0.002506265664160401,,0.0014171509085702512
128,2026-04-30,002555 CH Equity,CNE1000010N2,29684401W,,,0.0036363636363636364,,0.01282051282051282,,,,,,,,0.01,,,0.058823529411764705,,,-0.06666666666666667,-0.1,,,,-0.1,0.07142857142857142,-0.019230769230769232,,-0.14285714285714285,0.125,,,,,,0.00641025641025641,,0.002506265664160401,-0.014492753623188406,-0.004016363487840919
129,2026-04-30,002558 CH Equity,CNE1000010R3,29685501W,,,0.0036363636363636364,,,,,,,,,-0.007352941176470588,,,-0.014705882352941176,-0.058823529411764705,,,,,,,,-0.1,,0.009615384615384616,,0.07692307692307693,-0.14285714285714285,,,,,,,,0.002506265664160401,0.014084507042253521,-0.005709838653121395
130,2026-04-30,002594 CH Equity,CNE100001526,25375902W,-0.007407407407407408,,0.0036363636363636364,,,-0.010638297872340425,-0.01020408163265306,-0.027777777777777776,,,,,,,0.014492753623188406,-0.058823529411764705,,,0.0625,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,,,,-0.005376344086021506,-0.00980392156862745,,-0.0017174178374322782
131,2026-04-30,002595 CH Equity,CNE1000014X3,29816201W,0.014285714285714285,0.022222222222222223,0.0036363636363636364,,,,,,,-0.021739130434782608,,,,,,,,-0.02564102564102564,,,-0.01818181818181818,,,,,,0.009615384615384616,,,,0.003194888178913738,,,-0.015151515151515152,,,0.002506265664160401,,-0.0006645433531510079
132,2026-04-30,002600 CH Equity,CNE1000015L5,29835401W,,,-0.014285714285714285,,0.01282051282051282,-0.010638297872340425,0.010101010101010102,,,,0.01639344262295082,0.013333333333333334,,,,,,,,,,,,,,,,,,,0.003194888178913738,0.017543859649122806,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,0.0013685054095265773
133,2026-04-30,002601 CH Equity,CNE1000015M3,29835301W,,,0.0036363636363636364,,,,-0.01020408163265306,,,0.020833333333333332,,0.013333333333333334,,,,,,,,,,,,,,0.009615384615384616,,,,,0.003194888178913738,,0.007936507936507936,,,-0.005376344086021506,0.002506265664160401,-0.014492753623188406,0.000815339294763255
134,2026-04-30,002602 CH Equity,CNE1000015R2,29838701W,,0.022222222222222223,0.0036363636363636364,-0.0136986301369863,0.01282051282051282,,,0.02702702702702703,0.023255813953488372,,,-0.007352941176470588,0.01,,,,,,-0.06666666666666667,0.09090909090909091,,,,-0.1,,0.009615384615384616,,-0.14285714285714285,-0.14285714285714285,,,,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,0.014084507042253521,-0.006745299713270769
135,2026-04-30,002603 CH Equity,CNE1000015S0,29838801W,0.014285714285714285,,,,,,0.010101010101010102,,,,,,0.01,0.012345679012345678,,,,,,,,,,,,0.009615384615384616,,,,,0.003194888178913738,,,,0.00641025641025641,,0.002506265664160401,0.014084507042253521,0.0021722024800017166
136,2026-04-30,002625 CH Equity,CNE1000018P0,30758701W,,,,,,,,,,,,-0.007352941176470588,-0.02040816326530612,,0.014492753623188406,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,0.003194888178913738,,,,-0.012987012987012988,,0.002506265664160401,,-5.0784633666447066e-05
137,2026-04-30,002648 CH Equity,CNE100001B07,31141001W,,0.022222222222222223,0.0036363636363636364,,0.01282051282051282,,-0.01020408163265306,,,,,,,,,,,,,,,,,,,0.009615384615384616,-0.009708737864077669,,,-0.009345794392523364,,,,,,0.010416666666666666,-0.00980392156862745,0.014084507042253521,0.0008877136058304684
138,2026-04-30,002653 CH Equity,CNE100001BC7,31142801W,-0.007407407407407408,,,-0.0136986301369863,,,,,-0.024390243902439025,,,,,,,,,,,,,,,,,0.009615384615384616,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,,,,,-0.00980392156862745,-0.014492753623188406,-0.0020009791027254197
139,2026-04-30,002673 CH Equity,CNE100001D96,31254501W,,,,-0.0136986301369863,,,,,,,,,,,,,-0.017857142857142856,0.01282051282051282,,,,,,,,,,,,,,,0.007936507936507936,,,-0.005376344086021506,0.002506265664160401,,-0.00035970602173253857
