date,mp_return,bm_return,combined,bm_cum,mp_cum,combined_cum,rolling_corr_24m
2018-06-30,-0.0028757303142198,-0.002340990550248,-0.0052167208644678005,0.997659009449752,0.9971242696857802,0.9947832791355322,
2018-07-31,-0.0012749988942232,0.0306671423463465,0.0293921434521233,1.0282543603056626,0.9958529373445276,1.0240220919796574,
2018-08-31,0.0020081166905689,0.0099189108830758,0.0119270275736447,1.0384535236706685,0.9978527262493613,1.03623563170672,
2018-09-30,0.0002031228379097,0.0046892339389717,0.0048923567768814,1.0433230751779097,0.9980554129269331,1.0413052661219464,
2018-10-31,0.000194979880423,-0.0751019706496385,-0.0749069907692155,0.9649674562078077,0.9982500136520012,0.9633042221646143,
2018-11-30,0.0017261379355191,0.0095980062999919,0.011324144235511,0.9742292199317774,0.9999731308696984,0.9742128181190831,
2018-12-31,0.0005350249770252,-0.0773294283782565,-0.0767944034012313,0.8988926312450582,1.000508141471068,0.8993987259657958,
2019-01-31,-0.0038257132641415,0.0762662182290383,0.0724405049648968,0.9674477728240684,0.9966804842033605,0.964551623839543,
2019-02-28,0.0011019212900445,0.0284794297212181,0.0295813510112626,0.9950001336791604,0.9977787476482761,0.9930843639928237,
2019-03-31,0.0005213840819523,0.0105141993199462,0.0110355834018985,1.0054617634080363,0.9982989736046102,1.0040436293167878,
2019-04-30,0.0027666280789426,0.0319881326399682,0.0347547607189108,1.0376246076603488,1.0010608955761644,1.0389389254050394,
2019-05-31,0.0014979833835736,-0.0610536586474168,-0.0595556752638432,0.9742738290600941,1.0025604681636828,0.9770642161446507,
2019-06-30,0.0004883297378501,0.0635468876408508,0.0640352173787009,1.0361858986067973,1.0030500482542801,1.0396307356184233,
2019-07-31,0.0015234542103729,0.0042271947743035,0.0057506489846764,1.040566058222595,1.0045781490735077,1.0456092870526457,
2019-08-31,0.0008072697909067,-0.022469129581384,-0.0216618597904773,1.0171854446224016,1.0053891146658598,1.0229594452808903,
2019-09-30,1.5457813243851558e-05,0.0195600441080029,0.01957550192124675,1.0370816367852342,1.0054046557830316,1.0429843898673439,
2019-10-31,-0.002477499542774,0.0242120140316795,0.0217345144889055,1.0621914719270755,1.0029137662080263,1.0656531492006178,
2019-11-30,0.0013643976369201,0.0262979700574468,0.0276623676943669,1.0901249514510891,1.0042821393806753,1.0951316384484653,
2019-12-31,-0.00066287978031,0.0289442738484305,0.0282813940681205,1.1216778265748963,1.0036164210567535,1.126103487871893,
2020-01-31,-0.0003407039378788,-0.0065797454348625,-0.0069204493727413,1.1142974720161036,1.0032744849899797,1.118310345695608,
2020-02-29,-0.0001978083971844,-0.0862785676719725,-0.08647637606915691,1.0181574821700543,1.0030760288721678,1.0216029196792058,
2020-03-31,0.0090058650437835,-0.1341432666528406,-0.1251374016090571,0.8815785115447319,1.0121095962168447,0.8937621848343238,
2020-04-30,0.0031549591132079,0.105888813001766,0.1090437721149739,0.9749278137000673,1.0153027606109941,0.991221384842379,
2020-05-31,0.0035359326779555,0.0463613925563434,0.049897325234298906,1.0201268247851136,1.018892802820257,1.0406806806610513,-0.33603943127581026
2020-06-30,-0.0009207535031838,0.0256776922846444,0.0247569387814606,1.0463213274832572,1.0179546537026916,1.0664447485632258,-0.3672718290320186
2020-07-31,0.006881461032094,0.0460994691414083,0.0529809301735023,1.094556185231569,1.0249596689845852,1.1229459833207522,-0.23974894585142353
2020-08-31,-0.003590846578998,0.0650727989678174,0.0614819523888194,1.165782019832124,1.021279196063601,1.1919868948024948,-0.29669900931620397
2020-09-30,0.0021435608230378,-0.0360946255401716,-0.0339510647171338,1.1237035543648186,1.0234683701376663,1.1515176705950798,-0.3055711804623746
2020-10-31,-0.0007117149746644,-0.0315802528495144,-0.0322919678241788,1.0882167119900796,1.022739952372544,1.1143328990272503,-0.31506500785570785
2020-11-30,-0.0082776481250177,0.1258442419707587,0.11756659384574099,1.2251625192103826,1.0142740709234066,1.2453412223761342,-0.4628412728718237
2020-12-31,-0.0008410184856477,0.0414026305486682,0.040561612063020495,1.2758874703553256,1.013421047680247,1.2958542699242428,-0.49214235291247577
2021-01-31,-0.0002448483251946,-0.0106082977834779,-0.010853146108672499,1.2623524761315879,1.0131729132340055,1.2817901741972078,-0.4528405967357258
2021-02-28,-0.0012274124537979,0.0236851213644421,0.022457708910644202,1.2922514477334683,1.0119293321824514,1.3105762448138525,-0.456729464782483
2021-03-31,0.0023210766435464,0.0318857837067561,0.0342068603503025,1.3334558978906401,1.0142780977202996,1.3554069433986238,-0.44588870138829945
