factor,weight
3YAvgAnnSalesGrw,0.046829494750350344
50DVolSig,0.01850390960315775
6MChgTgtPrcGapEMA,0.06646226228886938
AdjAccruals,0.02985460630875312
AdjIntCov,0.0505412696299291
AssetTurn,0.018696365547151355
Beta60M,0.052509031260691966
CapExToSales,0.02741632003252387
DIVIDENDGROWTH,0.07114618890753241
DepToCapex,0.013774556795399098
DivperShareGrowth,0.05479645259572882
EPSNumRevFY1C,0.033338296568554235
ETO,0.025449148860262866
IntCovRatio,0.04909078689969615
InvToAstChg1Y,0.031070799948326126
LTDE,0.04644673608011754
OCFEV,0.047958928243052555
ROAStddev20Q,0.01906453784347864
ROEStddev20Q,0.021342286462426707
RecTurn,0.03963430900773791
Rev3MFY1C,0.035772092007408156
Rev3MFY2C,0.015515282475584776
RevMagFY1C,0.032944891018836825
STO_6M,0.02400045799463177
SalesToEPSChg,0.02543181322216573
SalesToInvCap,0.02441278429344026
ShareChg,0.06439825033436831
UnexpectedRecChg,0.01359814101982426
