factor,style,raw_weight,prev_weight,new_weight,weight_within_style
Rev3MFY1C,Analyst Expectations,0.046089157462120056,0.0394736785245575,0.046089156603642614,0.2105355731193347
EPSNumRevFY1C,Analyst Expectations,0.044653914868831635,0.0394736785245575,0.04465391403708767,0.20397937555396142
RevMagFY1C,Analyst Expectations,0.04404110088944435,0.0394736785245575,0.044041100069114936,0.20118003728287498
6MChgTgtPrcGapEMA,Analyst Expectations,0.043895620852708817,0.0394736785245575,0.04389562003508918,0.20051548352233572
Rev3MFY2C,Analyst Expectations,0.04023407772183418,0.0394736785245575,0.0402340769724161,0.18378953052149313
EPSEstDispFY1C,Analyst Expectations,0.0,0.0394736785245575,0.0,0.0
ShareChg,Capital Efficiency,0.06558609008789062,0.0394736785245575,0.06558608886625453,0.3431603884603778
AdjIntCov,Capital Efficiency,0.06361452490091324,0.0394736785245575,0.0636145237160004,0.3328447396005133
IntCovRatio,Capital Efficiency,0.061923105269670486,0.0394736785245575,0.06192310411626279,0.323994871939109
SalesToInvCap,Earnings Quality,0.02805434912443161,0.0250000108033407,0.028054348601878647,0.11221728195423165
ETO,Earnings Quality,0.02597852796316147,0.0250000108033407,0.025978527479273684,0.10391400578455036
UnexpectedRecChg,Earnings Quality,0.025670399889349937,0.0250000108033407,0.025670399411201486,0.10268149474736465
AdjAccruals,Earnings Quality,0.024209365248680115,0.0250000108033407,0.024209364797745554,0.09683736214996416
InvToAstChg1Y,Earnings Quality,0.023561522364616394,0.0250000108033407,0.023561521925748848,0.09424599325879605
DepToCapex,Earnings Quality,0.023525187745690346,0.0250000108033407,0.023525187307499584,0.09410065493144298
AssetTurn,Earnings Quality,0.020346755161881447,0.0250000108033407,0.020346754782893606,0.08138693757347429
ROEStddev20Q,Earnings Quality,0.017807886004447937,0.0,0.01780788567275022,0.07123147130972468
ROAStddev20Q,Earnings Quality,0.017360225319862366,0.0,0.017360224996502978,0.06944083039914248
CapExToSales,Earnings Quality,0.0158860981464386,0.0250000108033407,0.01588609785053697,0.06354432772418188
SalesToEPSChg,Earnings Quality,0.013897337019443512,0.0250000108033407,0.013897336760585443,0.055589291336142176
InvToAsset,Earnings Quality,0.013702601194381714,0.0250000108033407,0.013702600939150883,0.05481034883098461
DIVIDENDGROWTH,Historical Growth,0.04966185986995697,0.0394736785245575,0.04966185894493276,0.36670905555432837
DivperShareGrowth,Historical Growth,0.04323968663811684,0.0394736785245575,0.043239685832714925,0.31928696772633935
3YAvgAnnSalesGrw,Historical Growth,0.04252423346042633,0.0394736785245575,0.04252423266835077,0.3140039767193323
STO_6M,Price Momentum,0.03802371770143509,0.0394736785245575,0.03802371699318817,0.5811416052812763
50DVolSig,Price Momentum,0.0274056326597929,0.0394736785245575,0.027405632149323223,0.4188583947187237
STO,Price Momentum,0.0,0.0394736785245575,0.0,0.0
OCFEV,Valuation,0.043460678309202194,0.0394736785245575,0.04346067749968399,1.0
InvPEGYC,Valuation,0.0,0.0394736785245575,0.0,0.0
Beta60M,Volatility,0.06644238531589508,0.0394736785245575,0.06644238407830924,0.6946671405410931
90DCV,Volatility,0.029203977435827255,0.0394736785245575,0.029203976891860797,0.3053328594589068
