factor,weight
3YAvgAnnSalesGrw,0.0366743078801155
50DVolSig,0.018188960020920786
6MChgTgtPrcGapEMA,0.06737520183426078
AdjAccruals,0.016455589797153117
AdjIntCov,0.043341728526954955
AssetTurn,0.01908450495838635
Beta60M,0.03989114838965242
CapExToAst,0.03900567663772617
CapExToSales,0.013846483868207334
DIVIDENDGROWTH,0.06551430001517042
DepToCapex,0.025694505839948412
DivperShareGrowth,0.0686320403465577
EPSNumRevFY1C,0.03249029627247534
ETO,0.026383816832129686
IntCovRatio,0.042546744081518977
InvToAstChg1Y,0.034585749832662514
LTDE,0.03761903037760487
OCFEV,0.05159864867806209
ROAStddev20Q,0.02153093117604666
ROEStddev20Q,0.02377837100111007
RecTurn,0.03262948057651363
Rev3MFY1C,0.03401820182344906
Rev3MFY2C,0.029969299052029146
RevMagFY1C,0.03164804161575673
STO_6M,0.023723964995855343
SalesToEPSChg,0.02778563433785336
SalesToInvCap,0.026887045838041045
ShareChg,0.05499513387186748
UnexpectedRecChg,0.01410516152197016
