date,cew_return,gross_stock,cost_stock,net_stock,cost_factor_level,cost_factor_at_base,turnover_oneway
2018-06-30,-0.007361785965802647,-0.007237250715194253,0.0,-0.007237250715194253,0.00041217618250030604,0.0006869603041671767,0.0
2018-07-31,-0.005313967822784951,-0.004897370705915932,0.0004199376346420727,-0.005317308340558005,0.0005061344422331734,0.0008435574037219556,0.10498440866051817
2018-08-31,0.00018923018300276846,0.0008973999979355581,0.0005017914274728386,0.00039560857046271947,0.0006749353847058282,0.001124892307843047,0.12544785686820964
2018-09-30,-0.0008106024770450738,-9.987290648997638e-06,0.001621061206280348,-0.0016310484969293457,0.000376418531504935,0.0006273642191748917,0.405265301570087
2018-10-31,-0.00023951901793737497,-0.0005478308406401554,0.0003495386400099758,-0.0008973694806501311,0.000488762961923781,0.000814604936539635,0.08738466000249394
2018-11-30,0.0006835989266132561,0.0017160471474914512,0.0005106129360809485,0.0012054342114105028,0.0007029003012970692,0.001171500502161782,0.12765323402023712
2018-12-31,0.004687261476718471,0.005025880666433206,0.001387014750550263,0.003638865915882943,0.0003112632894634282,0.0005187721491057137,0.34675368763756576
2019-01-31,-0.005337170498447812,-0.0062403996467002495,0.00032814381496755354,-0.006568543461667803,0.0002843044756098538,0.00047384079268308964,0.08203595374188838
2019-02-28,0.004497754975509529,0.00516036285814124,0.0003528960831247701,0.00480746677501647,0.0006432808500943767,0.0010721347501572945,0.08822402078119253
2019-03-31,-0.0016918840365536762,-0.0020945554672911464,0.0013476987703376654,-0.003442254237628812,0.0006027465719646892,0.0010045776199411488,0.3369246925844164
2019-04-30,0.0020964851861743888,0.0032443169868430996,0.0006103098679039614,0.002634007118939138,0.0005332734373481231,0.0008887890622468719,0.15257746697599037
2019-05-31,-0.003170341543957876,-0.002616897812119485,0.0005165151482282101,-0.003133412960347695,0.000697141931252223,0.001161903218753705,0.12912878705705252
2019-06-30,-0.0014412226550542394,-0.0013512211620052255,0.001518586093630612,-0.0028698072556358374,0.0003629231922172399,0.0006048719870287333,0.37964652340765304
2019-07-31,0.004792555332873358,0.004773804735474535,0.00039009044672968585,0.00438371428874485,0.0005433772545224976,0.0009056287575374961,0.09752261168242146
2019-08-31,0.003436562086419921,0.0033127013714983576,0.00052981016038682,0.0027828912111115376,0.0007271301445681714,0.0012118835742802858,0.13245254009670498
2019-09-30,0.00046824457809014914,0.0020255559127617994,0.0010404555140924813,0.000985100398669318,0.0006257825521565998,0.0010429709202609998,0.2601138785231203
2019-10-31,-0.007122281641900326,-0.005798997373127991,0.0007772820656916426,-0.006576279438819634,0.0008090748036093771,0.0013484580060156286,0.19432051642291065
2019-11-30,0.0034480140693204913,0.0032742674203766952,0.0008796493930554068,0.0023946180273212883,0.0008514621419474121,0.0014191035699123535,0.2199123482638517
2019-12-31,-0.0023099880308681663,-0.0016913014835372333,0.001423473190025712,-0.0031147746735629453,0.0004408683754368056,0.0007347806257280093,0.35586829750642796
2020-01-31,0.0020060759168257832,0.0023826989486262547,0.0005655812946587433,0.0018171176539675115,0.0005865326216901611,0.000977554369483602,0.14139532366468582
2020-02-29,-0.0017918678405981475,-0.0022379550421820753,0.0007466309455411013,-0.002984585987723177,0.0007840846054944445,0.0013068076758240743,0.18665773638527533
2020-03-31,0.02438320708188404,0.02555818174407165,0.0014721060025520347,0.024086075741519615,0.0010607288407151623,0.0017678814011919373,0.3680265006380087
2020-04-30,0.006991171694553369,0.006208594359726161,0.0009899807808781988,0.005218613578847962,0.0010211791811270765,0.001701965301878461,0.2474951952195497
2020-05-31,0.013972601494187322,0.01517389804507285,0.0011423549814313994,0.01403154306364145,0.0012050018728402077,0.0020083364547336794,0.28558874535784984
2020-06-30,-0.003281663465398127,-0.001961565381294265,0.0015298849145911105,-0.0034914502958853753,0.0007051371900367563,0.0011752286500612606,0.3824712286477776
2020-07-31,0.017236763514299924,0.016457374001665186,0.0007478058461671642,0.01570956815549802,0.000912886497238895,0.0015214774953981585,0.18695146154179104
2020-08-31,-0.008501945366313995,-0.005740264544210389,0.0009174253562344259,-0.006657689900444815,0.0010036041557985138,0.001672673592997523,0.22935633905860647
2020-09-30,0.007893534206743677,0.007533178795771351,0.0013743262356444483,0.006158852560126903,0.000614039939162739,0.001023399898604565,0.3435815589111121
2020-10-31,-0.0021733524225601417,-0.0013440201362817737,0.0006507401779478652,-0.0019947603142296388,0.000590318899075896,0.00098386483179316,0.1626850444869663
2020-11-30,-0.032896980400129214,-0.030375354437403294,0.0006205552560122974,-0.03099590969341559,0.0011188251517279199,0.0018647085862131998,0.15513881400307433
2020-12-31,0.0011461884356653825,0.002062505746743628,0.0028389321459646143,-0.0007764263992209863,0.0008837199792351318,0.001472866632058553,0.7097330364911536
2021-01-31,-0.001213050492441849,-0.0007230568540291886,0.0010544183374739577,-0.0017774751915031464,0.000851075116222491,0.001418458527037485,0.26360458436848944
2021-02-28,-0.00392623560742922,0.000529977208938387,0.0009818455333679141,-0.0004518683244295271,0.0011296051737448144,0.0018826752895746907,0.2454613833419785
2021-03-31,0.003452558905104567,0.004748204137396806,0.0018948918627605376,0.002853312274636269,0.0007806476045133863,0.0013010793408556437,0.4737229656901344
2021-04-30,0.00492671428572102,0.006025597656041345,0.0008826776227738624,0.005142920033267483,0.0007818633750238693,0.0013031056250397822,0.2206694056934656
2021-05-31,0.0005887864487399816,0.0028411942669854693,0.0008973335003587255,0.0019438607666267438,0.0007882893574660149,0.0013138155957766915,0.22433337508968137
2021-06-30,0.0047080881376792266,0.005172041540685471,0.002289174591066739,0.0028828669496187317,0.0006306969052948117,0.0010511615088246863,0.5722936477666848
2021-07-31,0.007401426820338813,0.008082031842019088,0.0007480709176433864,0.0073339609243757015,0.0006728891752290412,0.0011214819587150688,0.1870177294108466
2021-08-31,0.0036884370851868924,0.00469333689883677,0.0007865738065880616,0.003906763092248708,0.0009463277812641958,0.0015772129687736597,0.19664345164701538
2021-09-30,-0.013028434671450668,-0.010468823554083139,0.0019211181688868091,-0.012389941722969948,0.0003993485732790025,0.0006655809554650042,0.48027954222170227
2021-10-31,0.014025610880098932,0.01593036757196601,0.00043796591022896686,0.015492401661737043,0.000432653628338228,0.0007210893805637133,0.10949147755724171
2021-11-30,0.00790500189633681,0.007857244868465547,0.0004452803167952644,0.007411964551670282,0.0006408129117713936,0.0010680215196189893,0.11132007919881609
