factor,styleName,weight,cluster_id,avg_corr_in_cluster
60MAVGTTMEP,Valuation,0.02312740918283044,1,0.562
EBITDAP,Valuation,0.02229168685298688,1,0.698
InvPEGYC,Valuation,0.01886439362955173,1,0.631
OEP,Valuation,0.017048204674929943,1,0.717
EP,Valuation,0.01701136714104168,1,0.736
LogAssets,Size,0.016703559435745783,1,0.569
PTIP,Valuation,0.015158480350920751,1,0.738
FCFEV,Valuation,0.009805937503123278,1,0.598
CFEV,Valuation,0.0060325648037090045,1,0.526
OCFEV,Valuation,0.004578645902704012,1,0.705
PAdjChg1YSales,Historical Growth,0.004028866617613936,1,0.513
CurLiaP,Valuation,0.004021024415710056,1,0.666
AdjAstAdjChg1YFCF,Historical Growth,0.036838696178859716,2,0.609
AstAdjChg1YOCF,Historical Growth,0.036579855552918046,2,0.665
Chg1YFCF,Historical Growth,0.026252762033312716,2,0.548
AstAdjChg1YEPS,Historical Growth,0.018024573480293998,2,0.609
AdjRevMagC,Analyst Expectations,0.019005190979332474,3,0.776
RevMagFY1C,Analyst Expectations,0.017907901110991626,3,0.822
Rev3MFY2C,Analyst Expectations,0.016269484875782773,3,0.766
Rev3MFY1C,Analyst Expectations,0.016249109400068375,3,0.787
Chg1YOPM,Historical Growth,0.013243660608290101,3,0.618
EbitdaToAst,Capital Efficiency,0.027150944444254272,4,0.84
ROA,Capital Efficiency,0.024833702071344756,4,0.896
OEA,Earnings Quality,0.022859309347657914,4,0.88
ETO,Earnings Quality,0.03720586452366035,5,0.644
SalesToInvCap,Earnings Quality,0.024075856936822442,5,0.644
EPSSurpC,Analyst Expectations,0.02786200179429263,6,0.647
PAdjChg1YCF,Historical Growth,0.016818397099537714,6,0.799
PAdjChg1YEPS,Historical Growth,0.016332822262764442,6,0.773
CapExToSales,Earnings Quality,0.03007241960301012,7,0.677
CapExToAst,Capital Efficiency,0.02796076483010986,7,0.677
AdjInvPEGC,Analyst Expectations,0.02881531291487118,8,0.679
InvPEGC,Analyst Expectations,0.02385400285638409,8,0.679
DA,Capital Efficiency,0.051501915938028234,9,
WCapToSales,Earnings Quality,0.024072582406581475,10,0.728
BookLev,Volatility,0.022680735690814028,10,0.728
ShortIntTrdVol,Price Momentum,0.027939713214192117,11,
PAdjChg3YOCF,Historical Growth,0.022253167350493618,12,0.666
PAdjChg3YFCF,Historical Growth,0.005285278539097651,12,0.666
GPMargin,Earnings Quality,0.02544589580272572,13,
TotalAccruals,Earnings Quality,0.024039248508292334,14,
ROAStddev20Q,Earnings Quality,0.024013085793978005,15,
DivperShareGrowth,Historical Growth,0.021122161741600035,16,
CQPTTMCFtoSales,Historical Growth,0.017090574265027345,17,0.6
ConsQPosChginTTMCF,Historical Growth,0.003398271348756836,17,0.6
UnexpectedInvChg,Earnings Quality,0.014452573214827942,18,
RecTurn,Capital Efficiency,0.013230373428839634,19,
AccrualRatioCF,Earnings Quality,0.013196172469215357,20,
ChgATO,Historical Growth,0.012778695009202359,21,
WCAccruals,Earnings Quality,0.010614781862900212,22,
