factor,styleName,weight,cluster_id,avg_corr_in_cluster
FCFEV,Valuation,0.057338897364648526,1,0.58
EPSSurpC,Analyst Expectations,0.04893301709938907,1,0.587
InvPEGC,Analyst Expectations,0.036857777552963725,1,0.697
AdjInvPEGC,Analyst Expectations,0.03114026270472702,1,0.531
PAdjChg3YSales,Historical Growth,0.02155108852122815,1,0.531
PAdjChg1YOCF,Historical Growth,0.021183467512133958,1,0.666
PAdjChg3YFCF,Historical Growth,0.018333951603160748,1,0.674
PAdjChg1YEPS,Historical Growth,0.012328412171648118,1,0.666
PAdjChg1YSales,Historical Growth,0.012185742847342543,1,0.628
PAdjChg3YOCF,Historical Growth,0.0032325237660438674,1,0.568
AdjRevMagC,Analyst Expectations,0.029432190797177543,2,0.739
Rev3MFY1C,Analyst Expectations,0.029170595289462316,2,0.672
RevMagFY1C,Analyst Expectations,0.028144268361608105,2,0.762
Rev3MFY2C,Analyst Expectations,0.027404781374556316,2,0.761
AdjRev3MFY1C,Analyst Expectations,0.020609782042592922,2,0.706
Chg3YAstTo,Historical Growth,0.013256264762569275,2,0.581
PAdjChg1YFCF,Historical Growth,0.025746516604965332,3,0.713
Chg1YFCF,Historical Growth,0.017953450401135253,3,0.69
AstAdjChg1YFCF,Historical Growth,0.01676576250240054,3,0.776
AstAdjChg1YOCF,Historical Growth,0.015196133576747218,3,0.767
ROA,Capital Efficiency,0.04532699893764788,4,0.519
OPM,Earnings Quality,0.013367353865464329,4,0.588
OCFRatio,Capital Efficiency,0.00889755159525484,4,0.54
ShortIntTrdVol,Price Momentum,0.04302874783555279,5,
UnexpectedRecChg,Earnings Quality,0.0422981587055701,6,
BookLev,Volatility,0.0335700147093177,7,0.515
TotalAccruals,Earnings Quality,0.003888905569007784,7,0.515
CashRatio,Earnings Quality,0.020029884650647565,8,0.788
CACL,Earnings Quality,0.014180060511812288,8,0.788
AdjAccruals,Earnings Quality,0.033323493590813325,9,
ETO,Earnings Quality,0.011520361207473953,10,0.648
SalesToInvCap,Earnings Quality,0.011229155225857221,10,0.723
AssetTurn,Earnings Quality,0.00959690695587115,10,0.667
IntCovRatio,Capital Efficiency,0.012025423095239858,11,0.696
AdjIntCov,Capital Efficiency,0.010133920662804595,11,0.699
CFROIC,Capital Efficiency,0.006311163219837205,11,0.719
FCFSales,Earnings Quality,0.002249695661844454,11,0.649
OCFIC,Earnings Quality,0.0015491174745239662,11,0.631
CashAdjEV,Valuation,0.028289260404725732,12,
GPMargin,Earnings Quality,0.027198273604504608,13,
CQDOHtoSales,Historical Growth,0.013824551354422475,14,0.682
ConsQPosChgTTMEPS,Historical Growth,0.010605748300046026,14,0.682
Chg1YOPM,Historical Growth,0.01525464671929876,15,0.6
SGAToSalesChg1Y,Earnings Quality,0.008569136477833026,15,0.6
WCAccruals,Earnings Quality,0.021600104034892244,16,
Chg3YFCF,Historical Growth,0.019333823378418675,17,
WCapToAst,Earnings Quality,0.01745459857312827,18,
CQPTTMCFtoSales,Historical Growth,0.01224534936274306,19,0.612
ConsQPosChginTTMCF,Historical Growth,0.0026952420710036978,19,0.612
UnexpectedInvChg,Earnings Quality,0.013637465387941944,20,
