factor,style,raw_weight,prev_weight,new_weight,weight_within_style
EPSSurpC,Analyst Expectations,0.05922015756368637,0.0326496233747306,0.05922016129341294,0.3466889758819273
InvPEGC,Analyst Expectations,0.02901378646492958,0.0291349369602986,0.02901378829223796,0.16985365000364946
AdjInvPEGC,Analyst Expectations,0.021511776372790337,0.0191952557447068,0.02151177772761692,0.12593508742463871
Rev3MFY1C,Analyst Expectations,0.02002815715968609,0.0203048147752675,0.02002815842107331,0.11724962546792715
AdjRevMagC,Analyst Expectations,0.01913917437195778,0.0197633270950727,0.019139175577356247,0.11204530746315412
RevMagFY1C,Analyst Expectations,0.018880726769566536,0.019779012429049,0.018880727958687796,0.11053229334299072
AdjRev3MFY1C,Analyst Expectations,0.0030226062517613173,0.0159186023293053,0.003022606442127154,0.01769506041571247
6MChgTgtPrcGapEMA,Analyst Expectations,0.0,0.0146678268641864,0.0,0.0
RecTurn,Capital Efficiency,0.1388835906982422,0.0,0.138883599445227,0.7142380730794278
OCFRatio,Capital Efficiency,0.020588235929608345,0.02422391123264,0.020588237226269714,0.10587933307699411
EbitdaToAst,Capital Efficiency,0.01774831861257553,0.0,0.017748319730376938,0.09127446102533791
IntCovRatio,Capital Efficiency,0.005003517027944326,0.0046184642604149,0.005003517343069297,0.025731638580858585
AdjIntCov,Capital Efficiency,0.004507206380367279,0.0219448737428659,0.004507206664234261,0.023179256699082253
CapAcqRatio,Capital Efficiency,0.0044748601503670216,0.0196524997145252,0.0044748604321968154,0.023012909408731987
CFROIC,Capital Efficiency,0.0032442675437778234,0.0159387095826332,0.003244267748104042,0.01668432812956735
OCFEqt,Capital Efficiency,0.0,0.0147877076310054,0.0,0.0
WCTurn,Capital Efficiency,0.0,0.0068185763570949,0.0,0.0
UnexpectedRecChg,Earnings Quality,0.0783541277050972,0.0,0.07835413263989446,0.32119413273587294
WCAccruals,Earnings Quality,0.041310470551252365,0.0381069200550755,0.041310473153014435,0.16934246031759667
WCapToAst,Earnings Quality,0.04004836827516556,0.0234594966047801,0.04004837079743955,0.16416877186154738
ETO,Earnings Quality,0.02498484216630459,0.0199741673390004,0.024984843739867264,0.10241942506657271
SGAToSalesChg1Y,Earnings Quality,0.018527090549468994,0.0,0.018527091716317997,0.07594740641555968
TotalAccruals,Earnings Quality,0.012107894755899906,0.0490660976877114,0.01210789551846351,0.0496334382027139
UnexpectedInvChg,Earnings Quality,0.0069392379373312,0.0262322654182808,0.006939238374369215,0.028445757440089134
AssetTurn,Earnings Quality,0.005038240924477577,0.022138527360906,0.005038241241789482,0.02065307178637234
SalesToInvCap,Earnings Quality,0.004846376832574606,0.0195261024839945,0.004846377137802778,0.01986657052081206
CashBurn,Earnings Quality,0.004714053589850664,0.0033093218812936,0.0047140538867450265,0.01932414282194879
FCFSales,Earnings Quality,0.004074552096426487,0.0154333097189832,0.004074552353044602,0.016702658369505425
OCFIC,Earnings Quality,0.0030010677874088287,0.0113291967286731,0.003001067976418158,0.012302164461408936
OCFStab,Earnings Quality,0.0,0.0215060736843448,0.0,0.0
PAdjChg3YSales,Historical Growth,0.028696836903691292,0.0306119865462395,0.02869683871103797,0.11478728566390273
TTMRecInvToSales,Historical Growth,0.0286306980997324,0.0233066162869112,0.02863069990291361,0.11452273059084792
CQDRItoSales,Historical Growth,0.02630019187927246,0.0175129203223809,0.026300193535676773,0.10520071074011561
AstAdjChg1YFCF,Historical Growth,0.017606573179364204,0.0156831099781247,0.017606574288238388,0.07042625470830631
PAdjChg3YOCF,Historical Growth,0.01661534793674946,0.0139612399145867,0.016615348983195586,0.06646135587770889
Chg1YOPM,Historical Growth,0.016022901982069016,0.0,0.016022902991202487,0.06409157333796214
PAdjChg1YOCF,Historical Growth,0.015742013230919838,0.0122245394711508,0.01574201422236274,0.06296801893974936
Chg3YFCF,Historical Growth,0.014643719419836998,0.0105473347046185,0.014643720342108597,0.058574846066419696
AstAdjChg1YOCF,Historical Growth,0.014611277729272842,0.0146584531029662,0.014611278649501241,0.05844507937419834
Chg3YAstTo,Historical Growth,0.013136886060237885,0.0121288600514823,0.013136886887608074,0.05254751588098197
PAdjChg1YSales,Historical Growth,0.012978050857782364,0.0,0.012978051675149002,0.051912175414054046
PAdjChg3YFCF,Historical Growth,0.01174768153578043,0.011052444926963,0.011747682275657555,0.04699070078217322
PAdjChg1YEPS,Historical Growth,0.011013544164597988,0.0104576381008545,0.011013544858238633,0.04405415288230256
CQPTTMCFtoSales,Historical Growth,0.009551757015287876,0.0078613493180216,0.009551757616864153,0.038207007440774876
PAdjChg1YFCF,Historical Growth,0.003905403893440962,0.0150600840794902,0.0039054041394060057,0.015621607142760102
ConsQPosChginTTMCF,Historical Growth,0.0023814092855900526,0.009334322505268,0.00238140943557286,0.009525632001362978
Chg1YOCF,Historical Growth,0.002293970203027129,0.0096378591428147,0.0022939703475029624,0.009175875859875175
CQDOHtoSales,Historical Growth,0.0022496713791042566,0.0067946613916211,0.0022496715207901193,0.008998680659816188
ConsQPosChgTTMEPS,Historical Growth,0.0018722001696005464,0.0070706788455198,0.0018722002875130107,0.007488796636687917
AdjAstAdjChg1YFCF,Historical Growth,0.0,0.0108133055167721,0.0,0.0
EPSStab,Historical Growth,0.0,0.0113640803451924,0.0,0.0
ShortIntTrdVol,Price Momentum,0.028614476323127747,0.0369555669948556,0.028614478125287297,1.0
CashAst,Valuation,0.059128861874341965,0.0,0.05912886559831867,0.6805549000445845
CashAdjEV,Valuation,0.022819532081484795,0.0284822530958361,0.02281953351867474,0.26264575171060495
FCFEV,Valuation,0.004934915341436863,0.0044497128097258,0.004934915652241251,0.056799348244810546
CashEV,Valuation,0.0,0.1250467234615796,0.0,0.0
BookLev,Volatility,0.02528931200504303,0.0255046380301825,0.02528931359778143,1.0
