factor,styleName,weight,cluster_id,avg_corr_in_cluster
RecTurn,Capital Efficiency,0.138883599445227,1,
SGAToSalesChg1Y,Earnings Quality,0.018527091716317997,2,0.517
AstAdjChg1YFCF,Historical Growth,0.017606574288238388,2,0.651
PAdjChg1YOCF,Historical Growth,0.01574201422236274,2,0.529
Chg3YFCF,Historical Growth,0.014643720342108597,2,0.496
AstAdjChg1YOCF,Historical Growth,0.014611278649501241,2,0.647
PAdjChg3YFCF,Historical Growth,0.011747682275657555,2,0.571
PAdjChg1YFCF,Historical Growth,0.0039054041394060057,2,0.594
Chg1YOCF,Historical Growth,0.0022939703475029624,2,0.659
InvPEGC,Analyst Expectations,0.02901378829223796,3,0.617
AdjInvPEGC,Analyst Expectations,0.02151177772761692,3,0.61
PAdjChg3YOCF,Historical Growth,0.016615348983195586,3,0.541
PAdjChg1YSales,Historical Growth,0.012978051675149002,3,0.573
PAdjChg1YEPS,Historical Growth,0.011013544858238633,3,0.643
Rev3MFY1C,Analyst Expectations,0.02002815842107331,4,0.682
AdjRevMagC,Analyst Expectations,0.019139175577356247,4,0.726
RevMagFY1C,Analyst Expectations,0.018880727958687796,4,0.741
Chg1YOPM,Historical Growth,0.016022902991202487,4,0.526
Chg3YAstTo,Historical Growth,0.013136886887608074,4,0.503
AdjRev3MFY1C,Analyst Expectations,0.003022606442127154,4,0.63
UnexpectedRecChg,Earnings Quality,0.07835413263989446,5,
OCFRatio,Capital Efficiency,0.020588237226269714,6,0.505
EbitdaToAst,Capital Efficiency,0.017748319730376938,6,0.649
IntCovRatio,Capital Efficiency,0.005003517343069297,6,0.634
AdjIntCov,Capital Efficiency,0.004507206664234261,6,0.594
CapAcqRatio,Capital Efficiency,0.0044748604321968154,6,0.589
FCFSales,Earnings Quality,0.004074552353044602,6,0.612
CFROIC,Capital Efficiency,0.003244267748104042,6,0.716
OCFIC,Earnings Quality,0.003001067976418158,6,0.682
ConsQPosChgTTMEPS,Historical Growth,0.0018722002875130107,6,0.55
EPSSurpC,Analyst Expectations,0.05922016129341294,7,
CashAst,Valuation,0.05912886559831867,8,
WCAccruals,Earnings Quality,0.041310473153014435,9,
WCapToAst,Earnings Quality,0.04004837079743955,10,
BookLev,Volatility,0.02528931359778143,11,0.523
TotalAccruals,Earnings Quality,0.01210789551846351,11,0.523
ETO,Earnings Quality,0.024984843739867264,12,0.561
AssetTurn,Earnings Quality,0.005038241241789482,12,0.623
SalesToInvCap,Earnings Quality,0.004846377137802778,12,0.639
CQDOHtoSales,Historical Growth,0.0022496715207901193,12,0.502
PAdjChg3YSales,Historical Growth,0.02869683871103797,13,
TTMRecInvToSales,Historical Growth,0.02863069990291361,14,
ShortIntTrdVol,Price Momentum,0.028614478125287297,15,
CQDRItoSales,Historical Growth,0.026300193535676773,16,
CashAdjEV,Valuation,0.02281953351867474,17,
CQPTTMCFtoSales,Historical Growth,0.009551757616864153,18,0.684
ConsQPosChginTTMCF,Historical Growth,0.00238140943557286,18,0.684
FCFEV,Valuation,0.004934915652241251,19,0.67
CashBurn,Earnings Quality,0.0047140538867450265,19,0.67
UnexpectedInvChg,Earnings Quality,0.006939238374369215,20,
