factor,styleName,weight,cluster_id,avg_corr_in_cluster
60MAVGTTMEP,Valuation,0.040180675769603366,1,0.536
FCFEV,Valuation,0.036222387181129655,1,0.622
OCFEV,Valuation,0.027451885921663366,1,0.708
PAdjChg1YFCF,Historical Growth,0.025240020879348783,1,0.549
SP,Valuation,0.022878563079495696,1,0.667
InvPEGC,Analyst Expectations,0.022012466610901105,1,0.44
PAdjChg1YSales,Historical Growth,0.019264010752871655,1,0.54
OEP,Valuation,0.018977472598384428,1,0.712
CurLiaP,Valuation,0.017750885374787723,1,0.713
InvPEGYC,Valuation,0.017595782912886247,1,0.662
LogAssets,Size,0.014923270823040381,1,0.569
PTIP,Valuation,0.013123015900633098,1,0.661
EPSSurpC,Analyst Expectations,0.022950360599568405,2,0.57
PAdjChg3YCF,Historical Growth,0.016982996871892125,2,0.587
PAdjChg1YEPS,Historical Growth,0.0162491184068476,2,0.707
PAdjChg1YCF,Historical Growth,0.015963511574936938,2,0.701
ETO,Earnings Quality,0.037753727366166084,3,0.763
SalesToInvCap,Earnings Quality,0.027453007234045552,3,0.763
SUEC,Analyst Expectations,0.03743574031091334,4,0.544
PAdjChg3YOCF,Historical Growth,0.02721452346186403,4,0.544
CashEV,Valuation,0.035226881577875915,5,0.581
GPMargin,Earnings Quality,0.020172551316570714,5,0.581
WCapToSales,Earnings Quality,0.02986559464335217,6,0.699
BookLev,Volatility,0.02518101973147811,6,0.699
BuyBackChg,Capital Efficiency,0.053602535389927874,7,
OEA,Earnings Quality,0.02465441083113889,8,0.802
CFIC,Earnings Quality,0.019449781667219484,8,0.679
ROA,Capital Efficiency,0.005768608779627243,8,0.798
Rev3MFY1C,Analyst Expectations,0.015399870494985682,9,0.736
AdjRev3MFY1C,Analyst Expectations,0.01383267159678369,9,0.588
RevMagFY1C,Analyst Expectations,0.003557752359663083,9,0.743
Rev3MFY2C,Analyst Expectations,0.003156519734395826,9,0.707
Chg1YOPM,Historical Growth,0.0028681270838280077,9,0.58
AdjAstAdjChg1YFCF,Historical Growth,0.03763894744653966,10,
PAdjChg1YOCF,Historical Growth,0.036857899355637165,11,
AdjInvPEGC,Analyst Expectations,0.02572536287632032,12,
TotalAccruals,Earnings Quality,0.024765558592716702,13,
ROAStddev20Q,Earnings Quality,0.02399438624641613,14,
DivperShareGrowth,Historical Growth,0.02398888958056923,15,
AccrualRatioCF,Earnings Quality,0.019858459052333174,16,
RecTurn,Capital Efficiency,0.015661262008583025,17,
ChgATO,Historical Growth,0.013728720164755006,18,
CapExToSales,Earnings Quality,0.007824300804738586,19,0.67
CapExToAst,Capital Efficiency,0.00558397314750025,19,0.67
WCAccruals,Earnings Quality,0.01060081182406454,20,
Chg1YFCF,Historical Growth,0.0068675275104604075,21,0.563
UnexpectedInvChg,Earnings Quality,0.0036395764985951103,21,0.563
CQPTTMCFtoSales,Historical Growth,0.003666756449500287,22,0.605
ConsQPosChginTTMCF,Historical Growth,0.003501098843177289,22,0.605
ShortIntTrdVol,Price Momentum,0.005736720760266875,23,
