factor,weight
60MAVGTTMEP,0.040180675769603366
AccrualRatioCF,0.019858459052333174
AdjAstAdjChg1YFCF,0.03763894744653966
AdjInvPEGC,0.02572536287632032
AdjRev3MFY1C,0.01383267159678369
BookLev,0.02518101973147811
BuyBackChg,0.053602535389927874
CFIC,0.019449781667219484
CQPTTMCFtoSales,0.003666756449500287
CapExToAst,0.00558397314750025
CapExToSales,0.007824300804738586
CashEV,0.035226881577875915
Chg1YFCF,0.0068675275104604075
Chg1YOPM,0.0028681270838280077
ChgATO,0.013728720164755006
ConsQPosChginTTMCF,0.003501098843177289
CurLiaP,0.017750885374787723
DivperShareGrowth,0.02398888958056923
EPSSurpC,0.022950360599568405
ETO,0.037753727366166084
FCFEV,0.036222387181129655
GPMargin,0.020172551316570714
InvPEGC,0.022012466610901105
InvPEGYC,0.017595782912886247
LogAssets,0.014923270823040381
OCFEV,0.027451885921663366
OEA,0.02465441083113889
OEP,0.018977472598384428
PAdjChg1YCF,0.015963511574936938
PAdjChg1YEPS,0.0162491184068476
PAdjChg1YFCF,0.025240020879348783
PAdjChg1YOCF,0.036857899355637165
PAdjChg1YSales,0.019264010752871655
PAdjChg3YCF,0.016982996871892125
PAdjChg3YOCF,0.02721452346186403
PTIP,0.013123015900633098
ROA,0.005768608779627243
ROAStddev20Q,0.02399438624641613
RecTurn,0.015661262008583025
Rev3MFY1C,0.015399870494985682
Rev3MFY2C,0.003156519734395826
RevMagFY1C,0.003557752359663083
SP,0.022878563079495696
SUEC,0.03743574031091334
SalesToInvCap,0.027453007234045552
ShortIntTrdVol,0.005736720760266875
TotalAccruals,0.024765558592716702
UnexpectedInvChg,0.0036395764985951103
WCAccruals,0.01060081182406454
WCapToSales,0.02986559464335217
