style,raw_weight,prev_weight,new_weight,delta,factor_count,factors
Historical Growth,0.25008149771019816,,0.25008148455097906,,19,PAdjChg3YSales;TTMRecInvToSales;CQDRItoSales;AstAdjChg1YFCF;PAdjChg1YFCF;AstAdjChg1YOCF;PAdjChg3YOCF;PAdjChg1YOCF;Chg3YAstTo;EPSStab;PAdjChg3YFCF;AdjAstAdjChg1YFCF;Chg3YFCF;PAdjChg1YEPS;Chg1YOCF;ConsQPosChginTTMCF;CQPTTMCFtoSales;ConsQPosChgTTMEPS;CQDOHtoSales
Earnings Quality,0.2500814921222627,,0.25008147896304395,,11,TotalAccruals;WCAccruals;UnexpectedInvChg;WCapToAst;AssetTurn;OCFStab;ETO;SalesToInvCap;FCFSales;OCFIC;CashBurn
Analyst Expectations,0.17141340859234333,,0.1714133995726173,,8,EPSSurpC;InvPEGC;Rev3MFY1C;RevMagFY1C;AdjRevMagC;AdjInvPEGC;AdjRev3MFY1C;6MChgTgtPrcGapEMA
Valuation,0.15797869767993689,,0.15797868936714163,,3,CashEV;CashAdjEV;FCFEV
Capital Efficiency,0.10798474820330739,,0.10798474252117987,,7,OCFRatio;AdjIntCov;CapAcqRatio;CFROIC;OCFEqt;WCTurn;IntCovRatio
Price Momentum,0.0369555689394474,,0.03695556699485562,,1,ShortIntTrdVol
Volatility,0.025504639372229576,,0.025504638030182526,,1,BookLev
