factor,weight
60MAVGTTMEP,0.0306094114559993
AdjAstAdjChg1YFCF,0.036006028915624905
AdjInvPEGC,0.02532849592260315
AdjRev3MFY1C,0.01279960638136524
AdjRevMagC,0.017953469960560856
AstAdjChg1YEPS,0.020497653189515287
AstAdjChg1YFCF,0.00686647588420141
AstAdjChg1YOCF,0.005849166180944896
BookLev,0.023738555096163037
CFEV,0.03005668455844939
CFP,0.027044819082327146
CQPTTMCFtoSales,0.02003019445976054
CapExToAst,0.004492584053005484
CapExToSales,0.03545964059938058
Chg1YFCF,0.03189329361401584
Chg1YOPM,0.019144761892859158
ConsQPosChginTTMCF,0.0043571832577655924
DivperShareGrowth,0.004365808235942347
EP,0.019914237351151165
EPSSurpC,0.027422958391174874
EPSToSalesChg1Y,0.03262481395292382
ETO,0.030837462547262193
EbitdaToAst,0.004473951548319893
FCFEV,0.04505698657820473
GPMargin,0.006003643256067572
IntCovRatio,0.08602014742794593
InvPEGC,0.02350964160021472
InvPEGYC,0.019451772372933378
OCFRatio,0.006922916824968703
OEA,0.014385331110601361
OEP,0.01886624802030598
PAdjChg1YCF,0.023413601755754798
PAdjChg1YEPS,0.021983427450885353
PAdjChg1YFCF,0.009209146523743257
PAdjChg1YOCF,0.008617169037136082
PAdjChg1YSales,0.005587656861252131
PAdjChg3YFCF,0.005252935344231551
PAdjChg3YOCF,0.004589647886614023
PTIP,0.019029637386613462
ROA,0.003895476608937763
RecTurn,0.01345878251556615
Rev3MFY1C,0.01611328276374021
RevMagFY1C,0.017580441749891946
SUEC,0.03208266501694735
SalesToInvCap,0.02660338709267904
ShortIntTrdVol,0.02541163694968395
TotalAccruals,0.025432310447747616
UnexpectedInvChg,0.004638648957155097
WCAccruals,0.012214151877929427
WCapToSales,0.032902050050932295
