factor,styleName,weight,cluster_id,avg_corr_in_cluster
OCFRatio,Capital Efficiency,0.02422391123264005,1,0.548
AssetTurn,Earnings Quality,0.022138527360906084,1,0.553
AdjIntCov,Capital Efficiency,0.021944873742865988,1,0.629
CapAcqRatio,Capital Efficiency,0.0196524997145252,1,0.663
CFROIC,Capital Efficiency,0.015938709582633253,1,0.741
FCFSales,Earnings Quality,0.015433309718983249,1,0.653
OCFEqt,Capital Efficiency,0.014787707631005457,1,0.685
OCFIC,Earnings Quality,0.011329196728673191,1,0.661
ConsQPosChgTTMEPS,Historical Growth,0.007070678845519801,1,0.571
CQDOHtoSales,Historical Growth,0.006794661391621112,1,0.508
IntCovRatio,Capital Efficiency,0.00461846426041496,1,0.655
CashBurn,Earnings Quality,0.0033093218812936115,1,0.533
CashEV,Valuation,0.12504672346157966,2,0.562
TTMRecInvToSales,Historical Growth,0.023306616286911237,2,0.562
AstAdjChg1YFCF,Historical Growth,0.015683109978124766,3,0.694
PAdjChg1YFCF,Historical Growth,0.015060084079490275,3,0.678
AstAdjChg1YOCF,Historical Growth,0.014658453102966212,3,0.695
PAdjChg3YOCF,Historical Growth,0.013961239914586716,3,0.571
PAdjChg1YOCF,Historical Growth,0.012224539471150861,3,0.711
PAdjChg3YFCF,Historical Growth,0.011052444926963058,3,0.566
AdjAstAdjChg1YFCF,Historical Growth,0.010813305516772195,3,0.617
Chg3YFCF,Historical Growth,0.010547334704618518,3,0.528
Chg1YOCF,Historical Growth,0.009637859142814724,3,0.691
Rev3MFY1C,Analyst Expectations,0.020304814775267584,4,0.762
RevMagFY1C,Analyst Expectations,0.019779012429049052,4,0.776
AdjRevMagC,Analyst Expectations,0.019763327095072735,4,0.777
AdjRev3MFY1C,Analyst Expectations,0.015918602329305344,4,0.636
Chg3YAstTo,Historical Growth,0.012128860051482363,4,0.57
EPSStab,Historical Growth,0.011364080345192422,4,0.578
TotalAccruals,Earnings Quality,0.04906609768771145,5,0.512
BookLev,Volatility,0.025504638030182526,5,0.512
InvPEGC,Analyst Expectations,0.029134936960298626,6,0.699
AdjInvPEGC,Analyst Expectations,0.019195255744706888,6,0.712
PAdjChg1YEPS,Historical Growth,0.010457638100854538,6,0.672
ETO,Earnings Quality,0.019974167339000426,7,0.57
SalesToInvCap,Earnings Quality,0.01952610248399452,7,0.622
WCTurn,Capital Efficiency,0.006818576357094977,7,0.552
FCFEV,Valuation,0.0044497128097258755,7,0.541
WCAccruals,Earnings Quality,0.038106920055075565,8,
ShortIntTrdVol,Price Momentum,0.03695556699485562,9,
EPSSurpC,Analyst Expectations,0.03264962337473061,10,
PAdjChg3YSales,Historical Growth,0.030611986546239593,11,
CashAdjEV,Valuation,0.0284822530958361,12,
UnexpectedInvChg,Earnings Quality,0.026232265418280852,13,
WCapToAst,Earnings Quality,0.023459496604780146,14,
OCFStab,Earnings Quality,0.02150607368434485,15,
CQDRItoSales,Historical Growth,0.017512920322380963,16,
ConsQPosChginTTMCF,Historical Growth,0.009334322505268063,17,0.695
CQPTTMCFtoSales,Historical Growth,0.007861349318021689,17,0.695
6MChgTgtPrcGapEMA,Analyst Expectations,0.01466782686418647,18,
