factor,weight
60MAVGTTMEP,0.04530877281210402
AdjAstAdjChg1YFCF,0.0070011760629801155
AdjChgEPStoSales,0.033306196580128344
AdjInvPEGC,0.022506425324875304
AdjRev3MFY1C,0.013174492032635897
AstAdjChg1YEPS,0.0046235914686589795
BookLev,0.004698982031635806
BuyBackChg,0.050657492508422525
CFIC,0.04021165549912792
CQPTTMCFtoSales,0.003431069690220577
CapExToAst,0.02712143977821946
CapExToSales,0.009510708112349421
Chg1YFCF,0.007232026250899033
Chg1YOPM,0.003207738302333193
ChgATO,0.014628983211733275
ConsQPosChginTTMCF,0.0037587157265001215
CurLiaP,0.015820341302606025
DIVIDENDGROWTH,0.02055164814406371
DivperShareGrowth,0.01981688864392704
EP,0.01653217909136548
EPSStab,0.006161672109079898
EPSSurpC,0.0038376795413917267
ETO,0.009460241604300153
FCFEV,0.031164333456488946
FCFP,0.02474569361467431
GPMargin,0.022101132363834472
InvPEGC,0.018996402762803455
InvPEGYC,0.015883021174989798
LTDA,0.0352954755372962
LogAssets,0.0029161838100566252
OCFEV,0.024556869823909325
OEP,0.01748068457454953
PAdjChg1YCF,0.016991643361685002
PAdjChg1YEPS,0.017372455577347096
PAdjChg1YFCF,0.02511756885884381
PAdjChg1YOCF,0.03333559657138285
PAdjChg1YSales,0.018877856574042562
PAdjChg3YCF,0.020138114840821286
PAdjChg3YOCF,0.027753262056062086
ROAStddev20Q,0.02799577473100852
RecTurn,0.05084785484409224
Rev3MFY1C,0.013856591760043738
Rev3MFY2C,0.0029957485608439784
RevMagFY1C,0.003267223039770298
SP,0.020655222391003536
SUEC,0.03278581077445902
SalesToInvCap,0.030825522026609792
ShortIntTrdVol,0.005583880045144856
UnexpectedInvChg,0.004281686650825192
WCAccruals,0.0716182743878534
