factor,style,raw_weight,prev_weight,new_weight,weight_within_style
SUEC,Analyst Expectations,0.03208266571164131,0.0,0.03208266501694735,0.1856737120664553
EPSSurpC,Analyst Expectations,0.027422958984971046,0.0320902257153722,0.027422958391174874,0.1587063443028731
AdjInvPEGC,Analyst Expectations,0.0253284964710474,0.0233035544712238,0.02532849592260315,0.14658495036262037
InvPEGC,Analyst Expectations,0.023509642109274864,0.030677098246743,0.02350964160021472,0.13605859809208476
AdjRevMagC,Analyst Expectations,0.01795347034931183,0.0211135232651409,0.017953469960560856,0.10390307071716297
RevMagFY1C,Analyst Expectations,0.017580442130565643,0.0204961830313061,0.017580441749891946,0.10174422473152502
Rev3MFY1C,Analyst Expectations,0.01611328311264515,0.0196533733176829,0.01611328276374021,0.09325325756883604
AdjRev3MFY1C,Analyst Expectations,0.012799606658518314,0.0152189533297729,0.01279960638136524,0.07407584215844239
IntCovRatio,Capital Efficiency,0.08602014929056168,0.0081099899272569,0.08602014742794593,0.7212591321841856
RecTurn,Capital Efficiency,0.01345878280699253,0.0688548564927194,0.01345878251556615,0.11284879284314348
OCFRatio,Capital Efficiency,0.006922916974872351,0.0287102678185584,0.006922916824968703,0.058047063747975455
CapExToAst,Capital Efficiency,0.004492584150284529,0.0362331435874487,0.004492584053005484,0.037669282978728576
EbitdaToAst,Capital Efficiency,0.004473951645195484,0.0244540694515353,0.004473951548319893,0.03751305371661061
ROA,Capital Efficiency,0.003895476693287492,0.0214376142219165,0.003895476608937763,0.03266267452935632
AdjIntCov,Capital Efficiency,0.0,0.0059463840690505,0.0,0.0
CFROIC,Capital Efficiency,0.0,0.004269033389641,0.0,0.0
CapExToSales,Earnings Quality,0.03545964136719704,0.0210615405620649,0.03545964059938058,0.16037724863570507
WCapToSales,Earnings Quality,0.03290205076336861,0.0,0.032902050050932295,0.14880975025265647
EPSToSalesChg1Y,Earnings Quality,0.03262481465935707,0.0,0.03262481395292382,0.14755586380965977
ETO,Earnings Quality,0.030837463214993477,0.0028931441572785,0.030837462547262193,0.13947201140901871
SalesToInvCap,Earnings Quality,0.02660338766872883,0.0127140922389973,0.02660338709267904,0.12032208883665402
TotalAccruals,Earnings Quality,0.02543231099843979,0.0246442939582836,0.025432310447747616,0.11502553063468185
OEA,Earnings Quality,0.01438533142209053,0.0124483700644683,0.014385331110601361,0.06506213219409107
WCAccruals,Earnings Quality,0.01221415214240551,0.0305534688948991,0.012214151877929427,0.05524229911780803
GPMargin,Earnings Quality,0.00600364338606596,0.0269192487483332,0.006003643256067572,0.027153343094381003
UnexpectedInvChg,Earnings Quality,0.004638649057596922,0.0168657850327519,0.004638648957155097,0.02097973201534401
AdjAccruals,Earnings Quality,0.0,0.0546585196085471,0.0,0.0
CFIC,Earnings Quality,0.0,0.0100891240585076,0.0,0.0
EBITMargin,Earnings Quality,0.0,0.019310054274199,0.0,0.0
OCFIC,Earnings Quality,0.0,0.0027117134314912,0.0,0.0
OPM,Earnings Quality,0.0,0.0152274805196354,0.0,0.0
AdjAstAdjChg1YFCF,Historical Growth,0.036006029695272446,0.0,0.036006028915624905,0.15815414433098177
Chg1YFCF,Historical Growth,0.0318932943046093,0.0242930996507677,0.03189329361401584,0.14008922153680103
PAdjChg1YCF,Historical Growth,0.023413602262735367,0.0127620292766339,0.023413601755754798,0.10284272559090417
PAdjChg1YEPS,Historical Growth,0.021983427926898003,0.012878643906542,0.021983427450885353,0.09656077781041375
AstAdjChg1YEPS,Historical Growth,0.020497653633356094,0.0,0.020497653189515287,0.09003461083080526
CQPTTMCFtoSales,Historical Growth,0.020030194893479347,0.0110929296499315,0.02003019445976054,0.0879813287099789
Chg1YOPM,Historical Growth,0.019144762307405472,0.011071960921256,0.019144761892859158,0.08409212364631512
PAdjChg1YFCF,Historical Growth,0.009209146723151207,0.0232547121880055,0.009209146523743257,0.04045057820439659
PAdjChg1YOCF,Historical Growth,0.008617169223725796,0.0187077958787907,0.008617169037136082,0.03785035552843982
AstAdjChg1YFCF,Historical Growth,0.006866476032882929,0.0197648340082399,0.00686647588420141,0.030160549517415397
AstAdjChg1YOCF,Historical Growth,0.005849166307598352,0.0145799952354,0.005849166180944896,0.02569208269439622
PAdjChg1YSales,Historical Growth,0.005587656982243061,0.0131507791685976,0.005587656861252131,0.02454341998606188
PAdjChg3YFCF,Historical Growth,0.005252935457974672,0.0220594266669483,0.005252935344231551,0.02307317745424561
PAdjChg3YOCF,Historical Growth,0.004589647985994816,0.0153802779644568,0.004589647886614023,0.020159730360404887
DivperShareGrowth,Historical Growth,0.004365808330476284,0.0,0.004365808235942347,0.01917652922755343
ConsQPosChginTTMCF,Historical Growth,0.00435718335211277,0.003759951260721,0.0043571832577655924,0.01913864457088622
CQDOHtoSales,Historical Growth,0.0,0.0033026320427399,0.0,0.0
Chg3YFCF,Historical Growth,0.0,0.0208458183047646,0.0,0.0
PAdjChg3YSales,Historical Growth,0.0,0.0231919522196294,0.0,0.0
ShortIntTrdVol,Price Momentum,0.025411637499928474,0.0238131574423162,0.02541163694968395,1.0
LogAssets,Size,0.0,0.018860199374146,0.0,0.0
FCFEV,Valuation,0.045056987553834915,0.0334403566596811,0.04505698657820473,0.21452663985494502
60MAVGTTMEP,Valuation,0.030609412118792534,0.0,0.0306094114559993,0.14573842341177337
CFEV,Valuation,0.030056685209274292,0.0,0.03005668455844939,0.14310676397127745
CFP,Valuation,0.02704481966793537,0.0,0.027044819082327146,0.12876658214029438
EP,Valuation,0.019914237782359123,0.0,0.019914237351151165,0.09481624823713457
InvPEGYC,Valuation,0.019451772794127464,0.0,0.019451772372933378,0.09261434648199937
PTIP,Valuation,0.019029637798666954,0.0,0.019029637386613462,0.09060446506165089
OEP,Valuation,0.018866248428821564,0.0,0.01886624802030598,0.089826530840925
CashAdjEV,Valuation,0.0,0.0045755279369298,0.0,0.0
CurLiaP,Valuation,0.0,0.032601436149298,0.0,0.0
BookLev,Volatility,0.0237385556101799,0.0259473782093758,0.023738555096163037,1.0
