factor,weight
6MChgTgtPrcGapEMA,0.01466782686418647
AdjAstAdjChg1YFCF,0.010813305516772195
AdjIntCov,0.021944873742865988
AdjInvPEGC,0.019195255744706888
AdjRev3MFY1C,0.015918602329305344
AdjRevMagC,0.019763327095072735
AssetTurn,0.022138527360906084
AstAdjChg1YFCF,0.015683109978124766
AstAdjChg1YOCF,0.014658453102966212
BookLev,0.025504638030182526
CFROIC,0.015938709582633253
CQDOHtoSales,0.006794661391621112
CQDRItoSales,0.017512920322380963
CQPTTMCFtoSales,0.007861349318021689
CapAcqRatio,0.0196524997145252
CashAdjEV,0.0284822530958361
CashBurn,0.0033093218812936115
CashEV,0.12504672346157966
Chg1YOCF,0.009637859142814724
Chg3YAstTo,0.012128860051482363
Chg3YFCF,0.010547334704618518
ConsQPosChgTTMEPS,0.007070678845519801
ConsQPosChginTTMCF,0.009334322505268063
EPSStab,0.011364080345192422
EPSSurpC,0.03264962337473061
ETO,0.019974167339000426
FCFEV,0.0044497128097258755
FCFSales,0.015433309718983249
IntCovRatio,0.00461846426041496
InvPEGC,0.029134936960298626
OCFEqt,0.014787707631005457
OCFIC,0.011329196728673191
OCFRatio,0.02422391123264005
OCFStab,0.02150607368434485
PAdjChg1YEPS,0.010457638100854538
PAdjChg1YFCF,0.015060084079490275
PAdjChg1YOCF,0.012224539471150861
PAdjChg3YFCF,0.011052444926963058
PAdjChg3YOCF,0.013961239914586716
PAdjChg3YSales,0.030611986546239593
Rev3MFY1C,0.020304814775267584
RevMagFY1C,0.019779012429049052
SalesToInvCap,0.01952610248399452
ShortIntTrdVol,0.03695556699485562
TTMRecInvToSales,0.023306616286911237
TotalAccruals,0.04906609768771145
UnexpectedInvChg,0.026232265418280852
WCAccruals,0.038106920055075565
WCTurn,0.006818576357094977
WCapToAst,0.023459496604780146
