style,raw_weight,prev_weight,new_weight,delta,factor_count,factors
Historical Growth,0.250000134925358,0.2500814845509782,0.25000015067053977,-8.133388043840561e-05,19,PAdjChg3YSales;TTMRecInvToSales;CQDRItoSales;AstAdjChg1YFCF;PAdjChg3YOCF;Chg1YOPM;PAdjChg1YOCF;Chg3YFCF;AstAdjChg1YOCF;Chg3YAstTo;PAdjChg1YSales;PAdjChg3YFCF;PAdjChg1YEPS;CQPTTMCFtoSales;PAdjChg1YFCF;ConsQPosChginTTMCF;Chg1YOCF;CQDOHtoSales;ConsQPosChgTTMEPS
Earnings Quality,0.24394632317125797,0.2500814789630434,0.2439463385351665,-0.006135140427876884,12,UnexpectedRecChg;WCAccruals;WCapToAst;ETO;SGAToSalesChg1Y;TotalAccruals;UnexpectedInvChg;AssetTurn;SalesToInvCap;CashBurn;FCFSales;OCFIC
Capital Efficiency,0.19444999634288251,0.10798474252117951,0.19445000858947806,0.08646526606829855,7,RecTurn;OCFRatio;EbitdaToAst;IntCovRatio;AdjIntCov;CapAcqRatio;CFROIC
Analyst Expectations,0.170816384954378,0.1714133995726169,0.1708163957125123,-0.0005970038601045835,7,EPSSurpC;InvPEGC;AdjInvPEGC;Rev3MFY1C;AdjRevMagC;RevMagFY1C;AdjRev3MFY1C
Valuation,0.08688330929726362,0.1579786893671415,0.08688331476923465,-0.07109537459790684,3,CashAst;CashAdjEV;FCFEV
Price Momentum,0.028614476323127747,0.0369555669948556,0.028614478125287297,-0.008341088869568306,1,ShortIntTrdVol
Volatility,0.02528931200504303,0.0255046380301825,0.02528931359778143,-0.0002153244324010692,1,BookLev
