factor,styleName,weight,cluster_id,avg_corr_in_cluster
FCFEV,Valuation,0.04505698657820473,1,0.53
60MAVGTTMEP,Valuation,0.0306094114559993,1,0.606
CFEV,Valuation,0.03005668455844939,1,0.54
CFP,Valuation,0.027044819082327146,1,0.658
EP,Valuation,0.019914237351151165,1,0.72
InvPEGYC,Valuation,0.019451772372933378,1,0.613
PTIP,Valuation,0.019029637386613462,1,0.731
OEP,Valuation,0.01886624802030598,1,0.726
AdjAstAdjChg1YFCF,Historical Growth,0.036006028915624905,2,0.596
EPSToSalesChg1Y,Earnings Quality,0.03262481395292382,2,0.593
Chg1YFCF,Historical Growth,0.03189329361401584,2,0.535
AstAdjChg1YEPS,Historical Growth,0.020497653189515287,2,0.614
AstAdjChg1YFCF,Historical Growth,0.00686647588420141,2,0.594
AstAdjChg1YOCF,Historical Growth,0.005849166180944896,2,0.665
IntCovRatio,Capital Efficiency,0.08602014742794593,3,
Chg1YOPM,Historical Growth,0.019144761892859158,4,0.585
AdjRevMagC,Analyst Expectations,0.017953469960560856,4,0.767
RevMagFY1C,Analyst Expectations,0.017580441749891946,4,0.808
Rev3MFY1C,Analyst Expectations,0.01611328276374021,4,0.763
AdjRev3MFY1C,Analyst Expectations,0.01279960638136524,4,0.655
WCapToSales,Earnings Quality,0.032902050050932295,5,0.654
TotalAccruals,Earnings Quality,0.025432310447747616,5,0.558
BookLev,Volatility,0.023738555096163037,5,0.57
EPSSurpC,Analyst Expectations,0.027422958391174874,6,0.591
PAdjChg1YCF,Historical Growth,0.023413601755754798,6,0.74
PAdjChg1YEPS,Historical Growth,0.021983427450885353,6,0.715
PAdjChg1YSales,Historical Growth,0.005587656861252131,6,0.523
ETO,Earnings Quality,0.030837462547262193,7,0.755
SalesToInvCap,Earnings Quality,0.02660338709267904,7,0.755
AdjInvPEGC,Analyst Expectations,0.02532849592260315,8,0.653
InvPEGC,Analyst Expectations,0.02350964160021472,8,0.653
SUEC,Analyst Expectations,0.03208266501694735,9,0.521
PAdjChg3YFCF,Historical Growth,0.005252935344231551,9,0.592
PAdjChg3YOCF,Historical Growth,0.004589647886614023,9,0.585
CapExToSales,Earnings Quality,0.03545964059938058,10,0.629
CapExToAst,Capital Efficiency,0.004492584053005484,10,0.629
OEA,Earnings Quality,0.014385331110601361,11,0.704
OCFRatio,Capital Efficiency,0.006922916824968703,11,0.58
EbitdaToAst,Capital Efficiency,0.004473951548319893,11,0.745
ROA,Capital Efficiency,0.003895476608937763,11,0.753
ShortIntTrdVol,Price Momentum,0.02541163694968395,12,
CQPTTMCFtoSales,Historical Growth,0.02003019445976054,13,0.559
ConsQPosChginTTMCF,Historical Growth,0.0043571832577655924,13,0.559
PAdjChg1YFCF,Historical Growth,0.009209146523743257,14,0.629
PAdjChg1YOCF,Historical Growth,0.008617169037136082,14,0.629
RecTurn,Capital Efficiency,0.01345878251556615,15,
WCAccruals,Earnings Quality,0.012214151877929427,16,
GPMargin,Earnings Quality,0.006003643256067572,17,
UnexpectedInvChg,Earnings Quality,0.004638648957155097,18,
DivperShareGrowth,Historical Growth,0.004365808235942347,19,
