factor,weight
AdjIntCov,0.004507206664234261
AdjInvPEGC,0.02151177772761692
AdjRev3MFY1C,0.003022606442127154
AdjRevMagC,0.019139175577356247
AssetTurn,0.005038241241789482
AstAdjChg1YFCF,0.017606574288238388
AstAdjChg1YOCF,0.014611278649501241
BookLev,0.02528931359778143
CFROIC,0.003244267748104042
CQDOHtoSales,0.0022496715207901193
CQDRItoSales,0.026300193535676773
CQPTTMCFtoSales,0.009551757616864153
CapAcqRatio,0.0044748604321968154
CashAdjEV,0.02281953351867474
CashAst,0.05912886559831867
CashBurn,0.0047140538867450265
Chg1YOCF,0.0022939703475029624
Chg1YOPM,0.016022902991202487
Chg3YAstTo,0.013136886887608074
Chg3YFCF,0.014643720342108597
ConsQPosChgTTMEPS,0.0018722002875130107
ConsQPosChginTTMCF,0.00238140943557286
EPSSurpC,0.05922016129341294
ETO,0.024984843739867264
EbitdaToAst,0.017748319730376938
FCFEV,0.004934915652241251
FCFSales,0.004074552353044602
IntCovRatio,0.005003517343069297
InvPEGC,0.02901378829223796
OCFIC,0.003001067976418158
OCFRatio,0.020588237226269714
PAdjChg1YEPS,0.011013544858238633
PAdjChg1YFCF,0.0039054041394060057
PAdjChg1YOCF,0.01574201422236274
PAdjChg1YSales,0.012978051675149002
PAdjChg3YFCF,0.011747682275657555
PAdjChg3YOCF,0.016615348983195586
PAdjChg3YSales,0.02869683871103797
RecTurn,0.138883599445227
Rev3MFY1C,0.02002815842107331
RevMagFY1C,0.018880727958687796
SGAToSalesChg1Y,0.018527091716317997
SalesToInvCap,0.004846377137802778
ShortIntTrdVol,0.028614478125287297
TTMRecInvToSales,0.02863069990291361
TotalAccruals,0.01210789551846351
UnexpectedInvChg,0.006939238374369215
UnexpectedRecChg,0.07835413263989446
WCAccruals,0.041310473153014435
WCapToAst,0.04004837079743955
