factor,weight
AdjAccruals,0.033323493590813325
AdjIntCov,0.010133920662804595
AdjInvPEGC,0.03114026270472702
AdjRev3MFY1C,0.020609782042592922
AdjRevMagC,0.029432190797177543
AssetTurn,0.00959690695587115
AstAdjChg1YFCF,0.01676576250240054
AstAdjChg1YOCF,0.015196133576747218
BookLev,0.0335700147093177
CACL,0.014180060511812288
CFROIC,0.006311163219837205
CQDOHtoSales,0.013824551354422475
CQPTTMCFtoSales,0.01224534936274306
CashAdjEV,0.028289260404725732
CashRatio,0.020029884650647565
Chg1YFCF,0.017953450401135253
Chg1YOPM,0.01525464671929876
Chg3YAstTo,0.013256264762569275
Chg3YFCF,0.019333823378418675
ConsQPosChgTTMEPS,0.010605748300046026
ConsQPosChginTTMCF,0.0026952420710036978
EPSSurpC,0.04893301709938907
ETO,0.011520361207473953
FCFEV,0.057338897364648526
FCFSales,0.002249695661844454
GPMargin,0.027198273604504608
IntCovRatio,0.012025423095239858
InvPEGC,0.036857777552963725
OCFIC,0.0015491174745239662
OCFRatio,0.00889755159525484
OPM,0.013367353865464329
PAdjChg1YEPS,0.012328412171648118
PAdjChg1YFCF,0.025746516604965332
PAdjChg1YOCF,0.021183467512133958
PAdjChg1YSales,0.012185742847342543
PAdjChg3YFCF,0.018333951603160748
PAdjChg3YOCF,0.0032325237660438674
PAdjChg3YSales,0.02155108852122815
ROA,0.04532699893764788
Rev3MFY1C,0.029170595289462316
Rev3MFY2C,0.027404781374556316
RevMagFY1C,0.028144268361608105
SGAToSalesChg1Y,0.008569136477833026
SalesToInvCap,0.011229155225857221
ShortIntTrdVol,0.04302874783555279
TotalAccruals,0.003888905569007784
UnexpectedInvChg,0.013637465387941944
UnexpectedRecChg,0.0422981587055701
WCAccruals,0.021600104034892244
WCapToAst,0.01745459857312827
