factor,styleName,weight,cluster_id,avg_corr_in_cluster
60MAVGTTMEP,Valuation,0.04530877281210402,1,0.668
FCFEV,Valuation,0.031164333456488946,1,0.6
FCFP,Valuation,0.02474569361467431,1,0.678
OCFEV,Valuation,0.024556869823909325,1,0.751
SP,Valuation,0.020655222391003536,1,0.692
InvPEGC,Analyst Expectations,0.018996402762803455,1,0.436
OEP,Valuation,0.01748068457454953,1,0.764
EP,Valuation,0.01653217909136548,1,0.772
InvPEGYC,Valuation,0.015883021174989798,1,0.697
CurLiaP,Valuation,0.015820341302606025,1,0.758
LogAssets,Size,0.0029161838100566252,1,0.587
PAdjChg3YCF,Historical Growth,0.020138114840821286,2,0.6
PAdjChg1YSales,Historical Growth,0.018877856574042562,2,0.594
PAdjChg1YEPS,Historical Growth,0.017372455577347096,2,0.657
PAdjChg1YCF,Historical Growth,0.016991643361685002,2,0.717
WCAccruals,Earnings Quality,0.0716182743878534,3,
SUEC,Analyst Expectations,0.03278581077445902,4,0.516
PAdjChg3YOCF,Historical Growth,0.027753262056062086,4,0.516
PAdjChg1YOCF,Historical Growth,0.03333559657138285,5,0.558
PAdjChg1YFCF,Historical Growth,0.02511756885884381,5,0.558
LTDA,Capital Efficiency,0.0352954755372962,6,0.655
GPMargin,Earnings Quality,0.022101132363834472,6,0.655
RecTurn,Capital Efficiency,0.05084785484409224,7,
BuyBackChg,Capital Efficiency,0.050657492508422525,8,
AdjChgEPStoSales,Earnings Quality,0.033306196580128344,9,0.707
AdjAstAdjChg1YFCF,Historical Growth,0.0070011760629801155,9,0.621
AstAdjChg1YEPS,Historical Growth,0.0046235914686589795,9,0.695
DIVIDENDGROWTH,Historical Growth,0.02055164814406371,10,0.897
DivperShareGrowth,Historical Growth,0.01981688864392704,10,0.897
SalesToInvCap,Earnings Quality,0.030825522026609792,11,0.647
ETO,Earnings Quality,0.009460241604300153,11,0.647
CFIC,Earnings Quality,0.04021165549912792,12,
CapExToAst,Capital Efficiency,0.02712143977821946,13,0.664
CapExToSales,Earnings Quality,0.009510708112349421,13,0.664
Rev3MFY1C,Analyst Expectations,0.013856591760043738,14,0.721
AdjRev3MFY1C,Analyst Expectations,0.013174492032635897,14,0.547
RevMagFY1C,Analyst Expectations,0.003267223039770298,14,0.743
Chg1YOPM,Historical Growth,0.003207738302333193,14,0.583
Rev3MFY2C,Analyst Expectations,0.0029957485608439784,14,0.695
ROAStddev20Q,Earnings Quality,0.02799577473100852,15,
AdjInvPEGC,Analyst Expectations,0.022506425324875304,16,
ChgATO,Historical Growth,0.014628983211733275,17,
Chg1YFCF,Historical Growth,0.007232026250899033,18,0.569
UnexpectedInvChg,Earnings Quality,0.004281686650825192,18,0.569
ConsQPosChginTTMCF,Historical Growth,0.0037587157265001215,19,0.575
CQPTTMCFtoSales,Historical Growth,0.003431069690220577,19,0.575
EPSStab,Historical Growth,0.006161672109079898,20,
ShortIntTrdVol,Price Momentum,0.005583880045144856,21,
BookLev,Volatility,0.004698982031635806,22,
EPSSurpC,Analyst Expectations,0.0038376795413917267,23,
