factor,styleName,raw_weight,fitted_weight
CQPTTMCFtoSales,Historical Growth,0.020030195,0.020030195
TotalAccruals,Earnings Quality,0.025432311,0.025432311
CapExToAst,Capital Efficiency,0.004492584,0.004492584
Rev3MFY1C,Analyst Expectations,0.016113283,0.016113283
UnexpectedInvChg,Earnings Quality,0.004638649,0.004638649
Chg1YFCF,Historical Growth,0.031893294,0.031893294
RevMagFY1C,Analyst Expectations,0.017580442,0.017580442
AdjInvPEGC,Analyst Expectations,0.025328496,0.025328496
PAdjChg1YFCF,Historical Growth,0.009209147,0.009209147
PAdjChg1YEPS,Historical Growth,0.021983428,0.021983428
PAdjChg1YCF,Historical Growth,0.023413602,0.023413602
PAdjChg1YSales,Historical Growth,0.005587657,0.005587657
ConsQPosChginTTMCF,Historical Growth,0.0043571834,0.0043571834
EP,Valuation,0.019914238,0.019914238
WCapToSales,Earnings Quality,0.03290205,0.03290205
ShortIntTrdVol,Price Momentum,0.025411637,0.025411637
EPSSurpC,Analyst Expectations,0.027422959,0.027422959
PTIP,Valuation,0.019029638,0.019029638
Chg1YOPM,Historical Growth,0.019144762,0.019144762
DivperShareGrowth,Historical Growth,0.0043658083,0.0043658083
CFEV,Valuation,0.030056685,0.030056685
60MAVGTTMEP,Valuation,0.030609412,0.030609412
OEP,Valuation,0.018866248,0.018866248
InvPEGYC,Valuation,0.019451773,0.019451773
AdjRevMagC,Analyst Expectations,0.01795347,0.01795347
AstAdjChg1YEPS,Historical Growth,0.020497654,0.020497654
ETO,Earnings Quality,0.030837463,0.030837463
SUEC,Analyst Expectations,0.032082666,0.032082666
AstAdjChg1YOCF,Historical Growth,0.0058491663,0.0058491663
InvPEGC,Analyst Expectations,0.023509642,0.023509642
BookLev,Volatility,0.023738556,0.023738556
PAdjChg1YOCF,Historical Growth,0.008617169,0.008617169
SalesToInvCap,Earnings Quality,0.026603388,0.026603388
EPSToSalesChg1Y,Earnings Quality,0.032624815,0.032624815
CFP,Valuation,0.02704482,0.02704482
AdjAstAdjChg1YFCF,Historical Growth,0.03600603,0.03600603
AstAdjChg1YFCF,Historical Growth,0.006866476,0.006866476
EbitdaToAst,Capital Efficiency,0.0044739516,0.0044739516
AdjRev3MFY1C,Analyst Expectations,0.012799607,0.012799607
OCFRatio,Capital Efficiency,0.006922917,0.006922917
PAdjChg3YOCF,Historical Growth,0.004589648,0.004589648
CapExToSales,Earnings Quality,0.03545964,0.03545964
OEA,Earnings Quality,0.014385331,0.014385331
RecTurn,Capital Efficiency,0.013458783,0.013458783
WCAccruals,Earnings Quality,0.012214152,0.012214152
ROA,Capital Efficiency,0.0038954767,0.0038954767
FCFEV,Valuation,0.045056988,0.045056988
GPMargin,Earnings Quality,0.0060036434,0.0060036434
IntCovRatio,Capital Efficiency,0.08602015,0.08602015
PAdjChg3YFCF,Historical Growth,0.0052529355,0.0052529355
