factor,styleName,raw_weight,fitted_weight
CQPTTMCFtoSales,Historical Growth,0.0037403752,0.0034310697
PAdjChg1YEPS,Historical Growth,0.018938554,0.017372455
PAdjChg1YCF,Historical Growth,0.018523412,0.016991643
CapExToAst,Capital Efficiency,0.026306454,0.02712144
InvPEGYC,Valuation,0.015405744,0.015883021
PAdjChg3YOCF,Historical Growth,0.030255174,0.027753262
Rev3MFY1C,Analyst Expectations,0.013440209,0.013856592
InvPEGC,Analyst Expectations,0.018425573,0.018996403
PAdjChg1YSales,Historical Growth,0.020579662,0.018877856
UnexpectedInvChg,Earnings Quality,0.0041530244,0.0042816866
PAdjChg3YCF,Historical Growth,0.021953534,0.020138115
FCFEV,Valuation,0.030227859,0.031164333
EPSSurpC,Analyst Expectations,0.0037223592,0.0038376795
SalesToInvCap,Earnings Quality,0.02989923,0.030825522
BuyBackChg,Capital Efficiency,0.04913526,0.050657492
RecTurn,Capital Efficiency,0.049319908,0.050847854
ShortIntTrdVol,Price Momentum,0.005416087,0.00558388
BookLev,Volatility,0.00455778,0.004698982
AdjInvPEGC,Analyst Expectations,0.02183012,0.022506425
CapExToSales,Earnings Quality,0.009224916,0.009510708
ETO,Earnings Quality,0.0091759665,0.0094602415
LogAssets,Size,0.0028285543,0.0029161838
GPMargin,Earnings Quality,0.021437008,0.022101132
PAdjChg1YFCF,Historical Growth,0.027381876,0.025117569
ConsQPosChginTTMCF,Historical Growth,0.0040975576,0.0037587157
SUEC,Analyst Expectations,0.03180062,0.03278581
PAdjChg1YOCF,Historical Growth,0.036340743,0.033335596
DIVIDENDGROWTH,Historical Growth,0.022404345,0.020551648
AdjAstAdjChg1YFCF,Historical Growth,0.0076323207,0.007001176
SP,Valuation,0.020034546,0.020655222
ROAStddev20Q,Earnings Quality,0.02715452,0.027995775
AdjChgEPStoSales,Earnings Quality,0.03230536,0.033306196
CurLiaP,Valuation,0.015344948,0.015820341
AdjRev3MFY1C,Analyst Expectations,0.012778606,0.013174492
RevMagFY1C,Analyst Expectations,0.0031690446,0.003267223
ChgATO,Historical Growth,0.015947761,0.014628983
OEP,Valuation,0.016955398,0.017480684
Chg1YOPM,Historical Growth,0.0034969107,0.0032077383
Chg1YFCF,Historical Growth,0.007883981,0.007232026
EPSStab,Historical Growth,0.006717137,0.006161672
EP,Valuation,0.016035393,0.016532179
AstAdjChg1YEPS,Historical Growth,0.0050403993,0.0046235914
FCFP,Valuation,0.024002101,0.024745693
LTDA,Capital Efficiency,0.034234866,0.035295475
60MAVGTTMEP,Valuation,0.043947265,0.045308772
WCAccruals,Earnings Quality,0.06946618,0.071618274
OCFEV,Valuation,0.023818951,0.02455687
Rev3MFY2C,Analyst Expectations,0.0029057278,0.0029957485
CFIC,Earnings Quality,0.03900332,0.040211655
DivperShareGrowth,Historical Growth,0.02160335,0.019816888
