factor,styleName,raw_weight,fitted_weight
TotalAccruals,Earnings Quality,0.025632134,0.024765559
CQPTTMCFtoSales,Historical Growth,0.004390963,0.0036667564
PAdjChg3YCF,Historical Growth,0.02033724,0.016982997
CapExToAst,Capital Efficiency,0.004934676,0.005583973
PAdjChg3YOCF,Historical Growth,0.032589555,0.027214523
PAdjChg1YEPS,Historical Growth,0.019458419,0.016249118
PAdjChg1YCF,Historical Growth,0.019116402,0.015963512
InvPEGYC,Valuation,0.015549767,0.017595783
Rev3MFY1C,Analyst Expectations,0.013609194,0.01539987
BookLev,Volatility,0.022253003,0.02518102
UnexpectedInvChg,Earnings Quality,0.0037669297,0.0036395765
PAdjChg1YSales,Historical Growth,0.023068773,0.01926401
FCFEV,Valuation,0.032010496,0.036222387
ShortIntTrdVol,Price Momentum,0.0050696624,0.0057367207
AdjInvPEGC,Analyst Expectations,0.022734053,0.025725363
LogAssets,Size,0.013188012,0.014923271
CapExToSales,Earnings Quality,0.008098082,0.007824301
ETO,Earnings Quality,0.039074775,0.037753727
SUEC,Analyst Expectations,0.03308277,0.03743574
SalesToInvCap,Earnings Quality,0.028413624,0.027453007
ROAStddev20Q,Earnings Quality,0.024833973,0.023994386
CurLiaP,Valuation,0.015686834,0.017750885
ChgATO,Historical Growth,0.016440228,0.01372872
GPMargin,Earnings Quality,0.020878414,0.020172551
EPSSurpC,Analyst Expectations,0.02028172,0.02295036
SP,Valuation,0.020218275,0.022878563
RecTurn,Capital Efficiency,0.01384019,0.015661262
PAdjChg1YFCF,Historical Growth,0.030225076,0.02524002
PTIP,Valuation,0.0115970895,0.013123016
BuyBackChg,Capital Efficiency,0.047369704,0.053602535
ConsQPosChginTTMCF,Historical Growth,0.004192587,0.0035010988
PAdjChg1YOCF,Historical Growth,0.04413756,0.0368579
CashEV,Valuation,0.03113075,0.03522688
InvPEGC,Analyst Expectations,0.019452889,0.022012467
WCapToSales,Earnings Quality,0.030910632,0.029865595
WCAccruals,Earnings Quality,0.010971746,0.010600812
AdjRev3MFY1C,Analyst Expectations,0.012224226,0.013832672
AdjAstAdjChg1YFCF,Historical Growth,0.04507286,0.037638947
AccrualRatioCF,Earnings Quality,0.020553332,0.019858459
CFIC,Earnings Quality,0.02013035,0.019449782
60MAVGTTMEP,Valuation,0.03550852,0.040180676
DivperShareGrowth,Historical Growth,0.028726839,0.02398889
RevMagFY1C,Analyst Expectations,0.0031440614,0.0035577524
Chg1YFCF,Historical Growth,0.008223905,0.0068675275
OEP,Valuation,0.016770799,0.018977473
Chg1YOPM,Historical Growth,0.0034345994,0.002868127
Rev3MFY2C,Analyst Expectations,0.0027894839,0.0031565197
OEA,Earnings Quality,0.025517102,0.02465441
ROA,Capital Efficiency,0.005097843,0.005768609
OCFEV,Valuation,0.024259817,0.027451886
