case,cew_cagr,cew_mdd,cew_sharpe,cew_calmar,elapsed_min
equal_weight(baseline),0.01877975462275283,-0.10225826573930817,0.5160863996794486,0.18365023587070162,0.0
equal_risk_weight,0.02141387120900573,-0.101432552744641,0.5980012082209861,0.21111438714271236,0.0
erw_riskcap,0.020331847121880964,-0.10111267039424286,0.5722481113278346,0.20108110133582838,15.8
