date,cew_return,ew_return,ew_all_return,ew_top50_return,cew_cumulative,ew_cumulative,ew_all_cumulative,ew_top50_cumulative
2012-12-31,-0.0018545718993027024,-0.004232443201326887,-0.0013822506213553756,-0.0023351988159411095,0.9981454281006973,0.9957675567986731,0.9986177493786447,0.9976648011840589
2013-01-31,-0.005671374917387622,-0.004947002550296908,-0.012865697517669271,-0.010594076980901224,0.9924845711558619,0.9908414921556872,0.9857698354793634,0.9870954634791794
2013-02-28,-0.0018067860084392748,-0.0019773928059901758,-0.003862794254109617,0.0018863450399177997,0.9906913639191056,0.9888822093172219,0.981962009422999,0.9889574661106387
2013-03-31,0.0021584070229552334,0.0041480741053217356,0.005335874487723611,0.005863791094115469,0.9928296791165697,0.992984166002904,0.9872016354569931,0.9947565060928774
2013-04-30,5.614711890955706e-05,-0.001357708196619959,-0.004380433916081678,0.000849131295709262,0.99288542364262,0.991635983261608,0.982877263931026,0.9956011849738112
2013-05-31,-0.011340142264679673,-0.010558288549827568,-0.016543808084588055,-0.009863111282288728,0.9816259616859859,0.98116600441394,0.9666167311058461,0.9857814596936361
2013-06-30,0.015624785890606651,0.01505164062087164,0.009258852857715346,0.017862599044868987,0.9969636571619903,0.9959341625017951,0.9755664931889609,1.0033900786540093
2013-07-31,-0.0015111933219454769,-0.003738240789455117,-0.0050358661223230735,-0.0003804227998441829,0.9954570523410647,0.992211120791919,0.9706536709358371,1.003008366190952
2013-08-31,-0.011359763592190358,-0.012155572156014828,-0.005169655125451283,-0.017920588518670996,0.9841488955602916,0.9801502269191325,0.9656357262108455,0.9850338659796595
2013-09-30,-0.010732366266689492,-0.01219154262954233,-0.011723040087099085,-0.01777830518650133,0.9735866491521806,0.9682006836442922,0.9543155398829407,0.9675216332912338
2013-10-31,0.014865598354222171,0.014072993452129387,0.01482175734829535,0.014008861585320428,0.9880595972415098,0.9818261655255655,0.9684601732487932,0.9810755099328138
2013-11-30,-0.006220534554829686,-0.006895407851323122,-0.0036553661009184387,-0.0026438098856258526,0.9819133383746379,0.975056073675166,0.96492009676141,0.978481732801108
2013-12-31,0.01657586478939357,0.015605646448101312,0.012154318814203384,0.012738761388132564,0.9981894011064381,0.9902724540280146,0.9766480432476803,0.9909463781179076
2014-01-31,0.0030818443146363637,0.0019516880574303613,-0.0009863077408305417,0.004980259635661507,1.001265665437168,0.9922051569501433,0.9756847677225581,0.9958815483659531
2014-02-28,-0.012088269348079956,-0.012751993407831438,-0.004498204490945822,-0.01469043848917861,0.9891620963843791,0.9795525633294988,0.971295938118641,0.9812516117371751
2014-03-31,0.004368361947559694,0.0054382120018923626,0.012532514918623906,0.004120968976247343,0.993483114446193,0.9848795778358816,0.9834687189535117,0.9852953191870367
2014-04-30,0.002309250745141371,0.001670436674194794,0.004501647843958171,0.0024878288256831183,0.9957773160685133,0.9865247568023643,0.9878959487917891,0.9877465652839209
2014-05-31,-0.0036007138783809346,-0.00336673346791842,-0.005530690266634557,-0.003759520910352015,0.9921918068667684,0.9832033908867077,0.9824322022833587,0.9840331114176076
2014-06-30,0.003396260586890456,0.0021849040548859605,-0.005144995396913341,0.0021407238264340915,0.9955615487950656,0.9853515959622338,0.9773775931248313,0.9861396545452195
2014-07-31,-0.0176047405495727,-0.019131447517185,-0.0067128967701850055,-0.015093836092413597,0.9780349460273977,0.9665003936181078,0.9708165582366923,0.9712550242352846
2014-08-31,0.004665691451094972,0.005287460154427192,-0.00215719116608317,0.004677701614041496,0.9825981553139499,0.9716107259386019,0.9687223213333769,0.975798265429796
2014-09-30,-0.009502178874137271,-0.011514598531616276,-0.013778566775243776,-0.00974363876864763,0.9732613318807594,0.9604230185004066,0.9553747161422158,0.9662904396203752
2014-10-31,-0.00356286338553104,-0.0027999947148185478,-0.0055419098501041,-0.003896000564757491,0.9697937347168483,0.9577338391246154,0.9500801155922869,0.9625257715218944
2014-11-30,-0.01386415406508165,-0.017355262260810467,-0.016031304970223342,-0.01694001761040749,0.956348364967383,0.9411121171705549,0.9348490915130819,0.9462205680018425
2014-12-31,0.014077542093603027,0.013287789748013104,0.023747731894871966,0.007329635444563281,0.9698113993313597,0.9536174171128247,0.9570496371004993,0.9531560198154436
2015-01-31,0.014344228221788437,0.018515582656889826,0.006712336560768277,0.014304058480956871,0.9837225953754608,0.971274199222427,0.9634736763700789,0.9667900192643598
2015-02-28,-0.0029938923436226735,-0.0026654197145873403,0.0005794515470990164,-0.0026869101024000986,0.9807774358289176,0.9686853458235495,0.9640319626824406,0.9641923413946989
2015-03-31,0.00011073854970765665,0.002696763108154218,-7.92258266509145e-05,0.003258332759914235,0.9808860456997474,0.9712976607275761,0.9639555864532793,0.9673340008875236
2015-04-30,-0.012607727449505586,-0.0063788881714304455,-0.005979943257945806,-0.012440780524673654,0.9685193017765417,0.9651018615686229,0.9581911867431088,0.9552996108884274
2015-05-31,-0.003635741708622305,0.0021140935949369097,-0.01324242609282246,-0.00434968582574102,0.9649980157554668,0.9671421772326267,0.9455024107698693,0.9511443577116101
2015-06-30,-0.0014962733163036046,-0.002180081892276074,0.005311385255805842,-0.004984530119686819,0.963554114974206,0.9650337280847855,0.9505243383337612,0.9464033500124264
2015-07-31,0.012364815013621605,0.01323664013941981,0.013014949409608975,0.012874341615902524,0.9754682833614758,0.9778075322658464,0.9628953645097771,0.9585876700469209
2015-08-31,-0.006726256136542302,-0.01024180260705503,-0.007081868124159313,-0.00954023492181029,0.9689070338345133,0.967793020532688,0.9560762665209545,0.9494425184815225
2015-09-30,0.008664584206574805,0.009995514620802217,0.005249583506284268,0.010926294272992304,0.9773022104175151,0.9774666098193328,0.9610952687204327,0.9598164068337427
2015-10-31,0.0027236058607672765,0.006587413916251376,-0.0003935454269341399,0.005510383524966085,0.9799639964455491,0.9839055869675277,0.9607170340725797,0.9651053633489516
2015-11-30,-0.005509818277634511,-0.004883057094519496,-0.003973170022060957,-0.003334476398290218,0.9745645729065097,0.9791011198107485,0.9568999419531191,0.9618872422930012
2015-12-31,0.0028088103590259146,0.003208609664262607,0.0010840053230072241,0.0075965064548499635,0.977301939974429,0.9822426731260635,0.9579372265837816,0.9691942249379178
2016-01-31,0.00783805247951155,0.0040273769751143365,0.007552784550410801,0.0038988519135323245,0.9849620838682771,0.9861985346517861,0.965172320068987,0.9729729696964016
2016-02-29,0.0017219675825945722,0.0018881758390554598,0.0013924277431439965,0.0021106108596849198,0.986658156646783,0.9880606508974275,0.9665162527843658,0.9750265370124227
2016-03-31,0.00167568656146995,0.004324732256692589,0.003332049874273073,0.009329077034523032,0.9883114864606408,0.9923337486659323,0.9697367331429388,0.9841226346869159
