case,cew_cagr,cew_mdd,cew_sharpe,cew_calmar,win_rate_vs_ew,elapsed_min
off,0.01877975462275283,-0.10225826573930817,0.5160863996794486,0.18365023587070162,0.4171779141104294,0.0
mask_30_40_30,0.0020854282055577933,-0.2533394761360543,0.06583851407180397,0.008231753840202258,0.4723926380368098,0.0
mask_20_60_20,0.010953842463907959,-0.1583053979975615,0.20692978640039073,0.0691943711488391,0.49693251533742333,0.0
mask_eq25_30_40_30,0.01939183003010947,-0.23961982517327254,0.27196806589261896,0.08092748592937565,0.43558282208588955,0.0
mask_sector_eq25_30_40_30,0.00697502125268179,-0.23731442190555363,0.13289624565959868,0.029391476492135436,0.43558282208588955,20.1
