factorId,factorAbbreviation,factorName,factorShortName,styleName,factorOrder
60,Chg3YCF,3Y Chg in Cash Flow per Share,3YChg CFS,Historical Growth,0
61,Chg3YEPS,3Y Chg in Earnings per Share,3YChgEPS,Historical Growth,0
62,Chg3YFCF,3Y Chg in Free Cash Flow per Share,3YChgFCFS,Historical Growth,0
63,Chg3YOCF,3Y Chg in Operating Cash Flow per Share,3YChgOCFS,Historical Growth,0
64,Chg3YOPM,3Y Chg in Operating Margin,3YChgOpMrgn,Historical Growth,0
65,PAdjChg3YCF,3Y Chg in Cash Flow to Price,3YChg CF / Price,Historical Growth,0
66,PAdjChg3YEPS,3Y Chg in Earnings to Price,3YChg EP,Historical Growth,0
67,PAdjChg3YFCF,3Y Chg in Free Cash Flow to Price,3YChg FCF / Price,Historical Growth,0
68,PAdjChg3YOCF,3Y Chg in Operating Cash Flow to Price,3YChg OCF / Price,Historical Growth,0
69,PM9M,9 Month Price Momentum,9M Price Momentum,Price Momentum,0
70,PRatio15To36W,15/36 Week Price Ratio,15 / 36W Price,Price Momentum,0
71,RSI26W,26W Relative Price Strength,26W RSI,Price Momentum,0
72,Beta60M,60M CAPM Beta,60M CAPM Beta,Volatility,0
73,ShortIntRatio,Short Interest Ratio,ShortIntRatio,Price Momentum,1
74,ShortIntTrdVol,Short Interest Trading Volume,Short Interest / ADTV,Price Momentum,1
75,STO,Share Turnover,Share Turnover,Price Momentum,1
76,HL52W,52W High Low,52WHighLow,Price Momentum,1
77,SusGrwRate,Sustainable Growth Rate,Sustainable Growth,Historical Growth,0
78,PAdjChg1YSales,1Y Chg in Sales to Price,1Y Chg Sales / Price,Historical Growth,0
79,PAdjChg3YSales,3Y Chg in Sales to Price,3YChg Sales / Price,Historical Growth,0
80,10DMACD,10 Day MACD Trend,10DMACD,Price Momentum,0
81,Alpha60M,60M CAPM Alpha,60M Alpha,Price Momentum,1
82,Alpha12M6MPChg,6M Chg in 12M CAPM Alpha,6MChg12MAlpha,Price Momentum,0
83,Alpha18M6MPChg,6M Chg in 18M CAPM Alpha,6MChg18MAlpha,Price Momentum,0
84,Alpha36M6MPChg,6M Chg in 36M CAPM Alpha,6MChg36MAlpha,Price Momentum,0
85,4To52WPrcOsc,4W to 52W Price Oscillator,4W / 52W Oscillator,Price Momentum,1
86,39WRtnLag4W,39W Lagged Return,39WLagReturn,Price Momentum,0
87,52WSlope,Slope of 52W Price Trend,52WSlope,Price Momentum,0
88,24MResRtnVar,24M Residual Return Variance,24M Residual Var,Price Momentum,1
89,90DCV,90 Day Coefficient of Variation,90DCV,Volatility,0
90,50To200PrcRatio,50 Day to 200 Day Stock Price,50D / 200D Price Ratio,Price Momentum,0
91,PrcTo52WH,Closing Price to 52 Week High,52WeekHigh,Price Momentum,0
92,PrcTo260DL,Closing Price to 260 Day Low,Close to 260D Low,Price Momentum,1
93,CapExToAst,Capital Expenditure to Total Assets,Capex / Total Assets,Capital Efficiency,1
94,CapExToSales,Capital Expenditure to Sales,Capex / Sales,Earnings Quality,1
95,CashToSales,Cash to Sales,Cash / Sales,Earnings Quality,1
96,DivToCF,Dividends to Cash Flow,Dividends / CF,Valuation,0
97,EPSToOCFChg,1Y Chg in EPS to Operating Cash Flow,1YChg EPS / OCF,Earnings Quality,0
98,ETO,Equity Turnover,Equity Turnover,Earnings Quality,0
99,OPM,Operating Margin,Op Margin,Earnings Quality,0
100,PTIToNOA,Pretax Income to Net Operating Assets,Pretax Inc / NOA,Earnings Quality,0
101,RDInt,Research & Development Intensity,R&D Intensity,Earnings Quality,0
102,REToAst,Retained Earnings to Total Assets,RE / Total Assets,Earnings Quality,0
103,SalesToEPSChg,1Y Chg in Sales to Earnings,1YChg in Sales / Earnings,Earnings Quality,0
104,SalesToInvCap,Sales to Invested Capital,Sales / Invested Capital,Earnings Quality,0
105,SGAToSales,SG&A to Sales,SG&A / Sales,Earnings Quality,1
106,WCapToAst,Working Capital to Total Assets,WC / Total Assets,Earnings Quality,0
107,WCapToSales,Working Capital to Sales,WC / Sales,Earnings Quality,1
108,AstP,Assets to Price Ratio,Asset / Price,Valuation,0
109,CashEV,Cash to EV Ratio,Cash / EV,Valuation,0
110,CashP,Cash to Price,Cash / Price,Valuation,0
111,GFP,Growth Flow to Price,Growth Flow / Price,Valuation,0
112,DivP,Dividends to Price Ratio,Div / Price,Valuation,0
113,IndiDivP,Indicated Annual Dividends to Price Ratio,Indicated Div / Price,Valuation,0
114,NCAP,Net Current Assets to Price Ratio,Net Current Assets/ Price,Valuation,0
115,OEP,Operating Earnings to Price Ratio,Operating E / P,Valuation,0
116,SEV,Sales to EV Ratio,Sales / EV,Valuation,0
117,SP,Sales to Price Ratio,Sales / Price,Valuation,0
118,CACL,Current Ratio,Current Ratio,Earnings Quality,0
119,QuickRatio,Quick Ratio,QuickRatio,Earnings Quality,0
120,CashRatio,Cash Ratio,CashRatio,Earnings Quality,0
121,RecTurn,Receivables Turnover Ratio,Receivables Turnover,Capital Efficiency,0
122,EBITMargin,EBIT Margin,EBIT Margin,Earnings Quality,0
123,GPMargin,Gross Profit Margin,Gross Profit Margin,Earnings Quality,0
124,WCA,Working Capital to Assets Ratio,Working Capital to Assets,Earnings Quality,0
125,OEA,Operating Earnings to Assets Ratio,Operating Earning / Asset,Earnings Quality,0
126,FL,Financial Leverage (Equity Multiplier),Equity Multiplier,Capital Efficiency,0
127,PTMargin,Pretax Profit Margin,Pretax Margin,Capital Efficiency,0
128,TobinQ,Tobin's Q Ratio,Q Ratio,Capital Efficiency,1
129,WCTurn,Working Capital Turnover Ratio,Working Capital Turnover,Capital Efficiency,0
130,DepToCapex,Depreciation to Capex Ratio,Depreciation to Capex,Earnings Quality,0
131,InvToAst,Inventory to Assets Ratio,Inventory to Assets,Earnings Quality,1
132,AccrualRatioBS,Accrual Ratio - Balance Sheet,Accrual Ratio,Earnings Quality,1
133,AccrualRatioCF,Accrual Ratio - Cash Flows,Accrual Ratio - CF,Earnings Quality,1
134,DebtChg1Y,Year over Year Change of Total Debt,Debt Change,Capital Efficiency,1
135,PM6M,6 Months Price Reversal,6 Months Price Reversal,Price Momentum,1
136,SGAToSalesChg1Y,Year over Year Change in SGA to Sales,SGA to Sales 1-Yr Change,Earnings Quality,1
137,InvToAstChg1Y,Year over Year Change of Inventory to Assets,Inv to Ast YoY Chg,Earnings Quality,1
138,EPSToSalesChg1Y,Year over Year Change of EPS to Sales,EPS to Sales 1-Yr Change,Earnings Quality,0
139,AdjAccruals,Adjusted Accruals,Adjusted Accruals,Earnings Quality,1
140,MaxRetPayoff,Max Daily Return in the Past 6 Months,Max Return in 6 Months,Price Momentum,1
141,50DVolSig,50 Day Volume Signal,50 Day Volume Signal,Price Momentum,0
142,LTDA,Long Term Debt to Assets Ratio,LongTerm Debt/Asset Ratio,Capital Efficiency,1
143,SolvencyRatio,Solvency Ratio,Solvency Ratio,Valuation,0
144,RONA,Return on Net Tangible Assets,Rtrn on Net Tangi Asset,Valuation,0
145,IndRel_ROIC,Ind Grp Rel Return on Invested Capital,Ind Rel ROIC,Capital Efficiency,0
146,5YRel_ROIC,5 Yr Hist Rel Return on Invested Capital,5Y Rel ROIC,Capital Efficiency,0
147,IndRel_ROE,Ind Grp Rel Return on Equity,Ind Rel Return on Equity,Capital Efficiency,0
148,5YRel_ROE,5 Yr Hist Rel Return on Equity,5Y Rel Return on Equity,Capital Efficiency,0
149,IndRel_ROA,Ind Grp Rel Return on Assets,Ind Rel ROA,Capital Efficiency,0
150,5YRel_ROA,5 Yr Hist Rel Return on Assets,5Y Rel ROA,Capital Efficiency,0
151,IndRel_CFROIC,Ind Grp Rel Cash Flow Return on Invested Capital,Ind Rel CF ROIC,Capital Efficiency,0
152,IndRel_DA,Ind Grp Rel Debt to Assets Ratio,Ind Rel Debt to Ast,Capital Efficiency,1
153,IndRel_LTDE,Ind Grp Rel Long Term Debt to Equity Ratio,Ind Rel LTD to Equity,Capital Efficiency,1
154,IndRel_CapAcqRatio,Ind Grp Rel Capital Acquisition Ratio,Ind Rel Cap Acq Ratio,Capital Efficiency,0
155,IndRel_IntCovRatio,Ind Grp Rel Interest Coverage Ratio,Ind Rel Int Cov,Capital Efficiency,0
156,IndRel_ShareChg,Ind Grp Rel 1Y Chg in Shares Outstanding,Ind Rel 1Y Shares Chg,Capital Efficiency,1
157,IndRel_BuyBackChg,Ind Grp Rel 1Y Chg in Stock Buybacks,Ind Rel Buybacks,Capital Efficiency,0
158,IndRel_CashCycle,Ind Grp Rel Cash Conversion Cycle,Ind Rel Cash Cycle,Earnings Quality,1
159,IndRel_NetProfitMargin,Ind Grp Rel Net Profit Margin,Ind Rel Profit Margin,Earnings Quality,0
160,5YRel_NetProfitMargin,5 Yr Hist Rel Net Profit Margin,5Y Rel Net Profit Margin,Earnings Quality,0
161,IndRel_WCAccruals,Ind Grp Rel Working Capital Accruals,Ind Rel WC Accruals,Earnings Quality,1
162,IndRel_TotalAccruals,Ind Grp Rel Balance Sheet Accruals,Ind Rel BSAccruals,Earnings Quality,1
163,IndRel_ChgDeprCapex,Ind Grp Rel Change in TTM Depr. to Capex,Ind Rel TTM Depr to Capex,Earnings Quality,1
164,IndRel_InvToAsset,Ind Grp Rel Asset Adjusted Capital Investments,Ind Rel Cap Inv to Assets,Earnings Quality,1
165,IndRel_ChgSalesMargin,Ind Grp Rel Sales to Gross Profit Margin Growth,Ind Rel Sales to GPM chg,Earnings Quality,1
166,5YRel_ChgSalesMargin,5 Yr Hist Rel Sales to Gross Profit Margin Growth,5Y Rel Sales to GPM Grwth,Earnings Quality,1
167,IndRel_BP,Ind Grp Rel Book to Price,Ind Rel Book to Price,Valuation,0
168,5YRel_BP,5 Yr Hist Rel Book to Price,5Y Rel Book to Price,Valuation,0
169,IndRel_CashAst,Ind Grp Rel Cash to Total Assets,Ind Rel Cash to Assets,Valuation,0
170,5YRel_CashAst,5 Yr Hist Rel Cash to Total Assets,5Y Rel Cash to Tot Assets,Valuation,0
171,IndRel_AssetTurn,Ind Grp Rel Asset Turnover,Ind Rel Asset Turn,Earnings Quality,0
172,IndRel_InvTurn,Ind Grp Rel Inventory Turnover,Ind Rel InvTurns,Earnings Quality,0
173,IndRel_PM12M1M,Ind Grp Rel 12M - 1M Price Momentum,IndRel 12Mminus1M Prc Mom,Price Momentum,0
174,IndRel_PM1M,Ind Grp Rel 1M Price Reversal,Ind Rel 1M Price Rev,Price Momentum,1
175,IndRel_FCFP,Ind Grp Rel Free Cash Flow to Price,Ind Rel FCF / Price,Valuation,0
176,5YRel_FCFP,5 Yr Hist Rel Free Cash Flow to Price,5Y Rel FCF / Price,Valuation,0
177,IndRel_FCFEV,Ind Grp Rel Free Cash Flow to Enterprise Value,Ind Rel FCF / EV,Valuation,0
178,5YRel_FCFEV,5 Yr Hist Rel Free Cash Flow to Enterprise Value,5Y Rel FCF / EV,Valuation,0
179,IndRel_OCFEV,Ind Grp Rel Operating Cash Flow to Enterprise Value,Ind Rel OCF / EV,Valuation,0
180,5YRel_OCFEV,5 Yr Hist Rel Operating Cash Flow to Enterprise Value,5Y Rel OCF / EV,Valuation,0
181,IndRel_OEP,Ind Grp Rel Operating Earnings to Price Ratio,Ind Rel Op E / P,Valuation,0
182,5YRel_OCFP,5 Yr Hist Rel Operating Cash Flow to Price,5Y Rel OCF / Price,Valuation,0
183,IndRel_FCFEqt,Ind Grp Rel Free Cash Flow to Common Equity,Ind Rel FCF / Equity,Valuation,0
184,5YRel_FCFEqt,5 Yr Hist Rel Free Cash Flow to Common Equity,5Y Rel FCF / Equity,Valuation,0
185,IndRel_EBITDAEV,Ind Grp Rel EBITDA to Enterprise Value,Ind Rel EBITDA / EV,Valuation,0
186,5YRel_EBITDAEV,5 Yr Hist Rel EBITDA to Enterprise Value,5Y Rel EBITDA / EV,Valuation,0
187,IndRel_EP,Ind Grp Rel Earnings to Price,Ind Rel E / P,Valuation,0
188,5YRel_EP,5 Yr Hist Rel Earnings to Price,5Y Rel E / P,Valuation,0
189,IndRel_CFEV,Ind Grp Rel Net Cash Flow to Enterprise Value,Ind Rel NCF / EV,Valuation,0
190,5YRel_CFEV,5 Yr Hist Rel Net Cash Flow to Enterprise Value,5Y Rel NCF / EV,Valuation,0
191,IndRel_CFP,Ind Grp Rel Net Cash Flow to Price,Ind Rel NCF / Price,Valuation,0
192,5YRel_CFP,5 Yr Hist Rel Net Cash Flow to Price,5Y Rel NCF / Price,Valuation,0
193,IndRel_EBITDAP,Ind Grp Rel EBITDA to Price,Ind Rel EBITDA / P,Valuation,0
194,5YRel_EBITDAP,5 Yr Hist Rel EBITDA to Price,5Y Rel EBITDA / Price,Valuation,0
195,IndRel_PTIP,Ind Grp Rel Pretax Income Per Share to Price,Ind Rel PreTaxInc / Price,Valuation,0
196,5YRel_PTIP,5 Yr Hist Rel Pretax Income Per Share to Price,5Y Rel PreTaxInc / Price,Valuation,0
197,IndRel_Chg1YEPS,Ind Grp Rel 1Y Chg in Earnings per Share,Ind Rel 1YChgEPS,Historical Growth,0
198,5YRel_Chg1YEPS,5 Yr Hist Rel 1Y Chg in Earnings per Share,5Y Rel 1YChgEPS,Historical Growth,0
199,IndRel_Chg1YFCF,Ind Grp Rel 1Y Chg in Free Cash Flow per Share,Ind Rel 1YChgFCFS,Historical Growth,0
200,IndRel_Chg1YOCF,Ind Grp Rel 1Y Chg in Operating Cash Flow per Share,Ind Rel 1YChgOCFS,Historical Growth,0
201,IndRel_Chg1YOPM,Ind Grp Rel 1Y Chg in Operating Margin,Ind Rel 1YChgOpMrgn,Historical Growth,0
202,IndRel_PAdjChg1YCF,Ind Grp Rel 1Y Chg in Cash Flow to Price,Ind Rel 1YChg CF / Price,Historical Growth,0
203,IndRel_PAdjChg1YEPS,Ind Grp Rel 1Y Chg in Earnings to Price,Ind Rel 1YChg EP,Historical Growth,0
204,IndRel_PAdjChg1YFCF,Ind Grp Rel 1Y Chg in Free Cash Flow to Price,Ind Rel 1YChg FCF / Price,Historical Growth,0
205,IndRel_PM9M,Ind Grp Rel 9M Price Momentum,Ind Rel 9M Price Momentum,Price Momentum,0
206,IndRel_ShortIntRatio,Ind Grp Rel Short Interest Ratio,Ind Rel ShortIntRatio,Price Momentum,1
207,IndRel_ShortIntTrdVol,Ind Grp Rel Short Interest Trading Volume,IndRel Short Int / ADTV,Price Momentum,1
208,IndRel_SusGrwRate,Ind Grp Rel Sustainable Growth Rate,Ind Rel Sustainable Grwth,Historical Growth,0
209,IndRel_PAdjChg1YSales,Ind Grp Rel 1Y Chg in Sales to Price,IndRel 1YChg Sale / Price,Historical Growth,0
210,IndRel_PAdjChg3YSales,Ind Grp Rel 3Y Chg in Sales to Price,IndRel 3YChg Sale / Price,Historical Growth,0
211,IndRel_CapExToAst,Ind Grp Rel Capital Expenditure to Total Assets,Ind Rel CapEx / Ast,Capital Efficiency,1
212,IndRel_OPM,Ind Grp Rel Operating Margin,Ind Rel Op Margin,Earnings Quality,0
213,5YRel_OPM,5 Yr Hist Rel Operating Margin,5Y Rel Op Margin,Earnings Quality,0
214,IndRel_SGAToSales,Ind Grp Rel SG&A to Sales,Ind Rel SG&A / Sales,Earnings Quality,1
215,IndRel_WCapToSales,Ind Grp Rel Working Capital to Sales,Ind Rel WC / Sales,Earnings Quality,1
216,IndRel_AstP,Ind Grp Rel Assets to Price Ratio,Ind Rel Asset / Price,Valuation,0
217,5YRel_AstP,5 Yr Hist Rel Assets to Price Ratio,5Y Rel Asset / Price,Valuation,0
218,IndRel_CashEV,Ind Grp Rel Cash to EV Ratio,Ind Rel Cash / EV,Valuation,0
219,IndRel_CashP,Ind Grp Rel Cash to Price,Ind Rel Cash / Price,Valuation,0
220,IndRel_GFP,Ind Grp Rel Growth Flow to Price,Ind Rel Growth Flow,Valuation,0
221,5YRel_GFP,5 Yr Hist Rel Growth Flow to Price,5Y Rel Grwth Flow / Price,Valuation,0
222,IndRel_IndiDivP,Ind Grp Rel Indicated Annual Dividends to Price Ratio,Ind Rel Indi Div / P,Valuation,0
223,5YRel_IndiDivP,5 Yr Hist Rel Indicated Annual Dividends to Price Ratio,5Y Rel Indi Div / P,Valuation,0
224,IndRel_NCAP,Ind Grp Rel Net Current Assets to Price Ratio,Ind Rel NCA / Price,Valuation,0
225,5YRel_OEP,5 Yr Hist Rel Operating Earnings to Price Ratio,5Y Rel Operating E / P,Valuation,0
226,IndRel_SEV,Ind Grp Rel Sales to EV Ratio,Ind Rel Sales / EV,Valuation,0
227,5YRel_SEV,5 Yr Hist Rel Sales to EV Ratio,5Y Rel Sales / EV,Valuation,0
228,IndRel_SP,Ind Grp Rel Sales to Price Ratio,Ind Rel Sales / Price,Valuation,0
229,5YRel_SP,5 Yr Hist Rel Sales to Price Ratio,5Y Rel Sales / Price,Valuation,0
230,5YRel_NCAP,5 Yr Hist Rel Net Current Assets to Price Ratio,5YRel Net Cur Ast / Prc,Valuation,0
231,IndRel_OCFP,Ind Grp Rel Operating Cash Flow to Price,Ind Rel OCF / Price,Valuation,0
232,YoYChgDA,1Y Chg in Debt to Assets,1Yr Chg Debt Asset,Volatility,1
233,BookLev,Book Leverage,BookLev,Volatility,0
234,130DMinRtn,130 Day Minimum Return,130DMinRtn,Volatility,0
235,Adj50DVolSig,Adj 50 Day Volume Signal,Adj 50 Day Volume Signal,Volatility,0
236,FCFSales,Free Cash Flow to Sales,FCFSales,Earnings Quality,0
237,EPSStab,EPS Stability,EPS Stability,Historical Growth,0
238,OCFStab,Operating Cash Flow Stability,OCF Stability,Earnings Quality,0
239,AdjAstAdjChg1YFCF,Adj 1Y Chg in Asset Adjusted FCF,Adj 1Y Chg FCF / Assets,Historical Growth,0
240,SalesAcc,Sales Acceleration,SalesAcc,Historical Growth,0
241,AdjAstAdjChg3YFCF,Adjusted 3Y Chg in Asset Adjusted Free Cash Flow,Adj Ast Adj Chg 3Y FCF,Historical Growth,0
242,AdjChgEPS,Adj 1Y Chg in Earnings per Share,Adj 1Y Chg in EPS,Historical Growth,0
243,AdjFCFP,Adj Free Cash Flow to Price,Adjusted FCFP,Valuation,0
244,AdjEBITDAEV,Adj. EBITDA to Enterprise Value,Adj. EBITDA to EV,Valuation,0
245,AdjGFP,Adj Growth Flow to Price,Adj GFP,Valuation,0
246,CashBurn,Cash Burn Rate,Cash Burn Rate,Earnings Quality,0
247,StdErr180D,180D Price TStat,180D Price TStat,Price Momentum,0
248,ChgNonPerfLnGL,Change in Non Performing Loans to Total Gross Loans,ChgNonPerfLnGL,Earnings Quality,1
249,ProvChgOffSales,Provisions and Charge Offs To Sales,ProvChgOffSales,Earnings Quality,1
250,FCFStab,Free Cash Flow Stability,FCF Stability,Earnings Quality,0
251,CFEqt,Cash Flow to Equity,CFEqt,Valuation,0
252,CFIC,Cash Flow to Invested Capital,CFIC,Earnings Quality,0
253,CashAdjEV,Cash to Adjusted Enterprise Value,Cash to Adj EV,Valuation,0
254,RskAdjRS,Risk Adjusted Relative Strength,RskAdjRS,Price Momentum,0
255,RelPrStr_12M,12 month Relative Price Strength,RelPrStr_12M,Price Momentum,0
256,ChgNonPerAsttoAst,Change in Non performing Asset to Total Asset,ChgNonPerAsttoAst,Earnings Quality,1
257,ChgChgOfftoGL,Change in Net Charge off to Gross Loan,ChgChgOfftoGL,Earnings Quality,1
258,ChgNonPerAsttoResLnLos,Change in Non performing Asset to Reserve Loan Loss,ChgNonPerAsttoResLnLos,Earnings Quality,1
259,AdjChgEPStoSales,Change EPS to Sales,Chg EPS to Sales,Earnings Quality,0
260,OCFAst,Operating Cash Flow to Asset,OCFAst,Earnings Quality,0
261,CFAst,Cash Flow to Total Asset,CFAst,Earnings Quality,0
262,ChgSalestoChgEPS,Change of Sales to Change of EPS,ChgSalestoChgEPS,Earnings Quality,1
263,OCFIC,Operating Cash Flow to Invested Capital,OCFIC,Earnings Quality,0
264,ChgATO,Change of Asset Turnover,Chg in Asset Turnover,Historical Growth,0
265,FCFP_BK,Banking FCF to Price,Banks for FCFP,Valuation,0
266,BVEV,Adjusted Book to Enterprise Value,AdjBVEV,Valuation,0
267,IndRelEBITP,Adjusted Industry Relative EBIT to Price,AdjIndRelEBITP,Valuation,0
268,OCFEqt,Operating Cash Flow to Equity,OCFEqt,Capital Efficiency,0
269,EBITDAMargin,EBITDA Margin,EBITDAMargin,Earnings Quality,0
270,CurLiaP,Current Liability to Price,CurLiaP,Valuation,0
271,AdjIntCov,Adjusted Interest Coverage Ratio,Adjusted Interest Cov.,Capital Efficiency,0
272,OCFRatio,Operating Cash Flow Ratio,OCFRatio,Capital Efficiency,0
273,NonPerfAstResLnLs,Non Performing Asset to Reserve Loan Loss,NonPerfAstResLnLs,Earnings Quality,1
274,FinLev,Degree of Financial Leverage,Financial Leverage,Capital Efficiency,0
275,5DVolSig,5 Day Volume Signal,5D Volume Signal,Price Momentum,0
276,IndRelRtn4W,4 Week Industry Relative Return,IndRelRtn4W,Price Momentum,1
277,CVVolPrc20D,20 Day Coefficient of Variation of Volume to Price,CVVolPrc20D,Price Momentum,0
278,CVVolPrc60D,60 Day Coefficient of Variation of Volume to Price,CVVolPrc60D,Price Momentum,0
279,STO_6M,6 Month Average Share Turn Over,STO_6M,Price Momentum,1
280,PSlopeSERR_26W,26W Price Stat,PSlopeSERR_26W,Price Momentum,0
281,CVVolPrc30D,30 Day Coefficient of Variation of Volume to Price,CVVolPrc30D,Price Momentum,0
282,IndRel_CACL,Ind Grp Rel Current Ratio,Ind Rel Current Ratio,Earnings Quality,0
283,IndRel_QuickRatio,Ind Grp Rel Quick Ratio,Ind Rel QuickRatio,Earnings Quality,0
284,IndRel_CashRatio,Ind Grp Rel Cash Ratio,Ind Rel CashRatio,Earnings Quality,0
285,IndRel_RecTurn,Ind Grp Rel Receivables Turnover Ratio,IndRel ReceivableTurnover,Capital Efficiency,0
286,IndRel_EBITMargin,Ind Grp Rel EBIT Margin,Ind Rel EBIT Margin,Earnings Quality,0
287,IndRel_GPMargin,Ind Grp Rel Gross Profit Margin,Ind Rel Gross Prof Margin,Earnings Quality,0
288,IndRel_WCA,Ind Grp Rel Working Capital to Assets Ratio,IndRel Work Capital / Ast,Earnings Quality,0
289,IndRel_OEA,Ind Grp Rel Operating Earnings to Assets Ratio,IndRel Operate Earn / Ast,Earnings Quality,0
290,IndRel_PTMargin,Ind Grp Rel Pretax Profit Margin,Ind Rel Pretax Margin,Capital Efficiency,0
291,IndRel_TobinQ,Ind Grp Rel Tobin's Q Ratio,Ind Rel Q Ratio,Capital Efficiency,1
292,IndRel_WCTurn,Ind Grp Rel Working Capital Turnover Ratio,IndRel Work Capital Turn,Capital Efficiency,0
293,IndRel_DepToCapex,Ind Grp Rel Depreciation to Capex Ratio,IndRel Depreciate / Capex,Earnings Quality,0
294,IndRel_InvToAst,Ind Grp Rel Inventory to Assets Ratio,IndRel Inventory to Asset,Earnings Quality,1
295,IndRel_AccrualRatioBS,Ind Grp Rel Accrual Ratio - Balance Sheet,Ind Rel Accrual Ratio,Earnings Quality,1
296,IndRel_AccrualRatioCF,Ind Grp Rel Accrual Ratio - Cash Flows,Ind Rel Accrual Ratio-CF,Earnings Quality,1
297,IndRel_DebtChg1Y,Ind Grp Rel Year over Year Change of Total Debt,Ind Rel Debt Change,Capital Efficiency,1
298,IndRel_PM6M,Ind Grp Rel Price Momentum - 6 Months,Ind Rel 6M Price Mom,Price Momentum,1
299,IndRel_SGAToSalesChg1Y,Ind Grp Rel YoY Change in SGA to Sales,IndRel SGA / Sales 1Y Chg,Earnings Quality,1
300,IndRel_InvToAstChg1Y,Ind Grp Rel Year over Year Change of Inventory to Assets,IndRel YoY Chg Inv / Ast,Earnings Quality,1
301,IndRel_EPSToSalesChg1Y,Ind Grp Rel Year over Year Change of EPS to Sales,IndRel EPS / Sales 1Y Chg,Earnings Quality,0
302,IndRel_AdjAccruals,Ind Grp Rel Adjusted Accruals,Ind Rel Adjusted Accruals,Earnings Quality,1
303,IndRel_MaxRetPayoff,Ind Grp Rel Max Daily Return in the Past 6 Months,IndRel Max Return in 6M,Price Momentum,1
304,IndRel_50DVolSig,Ind Grp Rel 50 Day Volume Signal,IndRel 50D Volume Signal,Price Momentum,0
305,IndRel_LTDA,Ind Grp Rel Long Term Debt to Assets Ratio,IndRel LT Debt/Ast Ratio,Capital Efficiency,1
306,IndRel_SolvencyRatio,Ind Grp Rel Solvency Ratio,Ind Rel Solvency Ratio,Valuation,0
307,IndRel_RONA,Ind Grp Rel Return on Net Tangible Assets,IndRel Rtn Net Tangi Ast,Valuation,0
308,5YRel_CACL,5 Yr Hist Rel Current Ratio,5Y Rel Current Ratio,Earnings Quality,0
309,5YRel_QuickRatio,5 Yr Hist Rel Quick Ratio,5Y Rel QuickRatio,Earnings Quality,0
310,5YRel_CashRatio,5 Yr Hist Rel Cash Ratio,5Y Rel CashRatio,Earnings Quality,0
311,5YRel_RecTurn,5 Yr Hist Rel Receivables Turnover Ratio,5YRel Receivable Turnover,Capital Efficiency,0
312,5YRel_EBITMargin,5 Yr Hist Rel EBIT Margin,5Y Rel EBIT Margin,Earnings Quality,0
313,5YRel_GPMargin,5 Yr Hist Rel Gross Profit Margin,5YRel Gross Profit Margin,Earnings Quality,0
314,5YRel_WCA,5 Yr Hist Rel Working Capital to Assets Ratio,5YRel Work Capital / Ast,Earnings Quality,0
315,5YRel_OEA,5 Yr Hist Rel Operating Earnings to Assets Ratio,5YRel Operate Earn / Ast,Earnings Quality,0
316,5YRel_PTMargin,5 Yr Hist Rel Pretax Profit Margin,5Y Rel Pretax Margin,Capital Efficiency,0
317,5YRel_TobinQ,5 Yr Hist Rel Tobin's Q Ratio,5Y Rel Q Ratio,Capital Efficiency,1
318,5YRel_WCTurn,5 Yr Hist Rel Working Capital Turnover Ratio,5YRel Work Cap Turnover,Capital Efficiency,0
319,5YRel_DepToCapex,5 Yr Hist Rel Depreciation to Capex Ratio,5YRel Depreciate / Capex,Earnings Quality,0
320,5YRel_InvToAst,5 Yr Hist Rel Inventory to Assets Ratio,5YRel Inventory to Assets,Earnings Quality,1
321,5YRel_AccrualRatioBS,5 Yr Hist Rel Accrual Ratio - Balance Sheet,5Y Rel Accrual Ratio,Earnings Quality,1
322,5YRel_AccrualRatioCF,5 Yr Hist Rel Accrual Ratio - Cash Flows,5Y Rel Accrual Ratio - CF,Earnings Quality,1
323,5YRel_AdjAccruals,5 Yr Hist Rel Adjusted Accruals,5Y Rel Adjusted Accruals,Earnings Quality,1
324,5YRel_LTDA,5 Yr Hist Rel Long Term Debt to Assets Ratio,5YRel LT Debt / Ast Ratio,Capital Efficiency,1
325,5YRel_SolvencyRatio,5 Yr Hist Rel Solvency Ratio,5Y Rel Solvency Ratio,Valuation,0
326,5YRel_RONA,5 Yr Hist Rel Return on Net Tangible Assets,5YRel Rtn Net Tangi Ast,Valuation,0
327,3MSalesMom,3M Momentum in Trailing 12M Sales,3M Momentum in 12M Sales,Historical Growth,0
328,6MTTMSalesMom,6M Momentum in Trailing 12M Sales,6M Momentum in 12M Sales,Historical Growth,0
329,Chg4QSalesTrend,Change in Slope of 4-Quarter Trendline through Quarterly Sales,Chg Slope Trend thru Sale,Historical Growth,0
330,4WChgFwd12MEPS,4-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,4W Chag Earning Est/Price,Valuation,0
331,8WChgFwd12MEPS,8-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,8W Chg Earning Est/Price,Valuation,0
332,FY2OverFY1Growth,Expected Earnings Growth: Fiscal Year 2/Fiscal Year 1,FY2 / FY1 Earnings Growth,Historical Growth,0
333,12QTTMCFTrend,12-Quarter Trendline in Trailing 12-Month Cash Flows,12Q TrendLine TTM CF,Historical Growth,0
