factorId,factorAbbreviation,factorName,factorShortName,styleName,factorOrder
441,INS_CombinedRatio,Combined Ratio,Insur: Combined Ratio,Earnings Quality,1
442,HB_1YGTotHRevConstinProg,1 Yr Grw Tot Home Rev to Const in Prog,HomBld: 1Y Gr Rev/ConstIP,Historical Growth,0
443,HB_DelivHomeValGrtoMktCap,Deliv Homes Value Grw to Mkt Cap,HomBld: DelivHm Grw/MCap,Valuation,0
444,HB_1YrGrTotHomeRevtoInv,1 Yr Grw Tot Home Rev to Inventory,HomBld: 1Y Grw Rev/Invty,Historical Growth,0
445,HB_HomeGM,Home Gross Margin,Hombld: Home Gross Margin,Earnings Quality,0
446,HB_1YGrHouseSalesRev,1 Yr Grw House Sales Revenue,HomBld: 1Y Grw Sales Revs,Historical Growth,0
447,HB_1YGrNetNewOrders,1 Yr Grw Net New Orders,HomBld: 1Y Grw New Orders,Historical Growth,0
448,HB_BacklogHomesValueGr,Backlog Homes Value Grw,HomBld: Backlog Value Grw,Historical Growth,0
449,AIR_1YGrRPC,1 Yr Grw Revenue Passengers Carried,AirLn: 1Y Gr RevPassCarry,Historical Growth,0
450,AIR_1YGrRPM,1 Yr Grw Revenue Passenger Miles,Airln: 1Y Gr RevPassMiles,Historical Growth,0
451,AIR_PassengerLF,Passenger Load Factor,Airln: Pssngr Load Factor,Capital Efficiency,0
452,AIR_TotProfittoASM,Total Profit per Available Seat Mile,Airln: Prft/AvailSeatMil,Earnings Quality,0
453,AIR_OpExptoASM,Operating Exp per Available Seat Miles,Airln: OpExp/AvailSeatMil,Earnings Quality,1
454,AIR_FuelConstoASM,Fuel Consumed per Available Seat Mile,Airln: Fuel/AvailSeatMile,Earnings Quality,1
455,AIR_AvgAgeofAircraft,Average Age of Aircraft,Airln: Avg Aircraft Age,Earnings Quality,1
456,TEL_1YrGrBroadbandSubs,1 Yr Grw Broadband Subscribers,Telcm: 1Y Gr Brdbnd Subsc,Historical Growth,0
457,TEL_1YrGrNetSubsAdds,1 Yr Grw Net Wireless Subs Additions,Telcm: 1Y Gr Net Wrls Add,Historical Growth,0
458,TEL_WirelessPenetrateRate,Wireless Penetration Rate,Telcm: Wrlss Pntrtn Rate,Earnings Quality,0
459,TEL_ChurnRate,Churn Rate,Telcm: Churn Rate,Earnings Quality,1
460,TEL_1YrGrChurnRate,1 Yr Grw Churn Rate,Telcm: 1Y Grw Churn Rate,Historical Growth,1
461,PB_PatentstoMktCap,Number of Patents to Mkt Cap,PhrmBio: Patents/MCap,Valuation,0
462,PB_1YGrNumPatents,1 Yr Grw Number of Patents,PhrmBio: 1Y Grw # Patents,Historical Growth,0
463,PB_1YGrNumPatentApps,1 Yr Grw Num of Patent Applications,PhrmBio: 1Y Gr # Ptnt App,Historical Growth,0
464,PB_1YGrNumProdsinPh3,1 Yr Grw Num of Products in Phase 3,PhrmBio: 1Y Gr # Prod Ph3,Historical Growth,0
465,HF_1YChgAdmissions,1 Yr Chg in Admissions,Hosp: 1Y Chg Admissions,Historical Growth,0
466,HF_PatientDaysGr,Patient Days Growth,Hosp: Patient Days Growth,Historical Growth,0
467,HF_1YGrAvgLengthofStay,1 Yr Grw Avg Length of Stay,Hosp: 1Y Gr Av Lngth Stay,Historical Growth,0
468,HF_FacilitiesGr,Hospitals and Facilities Growth,Hosp: Hosp & Facil Growth,Historical Growth,0
469,HF_TotRevperFacility,Total Revenue per Facility,Hosp: Tot Rev/Facility,Capital Efficiency,0
470,HF_SurgeriesGr,Surgeries Growth,Hosp: Surgeries Growth,Historical Growth,0
471,HF_LicensedBedsGr,Licensed Beds Growth,Hosp: Licensed Beds Grwth,Historical Growth,0
472,MH_MedicalLossRatio,Medical Loss Ratio,MgHlth: Medical Lss Ratio,Earnings Quality,1
473,MH_1YGrHealthcarePremiums,1 Yr Grw Healthcare Premiums,MgHlth: 1Y Gr HC Premiums,Historical Growth,0
474,MH_1YGrEnrollment,1 Yr Grw Total Enrollments,MgHlth: 1Y Gr Enrollments,Historical Growth,0
