factor,style,raw_weight,prev_weight,new_weight,weight_within_style
6MChgTgtPrcGapEMA,Analyst Expectations,0.026315785944461823,,0.026315785944461823,0.14285714285714285
EBITEstDisp,Analyst Expectations,0.026315785944461823,,0.026315785944461823,0.14285714285714285
EPSEstDispFY1C,Analyst Expectations,0.026315785944461823,,0.026315785944461823,0.14285714285714285
EPSEstDispFY2C,Analyst Expectations,0.026315785944461823,,0.026315785944461823,0.14285714285714285
EPSNumRevFY1C,Analyst Expectations,0.026315785944461823,,0.026315785944461823,0.14285714285714285
Rev3MFY1C,Analyst Expectations,0.026315785944461823,,0.026315785944461823,0.14285714285714285
Rev3MFY2C,Analyst Expectations,0.026315785944461823,,0.026315785944461823,0.14285714285714285
AdjIntCov,Capital Efficiency,0.026315785944461823,,0.026315785944461823,0.2
DebtChg1Y,Capital Efficiency,0.026315785944461823,,0.026315785944461823,0.2
FinLev,Capital Efficiency,0.026315785944461823,,0.026315785944461823,0.2
IntCovRatio,Capital Efficiency,0.026315785944461823,,0.026315785944461823,0.2
ShareChg,Capital Efficiency,0.026315785944461823,,0.026315785944461823,0.2
CapExToSales,Earnings Quality,0.026315785944461823,,0.026315785944461823,0.14285714285714285
DepToCapex,Earnings Quality,0.026315785944461823,,0.026315785944461823,0.14285714285714285
EPSToOCFChg,Earnings Quality,0.026315785944461823,,0.026315785944461823,0.14285714285714285
InvToAsset,Earnings Quality,0.026315785944461823,,0.026315785944461823,0.14285714285714285
InvToAst,Earnings Quality,0.026315785944461823,,0.026315785944461823,0.14285714285714285
InvToAstChg1Y,Earnings Quality,0.026315785944461823,,0.026315785944461823,0.14285714285714285
SalesToEPSChg,Earnings Quality,0.026315785944461823,,0.026315785944461823,0.14285714285714285
3YAvgAnnSalesGrw,Historical Growth,0.026315785944461823,,0.026315785944461823,0.25
DIVIDENDGROWTH,Historical Growth,0.026315785944461823,,0.026315785944461823,0.25
DivperShareGrowth,Historical Growth,0.026315785944461823,,0.026315785944461823,0.25
TTMOverheadtoSales,Historical Growth,0.026315785944461823,,0.026315785944461823,0.25
50DVolSig,Price Momentum,0.026315785944461823,,0.026315785944461823,0.1111111111111111
Alpha12M6MPChg,Price Momentum,0.026315785944461823,,0.026315785944461823,0.1111111111111111
Alpha36M6MPChg,Price Momentum,0.026315785944461823,,0.026315785944461823,0.1111111111111111
Alpha60M,Price Momentum,0.026315785944461823,,0.026315785944461823,0.1111111111111111
Chg1YTurnover,Price Momentum,0.026315785944461823,,0.026315785944461823,0.1111111111111111
IO_TO,Price Momentum,0.026315785944461823,,0.026315785944461823,0.1111111111111111
PM1M,Price Momentum,0.026315785944461823,,0.026315785944461823,0.1111111111111111
STO,Price Momentum,0.026315785944461823,,0.026315785944461823,0.1111111111111111
STO_6M,Price Momentum,0.026315785944461823,,0.026315785944461823,0.1111111111111111
DivToCF,Valuation,0.026315785944461823,,0.026315785944461823,0.3333333333333333
InvPEGYC,Valuation,0.026315785944461823,,0.026315785944461823,0.3333333333333333
OCFEV,Valuation,0.026315785944461823,,0.026315785944461823,0.3333333333333333
90DCV,Volatility,0.026315785944461823,,0.026315785944461823,0.3333333333333333
Beta60M,Volatility,0.026315785944461823,,0.026315785944461823,0.3333333333333333
YoYChgDA,Volatility,0.026315785944461823,,0.026315785944461823,0.3333333333333333
