factor,weight
3YAvgAnnSalesGrw,0.030818558913651716
50DVolSig,0.026936834402098153
6MChgTgtPrcGapEMA,0.04208342687886423
AdjAccruals,0.02131605685271637
AdjIntCov,0.05597105937480772
AssetTurn,0.01799763720671273
Beta60M,0.06446326457979538
CapExToSales,0.01863544415217835
DA,0.055288351505834735
DIVIDENDGROWTH,0.04890926132164721
DepToCapex,0.020493557466725695
DivperShareGrowth,0.042462750834328815
EPSNumRevFY1C,0.04228117273646137
ETO,0.02327244332433038
IntCovRatio,0.05702898965466871
InvToAsset,0.012083852539842597
InvToAstChg1Y,0.018458040242047568
LTDE,0.0357785482019521
OCFEV,0.041092626329493814
ROAStddev20Q,0.015285364195575
ROEStddev20Q,0.015737991618814035
RecTurn,0.04597913799270008
Rev3MFY1C,0.04495704500514316
Rev3MFY2C,0.03878846724827482
RevMagFY1C,0.042361545873827296
STO_6M,0.03475289011161608
SalesToEPSChg,0.012257976331899186
SalesToInvCap,0.024823302148788865
UnexpectedInvChg,0.028591898908362827
UnexpectedRecChg,0.02109250404684102
