factor,weight
3YAvgAnnSalesGrw,0.03947367852455751
50DVolSig,0.03947367852455751
6MChgTgtPrcGapEMA,0.03947367852455751
90DCV,0.03947367852455751
AdjAccruals,0.025000010803340737
AdjIntCov,0.03947367852455751
AssetTurn,0.025000010803340737
Beta60M,0.03947367852455751
CapExToSales,0.025000010803340737
DIVIDENDGROWTH,0.03947367852455751
DepToCapex,0.025000010803340737
DivperShareGrowth,0.03947367852455751
EPSEstDispFY1C,0.03947367852455751
EPSNumRevFY1C,0.03947367852455751
ETO,0.025000010803340737
IntCovRatio,0.03947367852455751
InvPEGYC,0.03947367852455751
InvToAsset,0.025000010803340737
InvToAstChg1Y,0.025000010803340737
OCFEV,0.03947367852455751
Rev3MFY1C,0.03947367852455751
Rev3MFY2C,0.03947367852455751
RevMagFY1C,0.03947367852455751
STO,0.03947367852455751
STO_6M,0.03947367852455751
SalesToEPSChg,0.025000010803340737
SalesToInvCap,0.025000010803340737
ShareChg,0.03947367852455751
UnexpectedRecChg,0.025000010803340737
