factor,weight
3YAvgAnnSalesGrw,0.026315785944461823
50DVolSig,0.026315785944461823
6MChgTgtPrcGapEMA,0.026315785944461823
90DCV,0.026315785944461823
AdjIntCov,0.026315785944461823
Alpha12M6MPChg,0.026315785944461823
Alpha36M6MPChg,0.026315785944461823
Alpha60M,0.026315785944461823
Beta60M,0.026315785944461823
CapExToSales,0.026315785944461823
Chg1YTurnover,0.026315785944461823
DIVIDENDGROWTH,0.026315785944461823
DebtChg1Y,0.026315785944461823
DepToCapex,0.026315785944461823
DivToCF,0.026315785944461823
DivperShareGrowth,0.026315785944461823
EBITEstDisp,0.026315785944461823
EPSEstDispFY1C,0.026315785944461823
EPSEstDispFY2C,0.026315785944461823
EPSNumRevFY1C,0.026315785944461823
EPSToOCFChg,0.026315785944461823
FinLev,0.026315785944461823
IO_TO,0.026315785944461823
IntCovRatio,0.026315785944461823
InvPEGYC,0.026315785944461823
InvToAsset,0.026315785944461823
InvToAst,0.026315785944461823
InvToAstChg1Y,0.026315785944461823
OCFEV,0.026315785944461823
PM1M,0.026315785944461823
Rev3MFY1C,0.026315785944461823
Rev3MFY2C,0.026315785944461823
STO,0.026315785944461823
STO_6M,0.026315785944461823
SalesToEPSChg,0.026315785944461823
ShareChg,0.026315785944461823
TTMOverheadtoSales,0.026315785944461823
YoYChgDA,0.026315785944461823
