style,raw_weight,prev_weight,new_weight,delta,factor_count,factors
Price Momentum,0.2368420735001564,,0.2368420735001564,,9,50DVolSig;Alpha12M6MPChg;Alpha36M6MPChg;Alpha60M;Chg1YTurnover;IO_TO;PM1M;STO;STO_6M
Earnings Quality,0.18421050161123276,,0.18421050161123276,,7,CapExToSales;DepToCapex;EPSToOCFChg;InvToAsset;InvToAst;InvToAstChg1Y;SalesToEPSChg
Analyst Expectations,0.18421050161123276,,0.18421050161123276,,7,6MChgTgtPrcGapEMA;EBITEstDisp;EPSEstDispFY1C;EPSEstDispFY2C;EPSNumRevFY1C;Rev3MFY1C;Rev3MFY2C
Capital Efficiency,0.1315789297223091,,0.1315789297223091,,5,AdjIntCov;DebtChg1Y;FinLev;IntCovRatio;ShareChg
Historical Growth,0.10526314377784729,,0.10526314377784729,,4,3YAvgAnnSalesGrw;DIVIDENDGROWTH;DivperShareGrowth;TTMOverheadtoSales
Valuation,0.07894735783338547,,0.07894735783338547,,3,DivToCF;InvPEGYC;OCFEV
Volatility,0.07894735783338547,,0.07894735783338547,,3,90DCV;Beta60M;YoYChgDA
