date,cew_return,gross_stock,cost_stock,tax_stock,net_stock,cost_factor_level,cost_factor_at_base,turnover_oneway
2018-06-30,-0.005776332664037891,-0.0060961830007799376,0.0,0.0,-0.0060961830007799376,0.00026537806786215186,0.0004422967797702531,0.0
2018-07-31,-0.0037071442150883446,-0.0031086464482739376,0.0004151848793696863,0.0001536914062411881,-0.003677522733884812,0.000312343721922492,0.00052057286987082,0.20759243968484314
2018-08-31,0.003347946786861412,0.0035507991408563703,0.000409389715217378,0.00013155584038805753,0.003009853585250935,0.0004210352348561234,0.0007017253914268724,0.204694857608689
2018-09-30,0.000766521384919246,0.0012895587197622534,0.00048061727713655944,0.00015622811150942505,0.0006527133311162689,0.00021138469757862012,0.0003523078292977002,0.24030863856827972
2018-10-31,0.0005408986758340893,0.00017974632937078536,0.00032747238102052555,0.0001390737643752255,-0.0002867998160249657,0.00032380233924219026,0.0005396705654036505,0.16373619051026278
2018-11-30,0.0022657763354231924,0.0033222474723355764,0.000375550358148258,9.40568697620339e-05,0.0028526402444252843,0.00043421465938486365,0.0007236910989747728,0.187775179074129
2018-12-31,0.0043728577562565,0.004528392327114572,0.0005298469317683741,0.0002161231769090623,0.003782422218437136,0.00021734878248947002,0.0003622479708157834,0.264923465884187
2019-01-31,-0.005759099401060095,-0.006454601556104769,0.00026880269088358575,7.477973954618382e-05,-0.006798183986534538,0.0002457625735218325,0.00040960428920305424,0.13440134544179289
2019-02-28,0.0020798305212676054,0.0025589791084566953,0.0003739520325273286,0.00011853587785246092,0.002066491198076906,0.00046453354910176286,0.0007742225818362714,0.18697601626366428
2019-03-31,0.0007150786958055684,0.0002800374750336781,0.0004544968165102203,0.00013519045247377414,-0.00030964979395031636,0.0004905766509192259,0.0008176277515320432,0.22724840825511014
2019-04-30,0.0036956695017959715,0.004916236166431123,0.0004624534099693276,0.00017489643777532786,0.004278886318686468,0.00047102918359896674,0.0007850486393316113,0.2312267049846638
2019-05-31,0.00283818798798951,0.0031030967568702102,0.0004592301339782222,0.00013454214056307298,0.002509324482328915,0.0005391513988672985,0.000898585664778831,0.2296150669891111
2019-06-30,0.002850703753087777,0.0031047202292684073,0.0005433512381616056,0.00017999924668715746,0.0023813697444196444,0.0003716280426379435,0.0006193800710632392,0.2716756190808028
2019-07-31,0.0050262844483894824,0.005092885396081345,0.0004303522607493735,0.00015146738133587175,0.0045110657539961,0.00047456901541207845,0.0007909483590201308,0.21517613037468675
2019-08-31,0.005376104707902851,0.005087064690472179,0.00047705512566517775,0.00015927235118638668,0.004450737213620615,0.0005542538077912656,0.000923756346318776,0.23852756283258886
2019-09-30,-0.0005545470372618568,0.0009880360488631992,0.000497316677210028,0.00011836570730453624,0.00037235366434863493,0.00038464178591681396,0.00064106964319469,0.248658338605014
2019-10-31,-0.006531677147499189,-0.005464941386350196,0.0004977632360164423,0.00013933676787928362,-0.006102041390245922,0.0004971630727438663,0.0008286051212397772,0.24888161800822114
2019-11-30,0.003915006683879806,0.003647326186163198,0.0005836013709399546,0.00022538461533147473,0.0028383401998917685,0.0005453001132442608,0.0009088335220737681,0.29180068546997734
2019-12-31,-0.0013549142263418305,-0.0010520339337993382,0.0006722698094690252,0.00018093770833216657,-0.00190524145160053,0.00042160510973673963,0.0007026751828945661,0.3361349047345126
2020-01-31,0.0013519890813821695,0.0016841508304873513,0.0005283460996794063,0.00013654006322708068,0.0010192646675808645,0.00045297225912511606,0.0007549537652085268,0.26417304983970313
2020-02-29,-0.00021039459605434068,-0.00037952126751188576,0.000520173194662253,0.00017137593894032377,-0.0010710704011144625,0.0005014679052887706,0.000835779842147951,0.2600865973311265
2020-03-31,0.01777397941055088,0.017873762995696034,0.0004996678445873554,0.00014478519475556983,0.01722930995635311,0.0006282219120403031,0.001047036520067172,0.2498339222936777
2020-04-30,0.008643718412517515,0.006363181536500135,0.0005336726973634829,0.00017833653374566254,0.00565117230539099,0.0005205961192536798,0.000867660198756133,0.26683634868174144
2020-05-31,0.008444243364237559,0.008689108223802455,0.0005042803781268162,0.00017201841586916928,0.008012809429806471,0.0006048541632752938,0.0010080902721254898,0.25214018906340807
2020-06-30,-0.001362941853227261,-0.0004948156395603515,0.0005768037266699911,0.0001692584800543087,-0.0012408778462846513,0.00042654384908616,0.0007109064151436,0.2884018633349955
2020-07-31,0.019154360518846898,0.0172370146403285,0.0004019916128072109,0.00012554720002394963,0.01670947582749734,0.0004993779400195346,0.0008322965666992244,0.20099580640360543
2020-08-31,-0.01030693841149921,-0.007717607235212542,0.000467552334330413,0.0001348728823843184,-0.008320032451927273,0.0005315802915839244,0.0008859671526398739,0.2337761671652065
2020-09-30,0.006373741680428243,0.005781673573056746,0.0005548754823261786,0.00016967846436281544,0.0050571196263677525,0.00037923091810912154,0.0006320515301818692,0.2774377411630893
2020-10-31,-0.0023261789158938216,-0.0018584543412861832,0.0003667348248271294,0.0001310929064265278,-0.0023562820725398404,0.00034721092448539577,0.0005786848741423263,0.1833674124135647
2020-11-30,-0.026799684171525322,-0.025036843746377307,0.0004970755505685762,0.00016448920910465262,-0.025698408506050537,0.0006400432076250114,0.0010667386793750191,0.2485377752842881
2020-12-31,-0.001554201623105652,-0.001317451385021293,0.0008827185227853492,0.00040936347996695126,-0.0026095333877735934,0.00047131702625112347,0.0007855283770852058,0.44135926139267456
2021-01-31,-0.0016035303607809114,-0.0012795175831159622,0.0005938132101845487,0.00019033334829661157,-0.0020636641415971223,0.0004579411952937601,0.0007632353254896002,0.29690660509227434
2021-02-28,-0.007973988868660261,-0.0042541841563941436,0.0005324874216690254,9.850015102273435e-05,-0.004885171729085903,0.0005740728779604579,0.0009567881299340966,0.2662437108345127
2021-03-31,0.005870002779793947,0.0068908978385019345,0.0007003370657837433,0.00023634723747437562,0.005954213535243815,0.000489463705394618,0.0008157728423243635,0.35016853289187166
2021-04-30,0.005123938824512444,0.0058313287097349524,0.0005351055799368711,0.0002200398183871426,0.0050761833114109384,0.00044514316885765746,0.0007419052814294291,0.26755278996843557
2021-05-31,0.003398434319034188,0.0052293739786969965,0.00046201138900405474,0.00011572409264494138,0.0046516384970480005,0.00046065247295822286,0.0007677541215970382,0.23100569450202738
2021-06-30,0.0022264084003716517,0.0022017880441593403,0.0008097164974483368,0.00023822337712539965,0.001153848169585604,0.00037961684763444586,0.0006326947460574098,0.40485824872416837
2021-07-31,0.00666445022216233,0.006938443731649161,0.00046766683393985645,0.00010315232909636843,0.006367624568612936,0.00039603527918402495,0.0006600587986400416,0.2338334169699282
2021-08-31,0.0020050209636507336,0.0023279013108940655,0.0004051214415732077,0.00012787196694195413,0.0017949079023789037,0.000494694317959046,0.0008244905299317433,0.20256072078660387
2021-09-30,-0.008694690359863037,-0.007551462562216319,0.000495591765387219,0.00017644250005911414,-0.008223496827662652,0.0002674225387240331,0.0004457042312067219,0.24779588269360947
2021-10-31,0.0060494767673827405,0.007579440646216605,0.00047626450121140377,0.00014351821174913424,0.006959657933256067,0.00033360546301407944,0.0005560091050234657,0.23813225060570187
2021-11-30,0.004074854658435539,0.004303910130267244,0.0004874478748427211,0.000174798047032806,0.0036416642083917173,0.0005177569807688845,0.0008629283012814742,0.24372393742136056
2021-12-31,0.005777666898284276,0.006182642531549615,0.0005627848484597537,0.00020237224220377183,0.0054174854408860895,0.0003446909363625198,0.000574484893937533,0.28139242422987687
2022-01-31,-0.014619108104100643,-0.013951641372826916,0.0003644391067779171,9.08017927123184e-05,-0.014406882272317153,0.000336900402710855,0.0005615006711847584,0.18221955338895857
2022-02-28,-0.009907634295114499,-0.00944356616292681,0.00041870531938696323,0.00011603034584869445,-0.009978301828162468,0.0005222173741465026,0.000870362290244171,0.2093526596934816
