date,cew_return,gross_stock,cost_stock,net_stock,cost_factor_level,cost_factor_at_base,turnover_oneway
2018-06-30,-0.007361785965802647,-0.007237250715194253,0.0,-0.007237250715194253,0.00041217618250030604,0.0006869603041671767,0.0
2018-07-31,-0.005313967822784951,-0.004897370705915932,0.0004199376346420727,-0.005317308340558005,0.0005061344422331734,0.0008435574037219556,0.10498440866051817
2018-08-31,0.00018923018300276846,0.0008973999979355581,0.0005017914274728386,0.00039560857046271947,0.0006749353847058282,0.001124892307843047,0.12544785686820964
2018-09-30,0.00044425516936261763,0.001250005512579185,0.0017342565740993132,-0.0004842510615201282,0.00034921123267431974,0.0005820187211238663,0.4335641435248283
2018-10-31,0.0004892255417982378,0.00020762867913169582,0.0003175173727368173,-0.00010988869360512146,0.00047939401435147667,0.0007989900239191278,0.07937934318420432
2018-11-30,0.0016850276428142614,0.0028922073042122083,0.0005023439106500762,0.002389863393562132,0.000709375174132087,0.0011822919568868118,0.12558597766251905
2018-12-31,0.004628323577422598,0.004980877560792215,0.001551022951394197,0.0034298546093980177,0.0003308728714852363,0.0005514547858087272,0.3877557378485492
2019-01-31,-0.005988431689394655,-0.006706499637163987,0.000349459189699602,-0.007055958826863589,0.00029793025406820274,0.0004965504234470046,0.0873647974249005
2019-02-28,0.002979472053759749,0.003745161421134292,0.00036195842722495887,0.003383202993909333,0.0006880107936837007,0.001146684656139501,0.09048960680623971
2019-03-31,-0.0013995639211732461,-0.0017415437989239443,0.0013629025681979102,-0.0031044463671218545,0.0006133013887659679,0.0010221689812766133,0.34072564204947753
2019-04-30,0.0022478218758698806,0.0034040449744159504,0.0006183852309120042,0.002785659743503946,0.000537331458066099,0.000895552430110165,0.15459630772800104
2019-05-31,-0.0021506591539882185,-0.0015874763415541057,0.000519695249954041,-0.002107171591508147,0.0007061007417266061,0.0011768345695443436,0.12992381248851026
2019-06-30,-0.0013281766312204478,-0.0011881515305284353,0.0014581791624865383,-0.0026463306930149737,0.0003647067641583008,0.0006078446069305014,0.3645447906216346
2019-07-31,0.004953083567059006,0.004918124678934051,0.0003940801661227271,0.004524044512811323,0.0005513735086036941,0.0009189558476728235,0.09852004153068178
2019-08-31,0.003717449087380101,0.0034996458175069844,0.0005438193838153127,0.002955826433691672,0.0007383433657832706,0.001230572276305451,0.13595484595382817
2019-09-30,-0.0004972084656920978,0.0015001288753888349,0.0011371754389043814,0.00036295343648445346,0.0005584793989912223,0.0009307989983187039,0.28429385972609533
2019-10-31,-0.007897127309046528,-0.006494008988117623,0.0007070677707038065,-0.00720107675882143,0.0007417049040846446,0.0012361748401410744,0.1767669426759516
2019-11-30,0.00301429735318775,0.002473193730698048,0.000821263914098869,0.0016519298165991788,0.0007911449907126426,0.001318574984521071,0.20531597852471725
2019-12-31,-0.0008841487592159644,-0.0004184223458020042,0.0019048086352171812,-0.0023232309810191855,0.0006842205199335768,0.0011403675332226281,0.4762021588042953
2020-01-31,0.0016050270925455706,0.0023244684199877387,0.0009688847682542863,0.0013555836517334524,0.0008093845233329999,0.0013489742055549999,0.24222119206357157
2020-02-29,-0.002026640276225871,-0.0020390515482335086,0.0011134885817888145,-0.0031525401300223233,0.0009403940790379991,0.0015673234650633318,0.2783721454472036
2020-03-31,0.02373609769890361,0.024696379758829913,0.0018138097808994918,0.022882569977930423,0.0010557554339541992,0.0017595923899236653,0.45345244522487294
2020-04-30,0.008512918537953095,0.007310457729226996,0.0009488062589545967,0.006361651470272399,0.0010287402323959929,0.0017145670539933215,0.23720156473864915
2020-05-31,0.013745009693637546,0.014889118344934112,0.0011044140088825936,0.013784704336051518,0.0012008058394923325,0.0020013430658205543,0.2761035022206484
2020-06-30,-0.0032092435361818377,-0.0020573715644166156,0.0015071363524812975,-0.0035645079168979132,0.0006744628792109634,0.001124104798684939,0.3767840881203244
2020-07-31,0.01668925503090703,0.015932191082514372,0.000696036098255302,0.01523615498425907,0.0008777982833234455,0.0014629971388724092,0.1740090245638255
2020-08-31,-0.008974008346351604,-0.006219706997233659,0.0008627695820353552,-0.007082476579269014,0.0009702964030540249,0.0016171606717567083,0.2156923955088388
2020-09-30,0.00785777516978342,0.007562144313487524,0.0013802435663571092,0.0061819007471304145,0.0005776666437852748,0.0009627777396421246,0.3450608915892773
2020-10-31,-0.002353160174949577,-0.0015816639519459323,0.0005947911519528792,-0.0021764551038988113,0.0005459100027129217,0.0009098500045215363,0.1486977879882198
2020-11-30,-0.035559672563295334,-0.03295587110948904,0.0005601811593825028,-0.03351605226887154,0.001069845380913194,0.0017830756348553235,0.1400452898456257
2020-12-31,0.0013897474889590993,0.002226154091585968,0.00291553752639088,-0.0006893834348049117,0.0008723954185286703,0.0014539923642144506,0.72888438159772
2021-01-31,-0.0022102911180735653,-0.001774086007445129,0.0010222688770311333,-0.0027963548844762622,0.0008097542660191511,0.001349590443365252,0.2555672192577833
2021-02-28,-0.0034260509454553797,0.0009840655355934625,0.0009231882546213042,6.087728097215828e-05,0.0010963314526006608,0.0018272190876677682,0.23079706365532604
2021-03-31,0.006934190980711249,0.0082116301138806,0.0020708755277473842,0.006140754586133217,0.0007485033498931907,0.0012475055831553178,0.517718881936846
2021-04-30,0.003163090719905172,0.004517086638685105,0.0008348664408362719,0.0036822201978488327,0.0007184961044412312,0.001197493507402052,0.20871661020906795
2021-05-31,0.003438882403565061,0.005549332126191264,0.0007823189038535193,0.004767013222337744,0.0007569264589035079,0.0012615440981725132,0.19557972596337983
2021-06-30,0.004847250934475613,0.005208156600884259,0.0023965165194652356,0.0028116400814190237,0.0006152790935122319,0.0010254651558537198,0.5991291298663088
2021-07-31,0.006261547426576507,0.006918691097138626,0.0007259222161239573,0.006192768881014669,0.000649909156902812,0.0010831819281713533,0.18148055403098934
2021-08-31,0.0031569462295873876,0.004162541748868721,0.0007596651104798145,0.0034028766383889064,0.0009254865396204876,0.001542477566034146,0.1899162776199536
2021-09-30,-0.011565875068073935,-0.009777869578458328,0.0019453557559408474,-0.011723225334399175,0.00041090442501684693,0.0006848407083614116,0.48633893898521185
2021-10-31,0.013004041681341552,0.014846509365852996,0.0004649931302081261,0.01438151623564487,0.0004537284056719762,0.0007562140094532937,0.11624828255203153
2021-11-30,0.0065565088427310255,0.006878279020121957,0.00046673886100786566,0.006411540159114092,0.0007032490431505983,0.0011720817385843306,0.11668471525196641
