,index,factorName,styleName,cagr,rank_style,rank_total
142,FCFSales,Free Cash Flow to Sales,Earnings Quality,0.05371009088147982,7.0,65.0
143,EPSStab,EPS Stability,Historical Growth,0.0759495551251057,5.0,21.0
144,SalesAcc,Sales Acceleration,Historical Growth,0.11206114903632969,1.0,2.0
145,CashBurn,Cash Burn Rate,Earnings Quality,0.03820560765902936,22.0,126.0
146,StdErr180D,180D Price TStat,Price Momentum,0.0683662258418627,8.0,30.0
147,CFEqt,Cash Flow to Equity,Valuation,0.005200569764217677,35.0,235.0
148,CFIC,Cash Flow to Invested Capital,Earnings Quality,0.01674251352256828,42.0,212.0
149,RskAdjRS,Risk Adjusted Relative Strength,Price Momentum,0.08834097166447497,3.0,9.0
150,AdjChgEPStoSales,Change EPS to Sales,Earnings Quality,0.051822110396341214,8.0,68.0
151,CFAst,Cash Flow to Total Asset,Earnings Quality,0.011441529825751973,45.0,225.0
152,ChgSalestoChgEPS,Change of Sales to Change of EPS,Earnings Quality,0.040065740011747675,20.0,117.0
153,OCFEqt,Operating Cash Flow to Equity,Capital Efficiency,0.041112581919045654,11.0,108.0
154,CurLiaP,Current Liability to Price,Valuation,0.0517413375705833,7.0,69.0
155,AdjIntCov,Adjusted Interest Coverage Ratio,Capital Efficiency,0.04795098188827418,10.0,88.0
156,OCFRatio,Operating Cash Flow Ratio,Capital Efficiency,0.06343035418517418,4.0,37.0
157,FinLev,Degree of Financial Leverage,Capital Efficiency,0.03591779109044002,13.0,137.0
158,5DVolSig,5 Day Volume Signal,Price Momentum,0.03318523019516939,43.0,149.0
159,CVVolPrc20D,20 Day Coefficient of Variation of Volume to Price,Price Momentum,0.010727739215739218,52.0,226.0
160,CVVolPrc60D,60 Day Coefficient of Variation of Volume to Price,Price Momentum,0.009768599287408142,53.0,229.0
161,STO_6M,6 Month Average Share Turn Over,Price Momentum,-0.02610433211934915,54.0,241.0
162,PSlopeSERR_26W,26W Price Stat,Price Momentum,0.0484447805124939,23.0,83.0
163,CVVolPrc30D,30 Day Coefficient of Variation of Volume to Price,Price Momentum,0.04312187706608683,31.0,102.0
164,3MSalesMom,3M Momentum in Trailing 12M Sales,Historical Growth,0.08682814330487387,3.0,12.0
165,6MTTMSalesMom,6M Momentum in Trailing 12M Sales,Historical Growth,0.08975820688168823,2.0,8.0
166,4WChgFwd12MEPS,4-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,Valuation,0.024427929228624023,26.0,192.0
167,8WChgFwd12MEPS,8-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,Valuation,0.037991852190973674,16.0,128.0
168,FY2OverFY1Growth,Expected Earnings Growth: Fiscal Year 2/Fiscal Year 1,Historical Growth,0.05764309635154152,7.0,54.0
169,3YAvgAnnEPSGrw,3Y Average Annual Earnings Growth,Historical Growth,0.02506424193397483,30.0,186.0
170,3YAvgAnnSalesGrw,3Y Average Annual Sales Growth,Historical Growth,0.008808568860202648,40.0,231.0
171,52WVPT20DLag,52-Week Volume Price Trend with 20-Day Lag,Price Momentum,0.05803884103248724,13.0,53.0
172,PA52WL20DLag,Percent Above 260-Day Low,Price Momentum,0.07402122789552212,6.0,24.0
173,20DStochastic,20-Day Lane's Stochastic Indicator,Price Momentum,0.03597431794987016,41.0,136.0
174,14DayRSI,14-Day Relative Strength Index,Price Momentum,0.04984326194644151,20.0,74.0
175,5DMoneyFlowVol,5-Day Money Flow/Volume,Price Momentum,0.048356509738229025,24.0,84.0
176,LogMktCapCubed,Log of Market Capitalization Cubed,Size,0.009119460143875324,4.0,230.0
177,LogAssets,Log of Total Last Quarter Assets,Size,0.03282784525189175,1.0,152.0
178,TTMOverheadtoSales,Trailing 12-Month Overhead/Trailing 12-Month Sales,Historical Growth,0.01564345660698563,36.0,216.0
179,TTMRecInvToSales,Trailing 12-Month Receivables and Inventories/Trailing 12-Month Sales,Historical Growth,0.0304094771544563,25.0,167.0
180,VolAdjRtn12M,Volatility adjusted 12M return,Price Momentum,0.05586270195460541,16.0,58.0
181,PM5D,5 Day Price Reversal,Price Momentum,0.04141569308868198,32.0,107.0
182,LogUnadjPrice,Log of Unadjusted Stock Price,Price Momentum,0.03803098772758262,38.0,127.0
183,DIVIDENDGROWTH,Dividend Growth,Historical Growth,0.036143122845017084,20.0,134.0
184,60MAVGTTMROE,Normalized ROE,Capital Efficiency,0.019921315300439613,20.0,203.0
185,60MAVGTTMROA,Normalized ROA,Capital Efficiency,0.031576132414741,17.0,159.0
186,60MAVGTTMEP,Normalized EP,Valuation,0.0338954977541559,20.0,144.0
187,PAYOUTRATIO,Payout Ratio,Capital Efficiency,0.028282505415745396,18.0,173.0
188,NIStab,Net Income Stability,Earnings Quality,0.014114886643888047,44.0,220.0
189,LTGC,Expected LTG,Analyst Expectations,0.061162167827949476,15.0,46.0
190,EstDiffC,Analyst Earnings Estimate Diffusion,Analyst Expectations,0.0749873454153489,10.0,22.0
191,Rev3MFY1C,3M Revision in FY1 EPS Estimate,Analyst Expectations,0.09561207821062445,3.0,6.0
192,Rev3MFY2C,3M Revision in FY2 EPS Estimate,Analyst Expectations,0.08720291040929973,6.0,11.0
193,RevMagFY1C,Street Revision Magnitude,Analyst Expectations,0.10079379710166614,1.0,3.0
194,EPSSurpC,Earnings Surprise,Analyst Expectations,0.0672071380504573,12.0,31.0
195,EPSEstDispFY1C,Analyst Dispersion for FY1 EPS,Analyst Expectations,0.030659659830209574,20.0,165.0
196,SUEC,Standardized Unexpected Earnings,Analyst Expectations,0.0779705929696024,9.0,20.0
197,AdjEPSNumRevFY1C,Adjusted Number of EPS FY1 Revisions,Analyst Expectations,0.08655333890148031,7.0,13.0
198,InvPEGC,Inverse PEG,Analyst Expectations,0.03849769055842733,19.0,123.0
199,EPSEstDispFY2C,Analyst Dispersion for FY2 EPS,Analyst Expectations,0.0205320303243266,22.0,202.0
200,EPSNumRevFY1C,Number of EPS FY1 Revisions,Analyst Expectations,0.08542031055912314,8.0,14.0
201,AdjFwdEPC,Adjusted Forward Earnings to Price,Valuation,0.03335958697837427,21.0,147.0
202,6MAvgChg1MRecC,6M Avg Chg 1M Recommendation,Analyst Expectations,0.05531043522880874,17.0,60.0
203,AdjEPSNumRevFY2C,Adj Number of EPS FY2 Revisions,Analyst Expectations,0.06327271962772851,13.0,39.0
204,AdjRevMagC,Adjusted Revision Magnitude,Analyst Expectations,0.0954513388128495,4.0,7.0
205,FwdEPC,Forward Earnings to Price,Valuation,0.061538139616455156,5.0,43.0
206,FwdFCFPC,Forward Free Cash Flow to Price Ratio,Valuation,0.01724235434221222,33.0,210.0
207,InvPEGYC,Inverse P/E Ratio Adj for Growth and Yield,Valuation,0.049042948070813,8.0,80.0
208,DivperShareGrowth,Dividend per Share Growth,Historical Growth,0.014335131164974424,38.0,219.0
209,ROAStddev20Q,ROA 20 Qtr Standard Deviation,Earnings Quality,0.0349342460980957,24.0,141.0
210,ROEStddev20Q,ROE 20 Qtr Standard Deviation,Earnings Quality,0.054240903229257675,6.0,63.0
211,ROA60MSlope,ROA 60 Month Slope,Earnings Quality,0.0422433535366431,15.0,103.0
212,SharpeRatio,Sharpe Ratio,Price Momentum,0.05211031789269227,18.0,67.0
213,IO_TO,Institution Ownership Turnover,Price Momentum,0.03357497661772069,42.0,146.0
214,IO_Concentration,Institution Ownership Concentration,Price Momentum,0.05646590330368806,14.0,56.0
215,IO_BreadthStabBY,Ownership Breadth Stability of Institution Ownership by Buyers,Price Momentum,0.03927538076901271,34.0,119.0
216,IO_Level,Institution Ownership Level,Price Momentum,0.01380604444125555,51.0,221.0
217,IO_Foreign,Foreign Institution Ownership,Price Momentum,0.03917695421540701,35.0,120.0
218,IO_ChgofIO_AM,Change of Ownership Level - All Managers,Price Momentum,0.015971774744066858,49.0,214.0
219,IO_StabofChgHD,Stability of Change in Number of Holders,Price Momentum,0.03756719991272872,39.0,130.0
220,IO_InvDuration,Investment Duration,Price Momentum,0.043241168674422514,30.0,101.0
221,IO_Level_AM,Institution Ownership Level - Active Manager,Price Momentum,0.017848718339902092,48.0,208.0
222,IO_ChgofNumHD,Change in Number of Holders,Price Momentum,0.03045072380667646,45.0,166.0
223,IO_ChgofNumBY,Change in Number of Buyers,Price Momentum,0.03614130188661013,40.0,135.0
224,IO_BreadthStabHD,Ownership Breadth Stability of Institution Ownership by Holders,Price Momentum,0.0258614023315884,46.0,182.0
225,GrPftToAst,Gross Profit to Assets,Capital Efficiency,0.026916326710428873,19.0,177.0
226,EbitdaToAst,EBITDA to Assets,Capital Efficiency,0.01247648307586724,24.0,224.0
227,EbitToAst,EBIT to Assets,Capital Efficiency,0.0030696211635155013,26.0,239.0
228,AstGrwth,Asset Growth - 1 Year,Capital Efficiency,0.013395126906134536,22.0,222.0
229,AdjEBITP,Adjusted EBIT to Price,Valuation,0.062287247814233115,3.0,41.0
230,AdjSTO_6M,Adjusted 6 Month Average Share Turn Over,Price Momentum,0.048713689522511094,22.0,81.0
231,Chg1YTurnover,1Y Chg in Share Turnover,Price Momentum,0.019815199571046493,47.0,204.0
232,Amihud,Amihud Illiquidity Measure,Volatility,0.035161037947176954,5.0,140.0
233,Chg1YAmihud,1Y Chg in Amihud,Volatility,0.0337710176348891,6.0,145.0
234,BuyToSellRecLess3MEMA,Buy-to-Sell Recommendation Ratio Less 3M EMA,Analyst Expectations,0.09784830015530033,2.0,5.0
235,BuyToSellRecLess3MSMA,Buy-to-Sell Recommendation Ratio Less 3M SMA,Analyst Expectations,0.08737076114346287,5.0,10.0
236,6MChgTgtPrcGapEMA,Target Price Gap to 6M EMA,Analyst Expectations,0.06149656815637372,14.0,44.0
237,6MChgTgtPrc,6M Chg in Target Price,Analyst Expectations,0.05720533044904941,16.0,55.0
238,6MChgTgtPrcGap,6M Chg in Target Price Gap,Analyst Expectations,0.06845944051547281,11.0,29.0
239,RevEstDisp,Revenue Estimate Dispersion,Analyst Expectations,0.039836186650681116,18.0,118.0
240,EBITEstDisp,EBIT Estimate Dispersion,Analyst Expectations,0.027812488247820122,21.0,175.0
